AGE,HAVE_DL,COUNT,CHART_TYPE
6-15,No,956.15,DRIVERS LICENSE
16-17,Yes,533.63,DRIVERS LICENSE
16-17,No,3674.99,DRIVERS LICENSE
18-24,Yes,41029.07,DRIVERS LICENSE
18-24,No,16989.32,DRIVERS LICENSE
25-34,Yes,71587.38,DRIVERS LICENSE
25-34,No,20053.76,DRIVERS LICENSE
35-44,Yes,54726.82,DRIVERS LICENSE
35-44,No,13063.66,DRIVERS LICENSE
45-54,Yes,34898.03,DRIVERS LICENSE
45-54,No,11109.87,DRIVERS LICENSE
55-64,Yes,19888.35,DRIVERS LICENSE
55-64,No,9184.16,DRIVERS LICENSE
65 and older,Yes,7196.83,DRIVERS LICENSE
65 and older,No,6127.94,DRIVERS LICENSE
Not Provided,Yes,334.73,DRIVERS LICENSE
Not Provided,No,94.39,DRIVERS LICENSE
