GROUP,HH_SIZE,COUNT,CHART_TYPE
Expanded Response,One (1),62626.47,HOUSEHOLD SIZE
Expanded Response,Two (2),76593.1,HOUSEHOLD SIZE
Expanded Response,Three (3),71333.53,HOUSEHOLD SIZE
Expanded Response,Four (4),54799.75,HOUSEHOLD SIZE
Expanded Response,Five (5),30006.77,HOUSEHOLD SIZE
Expanded Response,Six (6),9769.02,HOUSEHOLD SIZE
Expanded Response,Seven (7),3333.97,HOUSEHOLD SIZE
Expanded Response,Eight (8),1260.05,HOUSEHOLD SIZE
Expanded Response,Nine (9),316.2,HOUSEHOLD SIZE
Expanded Response,Ten or More (10+),1410.22,HOUSEHOLD SIZE
