GROUP,HOME_OTHER_LANG,COUNT,CHART_TYPE
Expanded Response,Acholi,2.11,HOME OTHER LANGUAGE
Expanded Response,Afrikaans,42.79,HOME OTHER LANGUAGE
Expanded Response,Akan,18.01,HOME OTHER LANGUAGE
Expanded Response,Amharic,316.83,HOME OTHER LANGUAGE
Expanded Response,"Arabic, Standard",451.94,HOME OTHER LANGUAGE
Expanded Response,Aramaic,21.31,HOME OTHER LANGUAGE
Expanded Response,Armenian,0.62,HOME OTHER LANGUAGE
Expanded Response,Babungo,9.69,HOME OTHER LANGUAGE
Expanded Response,Bagvalal,10.57,HOME OTHER LANGUAGE
Expanded Response,Belarusan,2.87,HOME OTHER LANGUAGE
Expanded Response,Bemba,2.1,HOME OTHER LANGUAGE
Expanded Response,Bengali,224.93,HOME OTHER LANGUAGE
Expanded Response,Bilen,2.67,HOME OTHER LANGUAGE
Expanded Response,Bosnian,28.39,HOME OTHER LANGUAGE
Expanded Response,British,14.5,HOME OTHER LANGUAGE
Expanded Response,Bulgarian,21.57,HOME OTHER LANGUAGE
Expanded Response,Chinese,467.63,HOME OTHER LANGUAGE
Expanded Response,"Chinese, Mandarin",375.12,HOME OTHER LANGUAGE
Expanded Response,"Crioulo, Upper Guinea",0.76,HOME OTHER LANGUAGE
Expanded Response,Croatian,14.66,HOME OTHER LANGUAGE
Expanded Response,Czech,10.75,HOME OTHER LANGUAGE
Expanded Response,Danish,6.93,HOME OTHER LANGUAGE
Expanded Response,"Danish, Sejerø",4.51,HOME OTHER LANGUAGE
Expanded Response,Dutch,60.39,HOME OTHER LANGUAGE
Expanded Response,Estonian,16.26,HOME OTHER LANGUAGE
Expanded Response,Fala,5.75,HOME OTHER LANGUAGE
Expanded Response,"Farsi, Eastern",58.74,HOME OTHER LANGUAGE
Expanded Response,Finnish,4.27,HOME OTHER LANGUAGE
Expanded Response,French,1153.89,HOME OTHER LANGUAGE
Expanded Response,"Fulfulde, Adamawa",19.72,HOME OTHER LANGUAGE
Expanded Response,Ganda,1.52,HOME OTHER LANGUAGE
Expanded Response,Garifuna,8.35,HOME OTHER LANGUAGE
Expanded Response,German,282.3,HOME OTHER LANGUAGE
Expanded Response,Greek,19.5,HOME OTHER LANGUAGE
Expanded Response,Guaraní,21.38,HOME OTHER LANGUAGE
Expanded Response,Haitian Creole French,390.62,HOME OTHER LANGUAGE
Expanded Response,Hausa,3.54,HOME OTHER LANGUAGE
Expanded Response,Hebrew,26.42,HOME OTHER LANGUAGE
Expanded Response,Hindi,1065.41,HOME OTHER LANGUAGE
Expanded Response,Indo-Portuguese,5.54,HOME OTHER LANGUAGE
Expanded Response,Indonesian,10.86,HOME OTHER LANGUAGE
Expanded Response,Irish,8.28,HOME OTHER LANGUAGE
Expanded Response,Italian,50.28,HOME OTHER LANGUAGE
Expanded Response,Italo-Celtic,2.43,HOME OTHER LANGUAGE
Expanded Response,Jamaican,14.82,HOME OTHER LANGUAGE
Expanded Response,Japanese,119.89,HOME OTHER LANGUAGE
Expanded Response,Jewish Malayalam,10.05,HOME OTHER LANGUAGE
Expanded Response,Judeo-Malayalam,24.47,HOME OTHER LANGUAGE
Expanded Response,Judeo-Portuguese,7.57,HOME OTHER LANGUAGE
Expanded Response,Kannada,17.97,HOME OTHER LANGUAGE
Expanded Response,Khmer,10.13,HOME OTHER LANGUAGE
Expanded Response,Korean,473.4,HOME OTHER LANGUAGE
Expanded Response,Krio,13.18,HOME OTHER LANGUAGE
Expanded Response,Lao,12.66,HOME OTHER LANGUAGE
Expanded Response,Latin,16.01,HOME OTHER LANGUAGE
Expanded Response,Lithuanian,13.75,HOME OTHER LANGUAGE
Expanded Response,Louisiana Creole French,35.25,HOME OTHER LANGUAGE
Expanded Response,Low German,1.95,HOME OTHER LANGUAGE
Expanded Response,"ShowMongolian, Halh",1.31,HOME OTHER LANGUAGE
Expanded Response,Norwegian,18.26,HOME OTHER LANGUAGE
Expanded Response,Ojibwa,2.96,HOME OTHER LANGUAGE
Expanded Response,Old English,2.63,HOME OTHER LANGUAGE
Expanded Response,Old French,1.79,HOME OTHER LANGUAGE
Expanded Response,Old Persian,22.46,HOME OTHER LANGUAGE
Expanded Response,"Oromo, West Central",5.58,HOME OTHER LANGUAGE
Expanded Response,"Panjabi, Eastern",4.09,HOME OTHER LANGUAGE
Expanded Response,"Pashto, Central",5.57,HOME OTHER LANGUAGE
Expanded Response,"Pashto, Southern",5.47,HOME OTHER LANGUAGE
Expanded Response,"Pidgin, Nigerian",44.3,HOME OTHER LANGUAGE
Expanded Response,Polish,31.38,HOME OTHER LANGUAGE
Expanded Response,Portuguese,180.96,HOME OTHER LANGUAGE
Expanded Response,Portuguese creole of Tugo,5.02,HOME OTHER LANGUAGE
Expanded Response,Potawatomi,1.18,HOME OTHER LANGUAGE
Expanded Response,Punjabi,83.67,HOME OTHER LANGUAGE
Expanded Response,Romanian,69.04,HOME OTHER LANGUAGE
Expanded Response,Russian,146.6,HOME OTHER LANGUAGE
Expanded Response,Sea Island Creole English,1.31,HOME OTHER LANGUAGE
Expanded Response,Serbian,24.12,HOME OTHER LANGUAGE
Expanded Response,Seselwa Creole French,3.04,HOME OTHER LANGUAGE
Expanded Response,Sinhala,1.33,HOME OTHER LANGUAGE
Expanded Response,Slovak,8.08,HOME OTHER LANGUAGE
Expanded Response,Spanish,11568.75,HOME OTHER LANGUAGE
Expanded Response, Hmong,27.82,HOME OTHER LANGUAGE
Expanded Response,Hmong,12.63,HOME OTHER LANGUAGE
Expanded Response, Somali,66.95,HOME OTHER LANGUAGE
Expanded Response,Somali,35.67,HOME OTHER LANGUAGE
Expanded Response,Swedish,21.99,HOME OTHER LANGUAGE
Expanded Response,Telugu,191.67,HOME OTHER LANGUAGE
Expanded Response,Thai,30.86,HOME OTHER LANGUAGE
Expanded Response,Turkish,33.37,HOME OTHER LANGUAGE
Expanded Response,Ukrainian,11.69,HOME OTHER LANGUAGE
