GROUP,HOW_NO_BUS,COUNT,CHART_TYPE
Expanded Response,Walk,16409.02,HOW NO BUS
Expanded Response,Drive alone,65948.03,HOW NO BUS
Expanded Response,Driven by someone else,65500.55,HOW NO BUS
Expanded Response,Carpool / Vanpool,6477.83,HOW NO BUS
Expanded Response,"Uber, Lyft, etc",103013.25,HOW NO BUS
Expanded Response,Would not make trip,38862.65,HOW NO BUS
Expanded Response,Taxi,5159.17,HOW NO BUS
Expanded Response,Bike share,219.15,HOW NO BUS
Expanded Response,Personal bike,2452.56,HOW NO BUS
Expanded Response,Other,7406.88,HOW NO BUS
