GROUP,COUNT_VH_HH,COUNT,CHART_TYPE
Expanded Response,None (0),74609.33,HOUSEHOLD VEH
Expanded Response,One (1),70478.42,HOUSEHOLD VEH
Expanded Response,Two (2),45364.12,HOUSEHOLD VEH
Expanded Response,Three (3),10692.17,HOUSEHOLD VEH
Expanded Response,Four (4),2826.99,HOUSEHOLD VEH
Expanded Response,Five (5),624.94,HOUSEHOLD VEH
Expanded Response,Six (6),158.61,HOUSEHOLD VEH
Expanded Response,Seven (7),62.59,HOUSEHOLD VEH
Expanded Response,Eight (8),25.92,HOUSEHOLD VEH
Expanded Response,Ten or more (10+),50.73,HOUSEHOLD VEH
