GROUP,ORIGIN_PLACE_TYPE,COUNT,CHART_TYPE
Expanded Response,"",1.55,ORIGIN PLACE TYPE
Expanded Response,Your usual WORKPLACE,60915.16,ORIGIN PLACE TYPE
Expanded Response,Your HOME,98800.21,ORIGIN PLACE TYPE
Expanded Response,Your Hotel or Lodging,4075.74,ORIGIN PLACE TYPE
Expanded Response,Another Home,2308.18,ORIGIN PLACE TYPE
Expanded Response,Store / Retail Place,8553.31,ORIGIN PLACE TYPE
Expanded Response,Restaurant,2556.8,ORIGIN PLACE TYPE
Expanded Response,School (K-12) / Day Care (student only),1107.1,ORIGIN PLACE TYPE
Expanded Response,College or University (student only),6220.69,ORIGIN PLACE TYPE
Expanded Response,Airport (airline passenger only),4335.94,ORIGIN PLACE TYPE
Expanded Response,Hospital / Doctor,3759.71,ORIGIN PLACE TYPE
Expanded Response,"Bank, or other office / Errands",6168.76,ORIGIN PLACE TYPE
Expanded Response,Recreation Place,3168.44,ORIGIN PLACE TYPE
Expanded Response,Place of Worship,285.41,ORIGIN PLACE TYPE
Expanded Response,Personal Business,2636.82,ORIGIN PLACE TYPE
