ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
Atlanta Heavy Rail,PM1 3:00 pm - 4:00 pm,8542.97,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM2 4:00 pm - 5:00 pm,8396.65,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM3 5:00 pm - 6:00 pm,7932.74,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM4 6:00 pm - 7:00 pm,7042.46,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,AM4 7:00 am - 8:00 am,6504.25,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,MID1 9:00 am - 10:00 am,6383.12,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,AM5 8:00 am - 9:00 am,6352.8,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,MID6 2:00 pm - 3:00 pm,6200.96,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,MID4 12:00 noon - 1:00 pm,5425.28,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,MID2 10:00 am - 11:00 am,5421.13,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,MID3 11:00 am - 12:00 noon,5056.07,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,MID5 1:00 pm - 2:00 pm,4932.56,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,AM3 6:00 am - 7:00 am,4577.63,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM5 7:00 pm - 8:00 pm,4022.81,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM6 8:00 pm - 9:00 pm,3208.14,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,AM2 5:00 am - 6:00 am,3069.66,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM7 9:00 pm - 10:00 pm,1943.84,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,AM1 Before 5:00 am,375.88,ROUTE SURVEYED BY TIME PERIOD
SRTA 426,PM1 3:00 pm - 4:00 pm,337.28,ROUTE SURVEYED BY TIME PERIOD
Atlanta Heavy Rail,PM8 10:00 pm - 11:00 pm,330.45,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,MID6 2:00 pm - 3:00 pm,317.76,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM4 6:00 pm - 7:00 pm,312.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM3 5:00 pm - 6:00 pm,302.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM1 3:00 pm - 4:00 pm,277.09,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,PM3 5:00 pm - 6:00 pm,268.89,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,MID2 10:00 am - 11:00 am,249.71,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,AM2 5:00 am - 6:00 am,240.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,MID3 11:00 am - 12:00 noon,238.65,ROUTE SURVEYED BY TIME PERIOD
MARTA 51,MID6 2:00 pm - 3:00 pm,236.66,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID2 10:00 am - 11:00 am,235.33,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 10,PM1 3:00 pm - 4:00 pm,234.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,PM1 3:00 pm - 4:00 pm,223.45,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 103,AM4 7:00 am - 8:00 am,220.36,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,PM1 3:00 pm - 4:00 pm,220.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,PM2 4:00 pm - 5:00 pm,219.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,PM4 6:00 pm - 7:00 pm,216.79,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,AM4 7:00 am - 8:00 am,204.24,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM7 9:00 pm - 10:00 pm,202.15,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,MID6 2:00 pm - 3:00 pm,201.11,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID1 9:00 am - 10:00 am,200.64,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID1 9:00 am - 10:00 am,200.18,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 10,MID3 11:00 am - 12:00 noon,198.14,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,AM4 7:00 am - 8:00 am,197.08,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,PM1 3:00 pm - 4:00 pm,194.38,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,PM4 6:00 pm - 7:00 pm,192.32,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM2 4:00 pm - 5:00 pm,191.24,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,AM4 7:00 am - 8:00 am,190.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,PM5 7:00 pm - 8:00 pm,189.63,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID6 2:00 pm - 3:00 pm,188.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,MID3 11:00 am - 12:00 noon,187.38,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,MID2 10:00 am - 11:00 am,187.36,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,MID6 2:00 pm - 3:00 pm,187.27,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 30,PM1 3:00 pm - 4:00 pm,187.07,ROUTE SURVEYED BY TIME PERIOD
SRTA 414,PM4 6:00 pm - 7:00 pm,187.01,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,PM5 7:00 pm - 8:00 pm,185.53,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,PM1 3:00 pm - 4:00 pm,185.4,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,MID1 9:00 am - 10:00 am,185.27,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,AM2 5:00 am - 6:00 am,184.29,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM3 5:00 pm - 6:00 pm,184.28,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,AM2 5:00 am - 6:00 am,183.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,PM4 6:00 pm - 7:00 pm,181.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID6 2:00 pm - 3:00 pm,180.51,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM3 5:00 pm - 6:00 pm,180.33,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,AM4 7:00 am - 8:00 am,178.22,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,MID2 10:00 am - 11:00 am,177.67,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM5 7:00 pm - 8:00 pm,177.51,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM2 4:00 pm - 5:00 pm,177.26,ROUTE SURVEYED BY TIME PERIOD
MARTA 86,MID1 9:00 am - 10:00 am,173.68,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,PM3 5:00 pm - 6:00 pm,173.49,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID2 10:00 am - 11:00 am,172.77,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID2 10:00 am - 11:00 am,172.54,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,MID2 10:00 am - 11:00 am,172.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,PM3 5:00 pm - 6:00 pm,170.69,ROUTE SURVEYED BY TIME PERIOD
MARTA 78,MID1 9:00 am - 10:00 am,169.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 39,MID3 11:00 am - 12:00 noon,169.12,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID6 2:00 pm - 3:00 pm,166.91,ROUTE SURVEYED BY TIME PERIOD
MARTA 165,PM2 4:00 pm - 5:00 pm,166.21,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,PM1 3:00 pm - 4:00 pm,166.07,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,MID2 10:00 am - 11:00 am,165.63,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM2 4:00 pm - 5:00 pm,165.42,ROUTE SURVEYED BY TIME PERIOD
GWINNETT TRANSIT 103,PM2 4:00 pm - 5:00 pm,164.56,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM5 7:00 pm - 8:00 pm,164.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM4 6:00 pm - 7:00 pm,163.87,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM2 4:00 pm - 5:00 pm,163.76,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,MID4 12:00 noon - 1:00 pm,162.43,ROUTE SURVEYED BY TIME PERIOD
MARTA 89,AM4 7:00 am - 8:00 am,162.4,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,PM2 4:00 pm - 5:00 pm,161.87,ROUTE SURVEYED BY TIME PERIOD
