GROUP,TRANSFERS,COUNT,CHART_TYPE
Expanded Response,0 Before - 0 After,121030.64,TRANSFER FROM_TO
Expanded Response,0 Before - 1 After,63503.16,TRANSFER FROM_TO
Expanded Response,0 Before - 2 After,19986.69,TRANSFER FROM_TO
Expanded Response,0 Before - 3 After,716.98,TRANSFER FROM_TO
Expanded Response,1 Before - 0 After,60745.38,TRANSFER FROM_TO
Expanded Response,1 Before - 1 After,19964.36,TRANSFER FROM_TO
Expanded Response,1 Before - 2 After,1081.88,TRANSFER FROM_TO
Expanded Response,1 Before - 3 After,38.58,TRANSFER FROM_TO
Expanded Response,2 Before - 0 After,22262.51,TRANSFER FROM_TO
Expanded Response,2 Before - 1 After,1116.88,TRANSFER FROM_TO
Expanded Response,2 Before - 2 After,109.39,TRANSFER FROM_TO
Expanded Response,3 Before - 0 After,856.57,TRANSFER FROM_TO
Expanded Response,3 Before - 1 After,7.4,TRANSFER FROM_TO
Expanded Response,4 Before - 0 After,28.64,TRANSFER FROM_TO
