FROM,TO,Trips
Atlanta-DeKalb,Atlanta-DeKalb,89.73
Atlanta-DeKalb,Buckhead,176.16
Atlanta-DeKalb,CBDAtlanta,518.12
Atlanta-DeKalb,Chamblee,63.03
Atlanta-DeKalb,Decatur,110.14
Atlanta-DeKalb,NEAtlanta,328.81
Atlanta-DeKalb,NEDeKalb,133.94
Atlanta-DeKalb,NFulton,11.3
Atlanta-DeKalb,NWAtlanta,198.91
Atlanta-DeKalb,NWDeKalb,123.75
Atlanta-DeKalb,Roswell,1.27
Atlanta-DeKalb,SDeKalb,79.97
Atlanta-DeKalb,SEAtlanta,103.67
Atlanta-DeKalb,SEDeKalb,34.05
Atlanta-DeKalb,SFulton,2.74
Atlanta-DeKalb,SWAtlanta,93.57
Atlanta-DeKalb,SWDeKalb,293.88
Atlanta-DeKalb,SandySprings,126.47
Atlanta-DeKalb,Shannon,8.48
Atlanta-DeKalb,Tri-Cities,106.71
Buckhead,Atlanta-DeKalb,108.62
Buckhead,Buckhead,1566.76
Buckhead,CBDAtlanta,1640.18
Buckhead,Chamblee,1325.16
Buckhead,Decatur,27.63
Buckhead,NEAtlanta,2373.38
Buckhead,NEDeKalb,278.44
Buckhead,NFulton,191.25
Buckhead,NWAtlanta,667.04
Buckhead,NWDeKalb,249.23
Buckhead,Roswell,89.01
Buckhead,SDeKalb,112.22
Buckhead,SEAtlanta,548.44
Buckhead,SEDeKalb,182.64
Buckhead,SFulton,78.57
Buckhead,SWAtlanta,798.04
Buckhead,SWDeKalb,327.4
Buckhead,SandySprings,623.21
Buckhead,Shannon,130.96
Buckhead,Tri-Cities,1269.05
CBDAtlanta,Atlanta-DeKalb,476.8
CBDAtlanta,Buckhead,1686.6
CBDAtlanta,CBDAtlanta,927.08
CBDAtlanta,Chamblee,1733.35
CBDAtlanta,Decatur,251.5
CBDAtlanta,NEAtlanta,1733.1
CBDAtlanta,NEDeKalb,1089.69
CBDAtlanta,NFulton,754.01
CBDAtlanta,NWAtlanta,1528.97
CBDAtlanta,NWDeKalb,774.78
CBDAtlanta,Roswell,248.92
CBDAtlanta,SDeKalb,311.49
CBDAtlanta,SEAtlanta,1337.25
CBDAtlanta,SEDeKalb,573.8
CBDAtlanta,SFulton,128.85
CBDAtlanta,SWAtlanta,2059.49
CBDAtlanta,SWDeKalb,1175.36
CBDAtlanta,SandySprings,1045.31
CBDAtlanta,Shannon,203.87
CBDAtlanta,Tri-Cities,1736.41
Chamblee,Atlanta-DeKalb,76.65
Chamblee,Buckhead,1293.32
Chamblee,CBDAtlanta,1621.77
Chamblee,Chamblee,1822.83
Chamblee,Decatur,64.39
Chamblee,NEAtlanta,1463.83
Chamblee,NEDeKalb,382.77
Chamblee,NFulton,84.16
Chamblee,NWAtlanta,398.16
Chamblee,NWDeKalb,319.39
Chamblee,Roswell,39.47
Chamblee,SDeKalb,97.1
Chamblee,SEAtlanta,340.4
Chamblee,SEDeKalb,107.91
Chamblee,SFulton,13.55
Chamblee,SWAtlanta,414.45
Chamblee,SWDeKalb,208.1
Chamblee,SandySprings,504.94
Chamblee,Shannon,78.12
Chamblee,Tri-Cities,962.34
Decatur,Atlanta-DeKalb,83.29
Decatur,Buckhead,117.85
Decatur,CBDAtlanta,278.14
Decatur,Chamblee,43.5
Decatur,Decatur,66.5
Decatur,NEAtlanta,129.19
Decatur,NEDeKalb,151.72
Decatur,NFulton,2.14
Decatur,NWAtlanta,77.22
Decatur,NWDeKalb,132.67
Decatur,SDeKalb,101.33
Decatur,SEAtlanta,49.83
Decatur,SEDeKalb,126.67
Decatur,SFulton,8.41
Decatur,SWAtlanta,82.58
Decatur,SWDeKalb,208.41
Decatur,SandySprings,6.6
Decatur,Shannon,2.77
Decatur,Tri-Cities,95.74
NEAtlanta,Atlanta-DeKalb,326.61
NEAtlanta,Buckhead,2419.45
NEAtlanta,CBDAtlanta,1916.41
NEAtlanta,Chamblee,1548.59
NEAtlanta,Decatur,172
NEAtlanta,NEAtlanta,2761.36
NEAtlanta,NEDeKalb,575.82
NEAtlanta,NFulton,542.31
NEAtlanta,NWAtlanta,1281.76
NEAtlanta,NWDeKalb,763.26
NEAtlanta,Roswell,212.74
NEAtlanta,SDeKalb,193.39
NEAtlanta,SEAtlanta,919.92
NEAtlanta,SEDeKalb,324.91
NEAtlanta,SFulton,151.87
NEAtlanta,SWAtlanta,1389.59
NEAtlanta,SWDeKalb,719.14
NEAtlanta,SandySprings,1393.83
NEAtlanta,Shannon,183.24
NEAtlanta,Tri-Cities,1542.85
NEDeKalb,Atlanta-DeKalb,69.54
NEDeKalb,Buckhead,305.75
NEDeKalb,CBDAtlanta,1190.46
NEDeKalb,Chamblee,482.19
NEDeKalb,Decatur,107.76
NEDeKalb,NEAtlanta,581.73
NEDeKalb,NEDeKalb,1778.31
NEDeKalb,NFulton,39.75
NEDeKalb,NWAtlanta,252
NEDeKalb,NWDeKalb,605.62
NEDeKalb,Roswell,2.35
NEDeKalb,SDeKalb,109.03
NEDeKalb,SEAtlanta,101.72
NEDeKalb,SEDeKalb,365.18
NEDeKalb,SFulton,27.37
NEDeKalb,SWAtlanta,207.13
NEDeKalb,SWDeKalb,507.3
NEDeKalb,SandySprings,129.55
NEDeKalb,Shannon,45.38
NEDeKalb,Tri-Cities,298.56
NFulton,Atlanta-DeKalb,2.24
NFulton,Buckhead,195.17
NFulton,CBDAtlanta,613.87
NFulton,Chamblee,149.07
NFulton,NEAtlanta,579.71
NFulton,NEDeKalb,33.7
NFulton,NFulton,358.16
NFulton,NWAtlanta,43.88
NFulton,NWDeKalb,74.19
NFulton,Roswell,149.16
NFulton,SDeKalb,61.72
NFulton,SEAtlanta,37.94
NFulton,SEDeKalb,13.27
NFulton,SFulton,4.42
NFulton,SWAtlanta,81.56
NFulton,SWDeKalb,45.09
NFulton,SandySprings,245.41
NFulton,Shannon,12.85
NFulton,Tri-Cities,352.15
NWAtlanta,Atlanta-DeKalb,133.15
NWAtlanta,Buckhead,889.36
NWAtlanta,CBDAtlanta,1576.4
NWAtlanta,Chamblee,373.09
NWAtlanta,Decatur,56.91
NWAtlanta,NEAtlanta,1490.61
NWAtlanta,NEDeKalb,281.1
NWAtlanta,NFulton,94.1
NWAtlanta,NWAtlanta,2618.14
NWAtlanta,NWDeKalb,268.73
NWAtlanta,Roswell,32.74
NWAtlanta,SDeKalb,112.32
NWAtlanta,SEAtlanta,628.15
NWAtlanta,SEDeKalb,261.22
NWAtlanta,SFulton,97.31
NWAtlanta,SWAtlanta,2162.14
NWAtlanta,SWDeKalb,299.53
NWAtlanta,SandySprings,315.99
NWAtlanta,Shannon,153.8
NWAtlanta,Tri-Cities,829.24
NWDeKalb,Atlanta-DeKalb,71.71
NWDeKalb,Buckhead,364.95
NWDeKalb,CBDAtlanta,852.5
NWDeKalb,Chamblee,355.91
NWDeKalb,Decatur,190.46
NWDeKalb,NEAtlanta,696.72
NWDeKalb,NEDeKalb,598.37
NWDeKalb,NFulton,36.33
NWDeKalb,NWAtlanta,194.53
NWDeKalb,NWDeKalb,791.27
NWDeKalb,Roswell,19.45
NWDeKalb,SDeKalb,151
NWDeKalb,SEAtlanta,137.65
NWDeKalb,SEDeKalb,315.97
NWDeKalb,SFulton,15.47
NWDeKalb,SWAtlanta,240.36
NWDeKalb,SWDeKalb,382.82
NWDeKalb,SandySprings,121.98
NWDeKalb,Shannon,29.86
NWDeKalb,Tri-Cities,311.33
Roswell,Atlanta-DeKalb,0.53
Roswell,Buckhead,68.27
Roswell,CBDAtlanta,305.68
Roswell,Chamblee,53.41
Roswell,Decatur,6.55
Roswell,NEAtlanta,208.37
Roswell,NEDeKalb,5.11
Roswell,NFulton,110.5
Roswell,NWAtlanta,47.88
Roswell,NWDeKalb,1.51
Roswell,Roswell,176.61
Roswell,SDeKalb,5.5
Roswell,SEAtlanta,19.98
Roswell,SEDeKalb,5.91
Roswell,SWAtlanta,18.53
Roswell,SWDeKalb,20.25
Roswell,SandySprings,154.2
Roswell,Tri-Cities,153.77
SDeKalb,Atlanta-DeKalb,76.88
SDeKalb,Buckhead,115.41
SDeKalb,CBDAtlanta,321.61
SDeKalb,Chamblee,100.5
SDeKalb,Decatur,79.65
SDeKalb,NEAtlanta,165.89
SDeKalb,NEDeKalb,140.79
SDeKalb,NFulton,21.7
SDeKalb,NWAtlanta,88.44
SDeKalb,NWDeKalb,141.25
SDeKalb,Roswell,0.94
SDeKalb,SDeKalb,314.53
SDeKalb,SEAtlanta,63.04
SDeKalb,SEDeKalb,85.41
SDeKalb,SFulton,5.79
SDeKalb,SWAtlanta,116.13
SDeKalb,SWDeKalb,280.48
SDeKalb,SandySprings,44.49
SDeKalb,Shannon,17.63
SDeKalb,Tri-Cities,124.61
SEAtlanta,Atlanta-DeKalb,157.3
SEAtlanta,Buckhead,584.13
