FROM,TO,Trips
Barrow,Barrow,0
Barrow,Bartow,0
Barrow,Carroll,0
Barrow,Cherokee,0
Barrow,Clayton,0
Barrow,Cobb,0
Barrow,Coweta,0
Barrow,DeKalb,0
Barrow,Douglas,0
Barrow,Fayette,0
Barrow,Forsyth,0
Barrow,Fulton,0
Barrow,Gwinnett,0
Barrow,Hall,0
Barrow,Henry,0
Barrow,Newton,0
Barrow,Paulding,0
Barrow,Rockdale,0
Barrow,Spalding,0
Barrow,Walton,0
Bartow,Barrow,0
Bartow,Bartow,0
Bartow,Carroll,0
Bartow,Cherokee,0
Bartow,Clayton,0
Bartow,Cobb,0
Bartow,Coweta,0
Bartow,DeKalb,0
Bartow,Douglas,0
Bartow,Fayette,0
Bartow,Forsyth,0
Bartow,Fulton,0
Bartow,Gwinnett,0
Bartow,Hall,0
Bartow,Henry,0
Bartow,Newton,0
Bartow,Paulding,0
Bartow,Rockdale,0
Bartow,Spalding,0
Bartow,Walton,0
Carroll,Barrow,0
Carroll,Bartow,0
Carroll,Carroll,0
Carroll,Cherokee,0
Carroll,Clayton,0
Carroll,Cobb,0
Carroll,Coweta,0
Carroll,DeKalb,12.62
Carroll,Douglas,0
Carroll,Fayette,0
Carroll,Forsyth,0
Carroll,Fulton,22.6
Carroll,Gwinnett,0
Carroll,Hall,0
Carroll,Henry,0
Carroll,Newton,0
Carroll,Paulding,0
Carroll,Rockdale,0
Carroll,Spalding,0
Carroll,Walton,0
Cherokee,Barrow,0
Cherokee,Bartow,0
Cherokee,Carroll,0
Cherokee,Cherokee,0
Cherokee,Clayton,40.54
Cherokee,Cobb,0
Cherokee,Coweta,0
Cherokee,DeKalb,2.28
Cherokee,Douglas,0
Cherokee,Fayette,0
Cherokee,Forsyth,0
Cherokee,Fulton,105.44
Cherokee,Gwinnett,0
Cherokee,Hall,0
Cherokee,Henry,0
Cherokee,Newton,0
Cherokee,Paulding,0
Cherokee,Rockdale,0
Cherokee,Spalding,0
Cherokee,Walton,0
Clayton,Barrow,12.61
Clayton,Bartow,7.47
Clayton,Carroll,12.49
Clayton,Cherokee,40.16
Clayton,Clayton,4325.09
Clayton,Cobb,527.27
Clayton,Coweta,6.25
Clayton,DeKalb,3775.81
Clayton,Douglas,18.68
Clayton,Fayette,0
Clayton,Forsyth,104.12
Clayton,Fulton,13951.8
Clayton,Gwinnett,507.25
Clayton,Hall,6.96
Clayton,Henry,23.33
Clayton,Newton,0.99
Clayton,Paulding,4.78
Clayton,Rockdale,19.16
Clayton,Spalding,0
Clayton,Walton,4.78
Cobb,Barrow,0
Cobb,Bartow,0
Cobb,Carroll,0
Cobb,Cherokee,3.91
Cobb,Clayton,303.44
Cobb,Cobb,26.85
Cobb,Coweta,0
Cobb,DeKalb,761.09
Cobb,Douglas,17.28
Cobb,Fayette,0
Cobb,Forsyth,12.35
Cobb,Fulton,2405.2
Cobb,Gwinnett,14.39
Cobb,Hall,0
Cobb,Henry,1.83
Cobb,Newton,0
Cobb,Paulding,0
Cobb,Rockdale,4.28
Cobb,Spalding,0
Cobb,Walton,0
Coweta,Barrow,0
Coweta,Bartow,0
Coweta,Carroll,0
Coweta,Cherokee,0
Coweta,Clayton,0
Coweta,Cobb,0
Coweta,Coweta,0
Coweta,DeKalb,35
Coweta,Douglas,0
Coweta,Fayette,0
Coweta,Forsyth,0
Coweta,Fulton,119.12
Coweta,Gwinnett,0
Coweta,Hall,0
Coweta,Henry,0
Coweta,Newton,0
Coweta,Paulding,0
Coweta,Rockdale,0
Coweta,Spalding,0
Coweta,Walton,0
DeKalb,Barrow,0
DeKalb,Bartow,0
DeKalb,Carroll,0
DeKalb,Cherokee,0
DeKalb,Clayton,4025.84
DeKalb,Cobb,845.08
DeKalb,Coweta,26.17
DeKalb,DeKalb,30930.39
DeKalb,Douglas,91.85
DeKalb,Fayette,55.1
DeKalb,Forsyth,29.25
DeKalb,Fulton,36390.53
DeKalb,Gwinnett,789.88
DeKalb,Hall,0
DeKalb,Henry,146.4
DeKalb,Newton,85.49
DeKalb,Paulding,6.43
DeKalb,Rockdale,21.53
DeKalb,Spalding,0
DeKalb,Walton,0
Douglas,Barrow,0
Douglas,Bartow,0
Douglas,Carroll,0
Douglas,Cherokee,0
Douglas,Clayton,11.03
Douglas,Cobb,0
Douglas,Coweta,0
Douglas,DeKalb,39.78
Douglas,Douglas,0
Douglas,Fayette,0
Douglas,Forsyth,0
Douglas,Fulton,317.56
Douglas,Gwinnett,0
Douglas,Hall,0
Douglas,Henry,0
Douglas,Newton,0
Douglas,Paulding,0
Douglas,Rockdale,0
Douglas,Spalding,0
Douglas,Walton,0
Fayette,Barrow,0
Fayette,Bartow,0
Fayette,Carroll,0
Fayette,Cherokee,0
Fayette,Clayton,26.35
Fayette,Cobb,0
Fayette,Coweta,0
Fayette,DeKalb,40.58
Fayette,Douglas,0
Fayette,Fayette,0
Fayette,Forsyth,0
Fayette,Fulton,228.43
Fayette,Gwinnett,0
Fayette,Hall,0
Fayette,Henry,0
Fayette,Newton,0
Fayette,Paulding,0
Fayette,Rockdale,0
Fayette,Spalding,0
Fayette,Walton,0
Forsyth,Barrow,0
Forsyth,Bartow,0
Forsyth,Carroll,0
Forsyth,Cherokee,0
Forsyth,Clayton,85.18
Forsyth,Cobb,0
Forsyth,Coweta,0
Forsyth,DeKalb,92.13
Forsyth,Douglas,0
Forsyth,Fayette,0
Forsyth,Forsyth,0
Forsyth,Fulton,427.19
Forsyth,Gwinnett,0
Forsyth,Hall,0
Forsyth,Henry,0
Forsyth,Newton,0
Forsyth,Paulding,0
Forsyth,Rockdale,0
Forsyth,Spalding,0
Forsyth,Walton,0
Fulton,Barrow,11.33
Fulton,Bartow,0
Fulton,Carroll,13.71
Fulton,Cherokee,148.62
Fulton,Clayton,13518.81
Fulton,Cobb,3080.72
Fulton,Coweta,93.53
Fulton,DeKalb,36594.59
Fulton,Douglas,287.23
Fulton,Fayette,168.46
Fulton,Forsyth,703.6
Fulton,Fulton,127493.97
Fulton,Gwinnett,2370.88
Fulton,Hall,77.88
Fulton,Henry,196.22
Fulton,Newton,70.27
Fulton,Paulding,37.38
Fulton,Rockdale,288.23
Fulton,Spalding,11.36
Fulton,Walton,36.47
Gwinnett,Barrow,0
Gwinnett,Bartow,0
Gwinnett,Carroll,0
Gwinnett,Cherokee,0
Gwinnett,Clayton,326.34
Gwinnett,Cobb,41.76
Gwinnett,Coweta,0
Gwinnett,DeKalb,779.69
Gwinnett,Douglas,2.27
Gwinnett,Fayette,0
Gwinnett,Forsyth,3.78
Gwinnett,Fulton,1975.83
Gwinnett,Gwinnett,13.67
Gwinnett,Hall,0
Gwinnett,Henry,0
Gwinnett,Newton,0
Gwinnett,Paulding,0
Gwinnett,Rockdale,9.66
Gwinnett,Spalding,0
Gwinnett,Walton,0
Hall,Barrow,0
Hall,Bartow,0
Hall,Carroll,0
Hall,Cherokee,0
Hall,Clayton,7.96
Hall,Cobb,0
Hall,Coweta,0
Hall,DeKalb,0
Hall,Douglas,0
Hall,Fayette,0
Hall,Forsyth,0
Hall,Fulton,8.74
Hall,Gwinnett,0
Hall,Hall,0
Hall,Henry,0
Hall,Newton,0
Hall,Paulding,0
Hall,Rockdale,0
Hall,Spalding,0
Hall,Walton,0
Henry,Barrow,0
Henry,Bartow,0
Henry,Carroll,0
Henry,Cherokee,0
Henry,Clayton,46.35
Henry,Cobb,0
Henry,Coweta,0
Henry,DeKalb,52.39
Henry,Douglas,0
Henry,Fayette,0
Henry,Forsyth,0
Henry,Fulton,298.25
Henry,Gwinnett,9.3
Henry,Hall,0
Henry,Henry,0
Henry,Newton,0
Henry,Paulding,0
Henry,Rockdale,0
Henry,Spalding,0
Henry,Walton,0
Newton,Barrow,0
Newton,Bartow,0
Newton,Carroll,0
Newton,Cherokee,0
Newton,Clayton,1.39
Newton,Cobb,0
Newton,Coweta,0
