DISTRICT,ODTYPE,QUANTITY,CHART_TYPE
Atlanta-DeKalb,ORIGIN,4109.47,TRIP ORIGIN OR DESTINATION
Atlanta-DeKalb,DESTINATION,3836.94,TRIP ORIGIN OR DESTINATION
Buckhead,ORIGIN,19336.22,TRIP ORIGIN OR DESTINATION
Buckhead,DESTINATION,20762.99,TRIP ORIGIN OR DESTINATION
CBDAtlanta,ORIGIN,29352.73,TRIP ORIGIN OR DESTINATION
CBDAtlanta,DESTINATION,30089.25,TRIP ORIGIN OR DESTINATION
Chamblee,ORIGIN,15881.8,TRIP ORIGIN OR DESTINATION
Chamblee,DESTINATION,16364.17,TRIP ORIGIN OR DESTINATION
Decatur,ORIGIN,2518.74,TRIP ORIGIN OR DESTINATION
Decatur,DESTINATION,2437.88,TRIP ORIGIN OR DESTINATION
NEAtlanta,ORIGIN,29523.96,TRIP ORIGIN OR DESTINATION
NEAtlanta,DESTINATION,28266.44,TRIP ORIGIN OR DESTINATION
NEDeKalb,ORIGIN,12403.61,TRIP ORIGIN OR DESTINATION
NEDeKalb,DESTINATION,12210.78,TRIP ORIGIN OR DESTINATION
NFulton,ORIGIN,4777.96,TRIP ORIGIN OR DESTINATION
NFulton,DESTINATION,4755.69,TRIP ORIGIN OR DESTINATION
NWAtlanta,ORIGIN,21768.92,TRIP ORIGIN OR DESTINATION
NWAtlanta,DESTINATION,20850.01,TRIP ORIGIN OR DESTINATION
NWDeKalb,ORIGIN,10044.93,TRIP ORIGIN OR DESTINATION
NWDeKalb,DESTINATION,10125.15,TRIP ORIGIN OR DESTINATION
Roswell,ORIGIN,1920.28,TRIP ORIGIN OR DESTINATION
Roswell,DESTINATION,1955.84,TRIP ORIGIN OR DESTINATION
SDeKalb,ORIGIN,3983.28,TRIP ORIGIN OR DESTINATION
SDeKalb,DESTINATION,4202.41,TRIP ORIGIN OR DESTINATION
SEAtlanta,ORIGIN,17430.02,TRIP ORIGIN OR DESTINATION
SEAtlanta,DESTINATION,18067.06,TRIP ORIGIN OR DESTINATION
SEDeKalb,ORIGIN,7756.04,TRIP ORIGIN OR DESTINATION
SEDeKalb,DESTINATION,7788.66,TRIP ORIGIN OR DESTINATION
SFulton,ORIGIN,2301.56,TRIP ORIGIN OR DESTINATION
SFulton,DESTINATION,2342.54,TRIP ORIGIN OR DESTINATION
SWAtlanta,ORIGIN,30364.76,TRIP ORIGIN OR DESTINATION
SWAtlanta,DESTINATION,29206.91,TRIP ORIGIN OR DESTINATION
SWDeKalb,ORIGIN,13227.95,TRIP ORIGIN OR DESTINATION
SWDeKalb,DESTINATION,12747,TRIP ORIGIN OR DESTINATION
SandySprings,ORIGIN,11689.3,TRIP ORIGIN OR DESTINATION
SandySprings,DESTINATION,10901.82,TRIP ORIGIN OR DESTINATION
Shannon,ORIGIN,4456.37,TRIP ORIGIN OR DESTINATION
Shannon,DESTINATION,5087.8,TRIP ORIGIN OR DESTINATION
Tri-Cities,ORIGIN,15834.91,TRIP ORIGIN OR DESTINATION
Tri-Cities,DESTINATION,15355.62,TRIP ORIGIN OR DESTINATION
