GROUP,OPPO_DIR_TRIP_TIME,COUNT,CHART_TYPE
Expanded Response,Before 5:00 am,743.63,TRIP IN OPPO DIR TIME
Expanded Response,5:00 am - 6:00 am,5146.96,TRIP IN OPPO DIR TIME
Expanded Response,6:00 am - 7:00 am,6985.18,TRIP IN OPPO DIR TIME
Expanded Response,7:00 am - 8:00 am,6513.17,TRIP IN OPPO DIR TIME
Expanded Response,8:00 am - 9:00 am,4938.37,TRIP IN OPPO DIR TIME
Expanded Response,9:00 am - 10:00 am,3777.29,TRIP IN OPPO DIR TIME
Expanded Response,10:00 am - 11:00 am,3611.68,TRIP IN OPPO DIR TIME
Expanded Response,11:00 am - 12:00 noon,3449.98,TRIP IN OPPO DIR TIME
Expanded Response,12:00 noon - 1:00 pm,3751.81,TRIP IN OPPO DIR TIME
Expanded Response,1:00 pm - 2:00 pm,4203.56,TRIP IN OPPO DIR TIME
Expanded Response,2:00 pm - 3:00 pm,6034.13,TRIP IN OPPO DIR TIME
Expanded Response,3:00 pm - 4:00 pm,8303.25,TRIP IN OPPO DIR TIME
Expanded Response,4:00 pm - 5:00 pm,12063.48,TRIP IN OPPO DIR TIME
Expanded Response,5:00 pm - 6:00 pm,14619.46,TRIP IN OPPO DIR TIME
Expanded Response,6:00 pm - 7:00 pm,9453.04,TRIP IN OPPO DIR TIME
Expanded Response,7:00 pm - 8:00 pm,6207.14,TRIP IN OPPO DIR TIME
Expanded Response,8:00 pm - 9:00 pm,4636.21,TRIP IN OPPO DIR TIME
Expanded Response,9:00 pm - 10:00 pm,5413.51,TRIP IN OPPO DIR TIME
Expanded Response,10:00 pm - 11:00 pm,5609.62,TRIP IN OPPO DIR TIME
Expanded Response,11:00 pm and later,4108.02,TRIP IN OPPO DIR TIME
