TOURS AND STOPS,HOUSEHOLD VEH AVAILABLE,COUNT,CHART
"No Tours, No Stops",YES,14,HOUSEHOLD VEHICLES AVAILABILITY
"No Tours, No Stops",NO,16,HOUSEHOLD VEHICLES AVAILABILITY
"No Tours, No Stops",REFUSE,2,HOUSEHOLD VEHICLES AVAILABILITY
"No Tours, No Stops",RESPONSE UNAVAILABLE,104,HOUSEHOLD VEHICLES AVAILABILITY
"No Tours, No Stops",ZERO VEH HH,89,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, No Stops",YES,67,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, No Stops",NO,28,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, No Stops",REFUSE,9,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, No Stops",RESPONSE UNAVAILABLE,167,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, No Stops",ZERO VEH HH,103,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 1 Stop",YES,30,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 1 Stop",NO,11,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 1 Stop",REFUSE,3,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 1 Stop",RESPONSE UNAVAILABLE,101,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 1 Stop",ZERO VEH HH,89,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 2 Stops",YES,7,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 2 Stops",NO,2,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 2 Stops",REFUSE,1,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 2 Stops",RESPONSE UNAVAILABLE,35,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 2 Stops",ZERO VEH HH,24,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 3 Stops",YES,5,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 3 Stops",NO,2,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 3 Stops",RESPONSE UNAVAILABLE,9,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 3 Stops",ZERO VEH HH,10,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 4+ Stops",RESPONSE UNAVAILABLE,8,HOUSEHOLD VEHICLES AVAILABILITY
"1 Tour, 4+ Stops",ZERO VEH HH,12,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, No Stops",YES,1,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, No Stops",NO,1,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, No Stops",RESPONSE UNAVAILABLE,5,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, No Stops",ZERO VEH HH,1,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 1 Stop",YES,2,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 1 Stop",REFUSE,1,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 1 Stop",RESPONSE UNAVAILABLE,7,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 1 Stop",ZERO VEH HH,4,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 2 Stops",YES,2,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 2 Stops",RESPONSE UNAVAILABLE,6,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 2 Stops",ZERO VEH HH,6,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 3 Stops",YES,1,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 3 Stops",RESPONSE UNAVAILABLE,6,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 3 Stops",ZERO VEH HH,3,HOUSEHOLD VEHICLES AVAILABILITY
"2 Tours, 4+ Stops",RESPONSE UNAVAILABLE,5,HOUSEHOLD VEHICLES AVAILABILITY
"4+ Tours, 4+ Stops",RESPONSE UNAVAILABLE,1,HOUSEHOLD VEHICLES AVAILABILITY
