TOURS AND STOPS,HAS NEITHER,COUNT,CHART
"No Tours, No Stops",No,97,HAS NEITHER
"No Tours, No Stops",Yes,128,HAS NEITHER
"1 Tour, No Stops",No,350,HAS NEITHER
"1 Tour, No Stops",Yes,24,HAS NEITHER
"1 Tour, 1 Stop",No,109,HAS NEITHER
"1 Tour, 1 Stop",Yes,125,HAS NEITHER
"1 Tour, 2 Stops",No,28,HAS NEITHER
"1 Tour, 2 Stops",Yes,41,HAS NEITHER
"1 Tour, 3 Stops",No,15,HAS NEITHER
"1 Tour, 3 Stops",Yes,11,HAS NEITHER
"1 Tour, 4+ Stops",No,8,HAS NEITHER
"1 Tour, 4+ Stops",Yes,12,HAS NEITHER
"2 Tours, No Stops",No,7,HAS NEITHER
"2 Tours, No Stops",Yes,1,HAS NEITHER
"2 Tours, 1 Stop",No,11,HAS NEITHER
"2 Tours, 1 Stop",Yes,3,HAS NEITHER
"2 Tours, 2 Stops",No,4,HAS NEITHER
"2 Tours, 2 Stops",Yes,10,HAS NEITHER
"2 Tours, 3 Stops",No,3,HAS NEITHER
"2 Tours, 3 Stops",Yes,7,HAS NEITHER
"2 Tours, 4+ Stops",No,1,HAS NEITHER
"2 Tours, 4+ Stops",Yes,4,HAS NEITHER
"4+ Tours, 4+ Stops",Yes,1,HAS NEITHER
