TOURS AND STOPS,HAS WORK SCHOOL,COUNT,CHART
"No Tours, No Stops",No,224,HAS WORK AND SCHOOL
"No Tours, No Stops",Yes,1,HAS WORK AND SCHOOL
"1 Tour, No Stops",No,369,HAS WORK AND SCHOOL
"1 Tour, No Stops",Yes,5,HAS WORK AND SCHOOL
"1 Tour, 1 Stop",No,229,HAS WORK AND SCHOOL
"1 Tour, 1 Stop",Yes,5,HAS WORK AND SCHOOL
"1 Tour, 2 Stops",No,69,HAS WORK AND SCHOOL
"1 Tour, 3 Stops",No,26,HAS WORK AND SCHOOL
"1 Tour, 4+ Stops",No,20,HAS WORK AND SCHOOL
"2 Tours, No Stops",No,4,HAS WORK AND SCHOOL
"2 Tours, No Stops",Yes,4,HAS WORK AND SCHOOL
"2 Tours, 1 Stop",No,13,HAS WORK AND SCHOOL
"2 Tours, 1 Stop",Yes,1,HAS WORK AND SCHOOL
"2 Tours, 2 Stops",No,14,HAS WORK AND SCHOOL
"2 Tours, 3 Stops",No,10,HAS WORK AND SCHOOL
"2 Tours, 4+ Stops",No,5,HAS WORK AND SCHOOL
"4+ Tours, 4+ Stops",No,1,HAS WORK AND SCHOOL
