TOURS AND STOPS,HOUSEHOLD SIZE,COUNT,CHART
"No Tours, No Stops",1 PERSON,50,HOUSEHOLD SIZE
"No Tours, No Stops",2 PERSONS,64,HOUSEHOLD SIZE
"No Tours, No Stops",3 PERSONS,39,HOUSEHOLD SIZE
"No Tours, No Stops",4 PERSONS,35,HOUSEHOLD SIZE
"No Tours, No Stops",5 PERSONS,19,HOUSEHOLD SIZE
"No Tours, No Stops",6+ PERSONS,18,HOUSEHOLD SIZE
"1 Tour, No Stops",1 PERSON,76,HOUSEHOLD SIZE
"1 Tour, No Stops",2 PERSONS,100,HOUSEHOLD SIZE
"1 Tour, No Stops",3 PERSONS,74,HOUSEHOLD SIZE
"1 Tour, No Stops",4 PERSONS,78,HOUSEHOLD SIZE
"1 Tour, No Stops",5 PERSONS,26,HOUSEHOLD SIZE
"1 Tour, No Stops",6+ PERSONS,20,HOUSEHOLD SIZE
"1 Tour, 1 Stop",1 PERSON,56,HOUSEHOLD SIZE
"1 Tour, 1 Stop",2 PERSONS,62,HOUSEHOLD SIZE
"1 Tour, 1 Stop",3 PERSONS,47,HOUSEHOLD SIZE
"1 Tour, 1 Stop",4 PERSONS,32,HOUSEHOLD SIZE
"1 Tour, 1 Stop",5 PERSONS,21,HOUSEHOLD SIZE
"1 Tour, 1 Stop",6+ PERSONS,16,HOUSEHOLD SIZE
"1 Tour, 2 Stops",1 PERSON,18,HOUSEHOLD SIZE
"1 Tour, 2 Stops",2 PERSONS,23,HOUSEHOLD SIZE
"1 Tour, 2 Stops",3 PERSONS,13,HOUSEHOLD SIZE
"1 Tour, 2 Stops",4 PERSONS,6,HOUSEHOLD SIZE
"1 Tour, 2 Stops",5 PERSONS,6,HOUSEHOLD SIZE
"1 Tour, 2 Stops",6+ PERSONS,3,HOUSEHOLD SIZE
"1 Tour, 3 Stops",1 PERSON,7,HOUSEHOLD SIZE
"1 Tour, 3 Stops",2 PERSONS,7,HOUSEHOLD SIZE
"1 Tour, 3 Stops",3 PERSONS,5,HOUSEHOLD SIZE
"1 Tour, 3 Stops",4 PERSONS,3,HOUSEHOLD SIZE
"1 Tour, 3 Stops",5 PERSONS,1,HOUSEHOLD SIZE
"1 Tour, 3 Stops",6+ PERSONS,3,HOUSEHOLD SIZE
"1 Tour, 4+ Stops",1 PERSON,9,HOUSEHOLD SIZE
"1 Tour, 4+ Stops",2 PERSONS,3,HOUSEHOLD SIZE
"1 Tour, 4+ Stops",3 PERSONS,4,HOUSEHOLD SIZE
"1 Tour, 4+ Stops",4 PERSONS,2,HOUSEHOLD SIZE
"1 Tour, 4+ Stops",5 PERSONS,1,HOUSEHOLD SIZE
"1 Tour, 4+ Stops",6+ PERSONS,1,HOUSEHOLD SIZE
"2 Tours, No Stops",1 PERSON,1,HOUSEHOLD SIZE
"2 Tours, No Stops",2 PERSONS,3,HOUSEHOLD SIZE
"2 Tours, No Stops",3 PERSONS,2,HOUSEHOLD SIZE
"2 Tours, No Stops",4 PERSONS,2,HOUSEHOLD SIZE
"2 Tours, 1 Stop",1 PERSON,6,HOUSEHOLD SIZE
"2 Tours, 1 Stop",2 PERSONS,3,HOUSEHOLD SIZE
"2 Tours, 1 Stop",4 PERSONS,3,HOUSEHOLD SIZE
"2 Tours, 1 Stop",6+ PERSONS,2,HOUSEHOLD SIZE
"2 Tours, 2 Stops",1 PERSON,4,HOUSEHOLD SIZE
"2 Tours, 2 Stops",2 PERSONS,7,HOUSEHOLD SIZE
"2 Tours, 2 Stops",3 PERSONS,2,HOUSEHOLD SIZE
"2 Tours, 2 Stops",4 PERSONS,1,HOUSEHOLD SIZE
"2 Tours, 3 Stops",1 PERSON,3,HOUSEHOLD SIZE
"2 Tours, 3 Stops",2 PERSONS,1,HOUSEHOLD SIZE
"2 Tours, 3 Stops",3 PERSONS,4,HOUSEHOLD SIZE
"2 Tours, 3 Stops",5 PERSONS,1,HOUSEHOLD SIZE
"2 Tours, 3 Stops",6+ PERSONS,1,HOUSEHOLD SIZE
"2 Tours, 4+ Stops",1 PERSON,2,HOUSEHOLD SIZE
"2 Tours, 4+ Stops",4 PERSONS,3,HOUSEHOLD SIZE
"4+ Tours, 4+ Stops",2 PERSONS,1,HOUSEHOLD SIZE
