TOURS AND STOPS,NON TRANSIT,COUNT,CHART
"No Tours, No Stops",No,109,NON TRANSIT
"No Tours, No Stops",Yes,116,NON TRANSIT
"1 Tour, No Stops",No,322,NON TRANSIT
"1 Tour, No Stops",Yes,52,NON TRANSIT
"1 Tour, 1 Stop",No,172,NON TRANSIT
"1 Tour, 1 Stop",Yes,62,NON TRANSIT
"1 Tour, 2 Stops",No,52,NON TRANSIT
"1 Tour, 2 Stops",Yes,17,NON TRANSIT
"1 Tour, 3 Stops",No,20,NON TRANSIT
"1 Tour, 3 Stops",Yes,6,NON TRANSIT
"1 Tour, 4+ Stops",No,9,NON TRANSIT
"1 Tour, 4+ Stops",Yes,11,NON TRANSIT
"2 Tours, No Stops",No,8,NON TRANSIT
"2 Tours, 1 Stop",No,10,NON TRANSIT
"2 Tours, 1 Stop",Yes,4,NON TRANSIT
"2 Tours, 2 Stops",No,11,NON TRANSIT
"2 Tours, 2 Stops",Yes,3,NON TRANSIT
"2 Tours, 3 Stops",No,6,NON TRANSIT
"2 Tours, 3 Stops",Yes,4,NON TRANSIT
"2 Tours, 4+ Stops",No,3,NON TRANSIT
"2 Tours, 4+ Stops",Yes,2,NON TRANSIT
"4+ Tours, 4+ Stops",Yes,1,NON TRANSIT
