FROM,TO,Trips
Atlanta-DeKalb,Atlanta-DeKalb,6
Atlanta-DeKalb,Buckhead,2
Atlanta-DeKalb,CBDAtlanta,2
Atlanta-DeKalb,Chamblee,1
Atlanta-DeKalb,Decatur,0
Atlanta-DeKalb,NEAtlanta,6
Atlanta-DeKalb,NEDeKalb,0
Atlanta-DeKalb,NFulton,0
Atlanta-DeKalb,NWAtlanta,0
Atlanta-DeKalb,NWDeKalb,3
Atlanta-DeKalb,Roswell,0
Atlanta-DeKalb,SDeKalb,1
Atlanta-DeKalb,SEAtlanta,1
Atlanta-DeKalb,SEDeKalb,0
Atlanta-DeKalb,SFulton,0
Atlanta-DeKalb,SWAtlanta,0
Atlanta-DeKalb,SWDeKalb,3
Atlanta-DeKalb,SandySprings,1
Atlanta-DeKalb,Shannon,0
Atlanta-DeKalb,Tri-Cities,0
Buckhead,Atlanta-DeKalb,0
Buckhead,Buckhead,56
Buckhead,CBDAtlanta,19
Buckhead,Chamblee,11
Buckhead,Decatur,0
Buckhead,NEAtlanta,20
Buckhead,NEDeKalb,4
Buckhead,NFulton,2
Buckhead,NWAtlanta,5
Buckhead,NWDeKalb,3
Buckhead,Roswell,1
Buckhead,SDeKalb,1
Buckhead,SEAtlanta,1
Buckhead,SEDeKalb,2
Buckhead,SFulton,0
Buckhead,SWAtlanta,8
Buckhead,SWDeKalb,0
Buckhead,SandySprings,10
Buckhead,Shannon,1
Buckhead,Tri-Cities,2
CBDAtlanta,Atlanta-DeKalb,2
CBDAtlanta,Buckhead,17
CBDAtlanta,CBDAtlanta,71
CBDAtlanta,Chamblee,11
CBDAtlanta,Decatur,4
CBDAtlanta,NEAtlanta,31
CBDAtlanta,NEDeKalb,2
CBDAtlanta,NFulton,0
CBDAtlanta,NWAtlanta,16
CBDAtlanta,NWDeKalb,7
CBDAtlanta,Roswell,0
CBDAtlanta,SDeKalb,3
CBDAtlanta,SEAtlanta,7
CBDAtlanta,SEDeKalb,3
CBDAtlanta,SFulton,2
CBDAtlanta,SWAtlanta,10
CBDAtlanta,SWDeKalb,11
CBDAtlanta,SandySprings,10
CBDAtlanta,Shannon,1
CBDAtlanta,Tri-Cities,17
Chamblee,Atlanta-DeKalb,0
Chamblee,Buckhead,10
Chamblee,CBDAtlanta,11
Chamblee,Chamblee,51
Chamblee,Decatur,0
Chamblee,NEAtlanta,12
Chamblee,NEDeKalb,3
Chamblee,NFulton,2
Chamblee,NWAtlanta,6
Chamblee,NWDeKalb,1
Chamblee,Roswell,0
Chamblee,SDeKalb,0
Chamblee,SEAtlanta,0
Chamblee,SEDeKalb,0
Chamblee,SFulton,0
Chamblee,SWAtlanta,4
Chamblee,SWDeKalb,1
Chamblee,SandySprings,7
Chamblee,Shannon,0
Chamblee,Tri-Cities,1
