FROM,TO,Trips
Bartow,Fulton,1
Cherokee,Fulton,1
Clayton,Clayton,39
Clayton,Cobb,1
Clayton,Dekalb,10
Clayton,Douglas,1
Clayton,Fulton,32
Clayton,Gwinnett,1
Cobb,Cobb,21
Cobb,Dekalb,3
Cobb,Franklin,1
Cobb,Fulton,20
Coweta,Fulton,1
Dawson,Hall,1
Dekalb,Clayton,6
Dekalb,Cobb,4
Dekalb,Dekalb,372
Dekalb,Douglas,2
Dekalb,Forsyth,3
Dekalb,Fulton,180
Dekalb,Gwinnett,9
Dekalb,Henry,1
Dekalb,Rockdale,1
Douglas,Dekalb,1
Douglas,Douglas,6
Douglas,Fulton,5
Fayette,Coweta,1
Fayette,Fayette,2
Forsyth,Dekalb,2
Forsyth,Forsyth,2
Forsyth,Fulton,5
Franklin,Fulton,1
Fulton,Bartow,1
Fulton,Clayton,38
Fulton,Cobb,17
Fulton,Dekalb,158
Fulton,Douglas,4
Fulton,Fayette,2
Fulton,Forsyth,3
Fulton,Fulton,1153
Fulton,Gwinnett,14
Fulton,Henry,1
Fulton,Rabun,1
Fulton,Rockdale,2
Fulton,Spalding,1
Gwinnett,Clayton,1
Gwinnett,Dekalb,10
Gwinnett,Fulton,17
Gwinnett,Gwinnett,12
Gwinnett,Rockdale,1
Hall,Dawson,1
Hall,Lumpkin,1
Henry,Dekalb,1
Henry,Fulton,4
Lamar,Spalding,1
Lumpkin,Hall,1
Rabun,Fulton,1
Rockdale,Dekalb,1
Rockdale,Fulton,2
Rockdale,Gwinnett,1
Rockdale,Rockdale,2
Spalding,Fulton,1
