TOURS AND STOPS,WALK TRANSIT,COUNT,CHART
"No Tours, No Stops",No,138,WALK TRANSIT ONLY
"No Tours, No Stops",Yes,87,WALK TRANSIT ONLY
"1 Tour, No Stops",No,143,WALK TRANSIT ONLY
"1 Tour, No Stops",Yes,230,WALK TRANSIT ONLY
"1 Tour, 1 Stop",No,96,WALK TRANSIT ONLY
"1 Tour, 1 Stop",Yes,138,WALK TRANSIT ONLY
"1 Tour, 2 Stops",No,32,WALK TRANSIT ONLY
"1 Tour, 2 Stops",Yes,36,WALK TRANSIT ONLY
"1 Tour, 3 Stops",No,17,WALK TRANSIT ONLY
"1 Tour, 3 Stops",Yes,9,WALK TRANSIT ONLY
"1 Tour, 4+ Stops",No,13,WALK TRANSIT ONLY
"1 Tour, 4+ Stops",Yes,7,WALK TRANSIT ONLY
"2 Tours, No Stops",No,5,WALK TRANSIT ONLY
"2 Tours, No Stops",Yes,4,WALK TRANSIT ONLY
"2 Tours, 1 Stop",No,6,WALK TRANSIT ONLY
"2 Tours, 1 Stop",Yes,7,WALK TRANSIT ONLY
"2 Tours, 2 Stops",No,4,WALK TRANSIT ONLY
"2 Tours, 2 Stops",Yes,9,WALK TRANSIT ONLY
"2 Tours, 3 Stops",No,6,WALK TRANSIT ONLY
"2 Tours, 3 Stops",Yes,4,WALK TRANSIT ONLY
"2 Tours, 4+ Stops",No,3,WALK TRANSIT ONLY
"2 Tours, 4+ Stops",Yes,2,WALK TRANSIT ONLY
"3 Tours, 1 Stop",No,1,WALK TRANSIT ONLY
"3 Tours, 2 Stops",No,1,WALK TRANSIT ONLY
"3 Tours, 2 Stops",Yes,1,WALK TRANSIT ONLY
"4+ Tours, 4+ Stops",No,1,WALK TRANSIT ONLY
