FROM,TO,FLOWS
External,External,0
Island.1,External,5625
Island.2,External,1596
Island.3,External,1953
Island.4,External,1160
King.1,External,84321
King.2,External,186360
King.3,External,120318
King.4,External,162843
King.5,External,71232
King.6,External,36713
King.7,External,97979
San Juan.1,External,2425
Skagit.1,External,5548
Skagit.2,External,1218
Skagit.3,External,1799
Skagit.4,External,234
Skagit.5,External,2320
Skagit.6,External,1164
Skagit.7,External,783
Skagit.8,External,2006
Snohomish.1,External,3207
Snohomish.2,External,2265
Snohomish.3,External,14264
Snohomish.4,External,2297
Snohomish.5,External,4792
Snohomish.6,External,9594
Snohomish.7,External,9497
Snohomish.8,External,16125
Snohomish.9,External,18572
Snohomish.10,External,2096
Whatcom.1,External,1422
Whatcom.2,External,4105
Whatcom.3,External,954
Whatcom.4,External,1036
Whatcom.5,External,11876
External,Island.1,5674
Island.1,Island.1,70113
Island.2,Island.1,4802
Island.3,Island.1,161
Island.4,Island.1,670
King.1,Island.1,422
King.2,Island.1,836
King.3,Island.1,479
King.4,Island.1,195
King.5,Island.1,188
King.6,Island.1,47
King.7,Island.1,102
San Juan.1,Island.1,57
Skagit.1,Island.1,1620
Skagit.2,Island.1,838
Skagit.3,Island.1,1464
Skagit.4,Island.1,114
Skagit.5,Island.1,2094
Skagit.6,Island.1,999
Skagit.7,Island.1,124
Skagit.8,Island.1,3641
Snohomish.1,Island.1,141
Snohomish.2,Island.1,162
Snohomish.3,Island.1,281
Snohomish.4,Island.1,37
Snohomish.5,Island.1,150
Snohomish.6,Island.1,194
Snohomish.7,Island.1,565
Snohomish.8,Island.1,116
Snohomish.9,Island.1,141
Snohomish.10,Island.1,22
Whatcom.1,Island.1,17
Whatcom.2,Island.1,74
Whatcom.3,Island.1,21
Whatcom.4,Island.1,39
Whatcom.5,Island.1,381
External,Island.2,1463
Island.1,Island.2,4797
Island.2,Island.2,7188
Island.3,Island.2,297
Island.4,Island.2,1934
King.1,Island.2,89
King.2,Island.2,183
King.3,Island.2,62
King.4,Island.2,29
King.5,Island.2,63
King.6,Island.2,50
King.7,Island.2,29
San Juan.1,Island.2,20
Skagit.1,Island.2,84
Skagit.2,Island.2,105
Skagit.3,Island.2,142
Skagit.4,Island.2,35
Skagit.5,Island.2,79
Skagit.6,Island.2,41
Skagit.7,Island.2,23
Skagit.8,Island.2,257
Snohomish.1,Island.2,79
Snohomish.2,Island.2,34
Snohomish.3,Island.2,87
Snohomish.4,Island.2,28
Snohomish.5,Island.2,67
Snohomish.6,Island.2,330
Snohomish.7,Island.2,400
Snohomish.8,Island.2,57
Snohomish.9,Island.2,40
Snohomish.10,Island.2,13
Whatcom.1,Island.2,8
Whatcom.2,Island.2,15
Whatcom.3,Island.2,4
Whatcom.4,Island.2,13
Whatcom.5,Island.2,97
External,Island.3,1903
Island.1,Island.3,152
Island.2,Island.3,288
Island.3,Island.3,6654
Island.4,Island.3,33
King.1,Island.3,183
King.2,Island.3,221
King.3,Island.3,132
King.4,Island.3,114
King.5,Island.3,170
King.6,Island.3,122
King.7,Island.3,26
San Juan.1,Island.3,7
Skagit.1,Island.3,250
Skagit.2,Island.3,553
Skagit.3,Island.3,433
Skagit.4,Island.3,33
Skagit.5,Island.3,275
Skagit.6,Island.3,305
Skagit.7,Island.3,126
Skagit.8,Island.3,230
Snohomish.1,Island.3,3675
Snohomish.2,Island.3,408
Snohomish.3,Island.3,943
Snohomish.4,Island.3,113
Snohomish.5,Island.3,251
Snohomish.6,Island.3,279
Snohomish.7,Island.3,715
Snohomish.8,Island.3,176
Snohomish.9,Island.3,181
Snohomish.10,Island.3,41
Whatcom.1,Island.3,3
Whatcom.2,Island.3,11
Whatcom.3,Island.3,5
Whatcom.4,Island.3,17
Whatcom.5,Island.3,85
External,Island.4,1141
Island.1,Island.4,685
Island.2,Island.4,1992
Island.3,Island.4,31
Island.4,Island.4,10849
King.1,Island.4,167
King.2,Island.4,229
King.3,Island.4,63
King.4,Island.4,77
King.5,Island.4,124
King.6,Island.4,55
King.7,Island.4,33
San Juan.1,Island.4,8
Skagit.1,Island.4,40
Skagit.2,Island.4,17
Skagit.3,Island.4,21
Skagit.4,Island.4,2
Skagit.5,Island.4,44
Skagit.6,Island.4,19
Skagit.7,Island.4,5
Skagit.8,Island.4,64
Snohomish.1,Island.4,17
Snohomish.2,Island.4,59
Snohomish.3,Island.4,38
Snohomish.4,Island.4,8
Snohomish.5,Island.4,101
Snohomish.6,Island.4,950
Snohomish.7,Island.4,93
Snohomish.8,Island.4,138
Snohomish.9,Island.4,87
Snohomish.10,Island.4,5
Whatcom.1,Island.4,5
Whatcom.2,Island.4,4
Whatcom.3,Island.4,2
Whatcom.4,Island.4,3
Whatcom.5,Island.4,28
External,King.1,83954
Island.1,King.1,425
Island.2,King.1,96
Island.3,King.1,194
Island.4,King.1,213
King.1,King.1,431126
King.2,King.1,138476
King.3,King.1,47120
King.4,King.1,20102
King.5,King.1,32455
King.6,King.1,8318
King.7,King.1,10037
San Juan.1,King.1,298
Skagit.1,King.1,277
Skagit.2,King.1,135
Skagit.3,King.1,235
Skagit.4,King.1,20
Skagit.5,King.1,180
Skagit.6,King.1,136
Skagit.7,King.1,88
Skagit.8,King.1,256
Snohomish.1,King.1,295
Snohomish.2,King.1,887
Snohomish.3,King.1,2515
Snohomish.4,King.1,476
Snohomish.5,King.1,3234
Snohomish.6,King.1,8369
Snohomish.7,King.1,3579
Snohomish.8,King.1,31140
Snohomish.9,King.1,12649
Snohomish.10,King.1,565
Whatcom.1,King.1,119
Whatcom.2,King.1,192
Whatcom.3,King.1,96
Whatcom.4,King.1,141
Whatcom.5,King.1,1501
External,King.2,183082
Island.1,King.2,815
Island.2,King.2,188
Island.3,King.2,252
Island.4,King.2,257
King.1,King.2,138975
King.2,King.2,684166
King.3,King.2,147514
King.4,King.2,45371
King.5,King.2,63832
King.6,King.2,17153
King.7,King.2,23499
San Juan.1,King.2,295
Skagit.1,King.2,352
Skagit.2,King.2,149
Skagit.3,King.2,337
Skagit.4,King.2,29
Skagit.5,King.2,251
Skagit.6,King.2,114
Skagit.7,King.2,102
Skagit.8,King.2,334
Snohomish.1,King.2,541
Snohomish.2,King.2,871
Snohomish.3,King.2,2337
Snohomish.4,King.2,464
Snohomish.5,King.2,2898
Snohomish.6,King.2,6284
Snohomish.7,King.2,3674
Snohomish.8,King.2,15489
Snohomish.9,King.2,11871
Snohomish.10,King.2,590
Whatcom.1,King.2,178
Whatcom.2,King.2,258
Whatcom.3,King.2,164
Whatcom.4,King.2,160
Whatcom.5,King.2,2121
External,King.3,117574
Island.1,King.3,475
Island.2,King.3,70
Island.3,King.3,113
Island.4,King.3,79
King.1,King.3,49269
King.2,King.3,149785
King.3,King.3,384144
King.4,King.3,72598
King.5,King.3,49426
King.6,King.3,6700
King.7,King.3,32576
San Juan.1,King.3,165
Skagit.1,King.3,190
Skagit.2,King.3,85
Skagit.3,King.3,233
Skagit.4,King.3,26
Skagit.5,King.3,141
Skagit.6,King.3,94
Skagit.7,King.3,70
Skagit.8,King.3,173
Snohomish.1,King.3,336
Snohomish.2,King.3,437
Snohomish.3,King.3,1150
Snohomish.4,King.3,223
Snohomish.5,King.3,1167
Snohomish.6,King.3,3024
Snohomish.7,King.3,1964
Snohomish.8,King.3,4531
Snohomish.9,King.3,4641
Snohomish.10,King.3,495
Whatcom.1,King.3,127
Whatcom.2,King.3,167
Whatcom.3,King.3,86
Whatcom.4,King.3,93
Whatcom.5,King.3,1076
External,King.4,158958
Island.1,King.4,243
Island.2,King.4,37
Island.3,King.4,112
Island.4,King.4,89
King.1,King.4,20098
King.2,King.4,46834
King.3,King.4,72624
King.4,King.4,378329
King.5,King.4,24657
King.6,King.4,4933
King.7,King.4,67978
San Juan.1,King.4,163
Skagit.1,King.4,116
Skagit.2,King.4,59
Skagit.3,King.4,141
Skagit.4,King.4,15
Skagit.5,King.4,121
Skagit.6,King.4,49
Skagit.7,King.4,43
Skagit.8,King.4,177
Snohomish.1,King.4,141
Snohomish.2,King.4,281
Snohomish.3,King.4,756
Snohomish.4,King.4,160
Snohomish.5,King.4,687
Snohomish.6,King.4,1780
Snohomish.7,King.4,1115
Snohomish.8,King.4,2497
Snohomish.9,King.4,2907
Snohomish.10,King.4,268
Whatcom.1,King.4,117
Whatcom.2,King.4,110
Whatcom.3,King.4,95
Whatcom.4,King.4,107
Whatcom.5,King.4,852
External,King.5,72213
Island.1,King.5,185
Island.2,King.5,80
Island.3,King.5,207
Island.4,King.5,158
King.1,King.5,32563
King.2,King.5,63606
King.3,King.5,49465
King.4,King.5,23856
King.5,King.5,706387
King.6,King.5,83453
King.7,King.5,48642
San Juan.1,King.5,154
Skagit.1,King.5,74
Skagit.2,King.5,94
Skagit.3,King.5,311
Skagit.4,King.5,23
Skagit.5,King.5,127
Skagit.6,King.5,59
Skagit.7,King.5,52
Skagit.8,King.5,180
Snohomish.1,King.5,324
Snohomish.2,King.5,761
Snohomish.3,King.5,2302
Snohomish.4,King.5,625
Snohomish.5,King.5,2523
Snohomish.6,King.5,7690
Snohomish.7,King.5,6635
Snohomish.8,King.5,13322
Snohomish.9,King.5,35318
Snohomish.10,King.5,1470
Whatcom.1,King.5,74
Whatcom.2,King.5,108
Whatcom.3,King.5,81
Whatcom.4,King.5,61
Whatcom.5,King.5,1040
External,King.6,36928
Island.1,King.6,54
Island.2,King.6,68
Island.3,King.6,135
Island.4,King.6,78
King.1,King.6,8343
King.2,King.6,17099
King.3,King.6,6759
King.4,King.6,4539
King.5,King.6,83367
King.6,King.6,278457
King.7,King.6,27522
San Juan.1,King.6,71
Skagit.1,King.6,38
Skagit.2,King.6,66
Skagit.3,King.6,96
Skagit.4,King.6,10
Skagit.5,King.6,61
Skagit.6,King.6,42
Skagit.7,King.6,24
Skagit.8,King.6,52
Snohomish.1,King.6,200
Snohomish.2,King.6,340
Snohomish.3,King.6,1130
Snohomish.4,King.6,360
Snohomish.5,King.6,840
Snohomish.6,King.6,2512
Snohomish.7,King.6,4919
Snohomish.8,King.6,3623
Snohomish.9,King.6,11482
Snohomish.10,King.6,1709
Whatcom.1,King.6,50
Whatcom.2,King.6,60
Whatcom.3,King.6,30
