AGE GROUP,FREQUENCY,PERSON,CHART
18-34,Never,192464,TELECOMMUTE FREQUENCY
18-34,A few times per year,20805,TELECOMMUTE FREQUENCY
18-34,1-3 days per month,6365,TELECOMMUTE FREQUENCY
18-34,1-3 days per week,39795,TELECOMMUTE FREQUENCY
18-34,4+ days per week,55776,TELECOMMUTE FREQUENCY
35-54,Never,314288,TELECOMMUTE FREQUENCY
35-54,A few times per year,65522,TELECOMMUTE FREQUENCY
35-54,1-3 days per month,38921,TELECOMMUTE FREQUENCY
35-54,1-3 days per week,59559,TELECOMMUTE FREQUENCY
35-54,4+ days per week,67177,TELECOMMUTE FREQUENCY
55+,Never,220470,TELECOMMUTE FREQUENCY
55+,A few times per year,29302,TELECOMMUTE FREQUENCY
55+,1-3 days per month,24191,TELECOMMUTE FREQUENCY
55+,1-3 days per week,18974,TELECOMMUTE FREQUENCY
55+,4+ days per week,24107,TELECOMMUTE FREQUENCY
