TYPE,TIME PERIOD,TRIPS,CHART
TRIP START,12 AM,14974,TYPICAL TRAVEL
TRIP START,1 AM,11226,TYPICAL TRAVEL
TRIP START,2 AM,19327,TYPICAL TRAVEL
TRIP START,3 AM,24249,TYPICAL TRAVEL
TRIP START,4 AM,47436,TYPICAL TRAVEL
TRIP START,5 AM,166173,TYPICAL TRAVEL
TRIP START,6 AM,511114,TYPICAL TRAVEL
TRIP START,7 AM,1170784,TYPICAL TRAVEL
TRIP START,8 AM,879053,TYPICAL TRAVEL
TRIP START,9 AM,791023,TYPICAL TRAVEL
TRIP START,10 AM,769234,TYPICAL TRAVEL
TRIP START,11 AM,863633,TYPICAL TRAVEL
TRIP START,12 PM,884600,TYPICAL TRAVEL
TRIP START,1 PM,866386,TYPICAL TRAVEL
TRIP START,2 PM,950997,TYPICAL TRAVEL
TRIP START,3 PM,961938,TYPICAL TRAVEL
TRIP START,4 PM,1067508,TYPICAL TRAVEL
TRIP START,5 PM,1112191,TYPICAL TRAVEL
TRIP START,6 PM,828974,TYPICAL TRAVEL
TRIP START,7 PM,622655,TYPICAL TRAVEL
TRIP START,8 PM,388255,TYPICAL TRAVEL
TRIP START,9 PM,256979,TYPICAL TRAVEL
TRIP START,10 PM,138810,TYPICAL TRAVEL
TRIP START,11 PM,39749,TYPICAL TRAVEL
TRIP END,12 AM,22006,TYPICAL TRAVEL
TRIP END,1 AM,11333,TYPICAL TRAVEL
TRIP END,2 AM,8923,TYPICAL TRAVEL
TRIP END,3 AM,36121,TYPICAL TRAVEL
TRIP END,4 AM,20697,TYPICAL TRAVEL
TRIP END,5 AM,99474,TYPICAL TRAVEL
TRIP END,6 AM,323672,TYPICAL TRAVEL
TRIP END,7 AM,975476,TYPICAL TRAVEL
TRIP END,8 AM,1070163,TYPICAL TRAVEL
TRIP END,9 AM,778956,TYPICAL TRAVEL
TRIP END,10 AM,818341,TYPICAL TRAVEL
TRIP END,11 AM,813576,TYPICAL TRAVEL
TRIP END,12 PM,942502,TYPICAL TRAVEL
TRIP END,1 PM,830629,TYPICAL TRAVEL
TRIP END,2 PM,888339,TYPICAL TRAVEL
TRIP END,3 PM,995111,TYPICAL TRAVEL
TRIP END,4 PM,990918,TYPICAL TRAVEL
TRIP END,5 PM,1107949,TYPICAL TRAVEL
TRIP END,6 PM,987379,TYPICAL TRAVEL
TRIP END,7 PM,705371,TYPICAL TRAVEL
TRIP END,8 PM,445854,TYPICAL TRAVEL
TRIP END,9 PM,280498,TYPICAL TRAVEL
TRIP END,10 PM,173806,TYPICAL TRAVEL
TRIP END,11 PM,60173,TYPICAL TRAVEL
