FROM,TO,TRIPS
Brooksville Area,Brooksville Area,40607
Brooksville Area,Croom WMA  NE Hernando,3585
Brooksville Area,Crystal River and NW Citrus,56
Brooksville Area,External,1601
Brooksville Area,Hillsborough  Manatee Spur,1129
Brooksville Area,Homosassa Springs  SW Citrus,243
Brooksville Area,Inverness and NE Citrus,64
Brooksville Area,Lake Lindsey  N. Central Hernando,2211
Brooksville Area,NW Hernando,1114
Brooksville Area,North Central Citrus,118
Brooksville Area,Pasco,3114
Brooksville Area,Pinellas,365
Brooksville Area,Richloam WMA and E Hernando,367
Brooksville Area,South Central Hernando,4947
Brooksville Area,South East Citrus,250
Brooksville Area,Spring Hill and SW Hernando,9287
Croom WMA  NE Hernando,Brooksville Area,3585
Croom WMA  NE Hernando,Croom WMA  NE Hernando,2127
Croom WMA  NE Hernando,Crystal River and NW Citrus,64
Croom WMA  NE Hernando,External,707
Croom WMA  NE Hernando,Hillsborough  Manatee Spur,342
Croom WMA  NE Hernando,Homosassa Springs  SW Citrus,54
Croom WMA  NE Hernando,Inverness and NE Citrus,14
Croom WMA  NE Hernando,Lake Lindsey  N. Central Hernando,311
Croom WMA  NE Hernando,NW Hernando,112
Croom WMA  NE Hernando,North Central Citrus,58
Croom WMA  NE Hernando,Pasco,1007
Croom WMA  NE Hernando,Pinellas,64
Croom WMA  NE Hernando,Richloam WMA and E Hernando,304
Croom WMA  NE Hernando,South Central Hernando,1113
Croom WMA  NE Hernando,South East Citrus,198
Croom WMA  NE Hernando,Spring Hill and SW Hernando,1019
Crystal River and NW Citrus,Brooksville Area,56
Crystal River and NW Citrus,Croom WMA  NE Hernando,64
Crystal River and NW Citrus,Crystal River and NW Citrus,38059
Crystal River and NW Citrus,External,3983
Crystal River and NW Citrus,Hillsborough  Manatee Spur,87
Crystal River and NW Citrus,Homosassa Springs  SW Citrus,9121
Crystal River and NW Citrus,Inverness and NE Citrus,3182
Crystal River and NW Citrus,Lake Lindsey  N. Central Hernando,60
Crystal River and NW Citrus,NW Hernando,231
Crystal River and NW Citrus,North Central Citrus,12219
Crystal River and NW Citrus,Pasco,243
Crystal River and NW Citrus,Pinellas,73
Crystal River and NW Citrus,Richloam WMA and E Hernando,4
Crystal River and NW Citrus,South Central Hernando,37
Crystal River and NW Citrus,South East Citrus,1075
Crystal River and NW Citrus,Spring Hill and SW Hernando,438
External,Brooksville Area,1601
External,Croom WMA  NE Hernando,707
External,Crystal River and NW Citrus,3983
External,External,0
External,Hillsborough  Manatee Spur,0
External,Homosassa Springs  SW Citrus,2353
External,Inverness and NE Citrus,3959
External,Lake Lindsey  N. Central Hernando,337
External,NW Hernando,325
External,North Central Citrus,9954
External,Pasco,0
External,Pinellas,0
External,Richloam WMA and E Hernando,1280
External,South Central Hernando,628
External,South East Citrus,2326
External,Spring Hill and SW Hernando,2829
Hillsborough  Manatee Spur,Brooksville Area,1129
Hillsborough  Manatee Spur,Croom WMA  NE Hernando,342
Hillsborough  Manatee Spur,Crystal River and NW Citrus,87
Hillsborough  Manatee Spur,External,0
Hillsborough  Manatee Spur,Hillsborough  Manatee Spur,0
Hillsborough  Manatee Spur,Homosassa Springs  SW Citrus,199
Hillsborough  Manatee Spur,Inverness and NE Citrus,50
Hillsborough  Manatee Spur,Lake Lindsey  N. Central Hernando,216
Hillsborough  Manatee Spur,NW Hernando,375
Hillsborough  Manatee Spur,North Central Citrus,99
Hillsborough  Manatee Spur,Pasco,0
Hillsborough  Manatee Spur,Pinellas,0
Hillsborough  Manatee Spur,Richloam WMA and E Hernando,727
Hillsborough  Manatee Spur,South Central Hernando,1671
Hillsborough  Manatee Spur,South East Citrus,72
Hillsborough  Manatee Spur,Spring Hill and SW Hernando,8045
Homosassa Springs  SW Citrus,Brooksville Area,243
Homosassa Springs  SW Citrus,Croom WMA  NE Hernando,54
Homosassa Springs  SW Citrus,Crystal River and NW Citrus,9121
Homosassa Springs  SW Citrus,External,2353
Homosassa Springs  SW Citrus,Hillsborough  Manatee Spur,199
Homosassa Springs  SW Citrus,Homosassa Springs  SW Citrus,36984
Homosassa Springs  SW Citrus,Inverness and NE Citrus,3180
Homosassa Springs  SW Citrus,Lake Lindsey  N. Central Hernando,213
Homosassa Springs  SW Citrus,NW Hernando,935
Homosassa Springs  SW Citrus,North Central Citrus,6602
Homosassa Springs  SW Citrus,Pasco,896
Homosassa Springs  SW Citrus,Pinellas,162
Homosassa Springs  SW Citrus,Richloam WMA and E Hernando,16
Homosassa Springs  SW Citrus,South Central Hernando,125
Homosassa Springs  SW Citrus,South East Citrus,919
Homosassa Springs  SW Citrus,Spring Hill and SW Hernando,1925
Inverness and NE Citrus,Brooksville Area,64
Inverness and NE Citrus,Croom WMA  NE Hernando,14
Inverness and NE Citrus,Crystal River and NW Citrus,3182
Inverness and NE Citrus,External,3959
Inverness and NE Citrus,Hillsborough  Manatee Spur,50
Inverness and NE Citrus,Homosassa Springs  SW Citrus,3180
Inverness and NE Citrus,Inverness and NE Citrus,31104
Inverness and NE Citrus,Lake Lindsey  N. Central Hernando,49
Inverness and NE Citrus,NW Hernando,44
Inverness and NE Citrus,North Central Citrus,13289
Inverness and NE Citrus,Pasco,168
Inverness and NE Citrus,Pinellas,35
Inverness and NE Citrus,Richloam WMA and E Hernando,22
Inverness and NE Citrus,South Central Hernando,21
Inverness and NE Citrus,South East Citrus,6744
Inverness and NE Citrus,Spring Hill and SW Hernando,198
Lake Lindsey  N. Central Hernando,Brooksville Area,2211
Lake Lindsey  N. Central Hernando,Croom WMA  NE Hernando,311
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,60
Lake Lindsey  N. Central Hernando,External,337
Lake Lindsey  N. Central Hernando,Hillsborough  Manatee Spur,216
Lake Lindsey  N. Central Hernando,Homosassa Springs  SW Citrus,213
Lake Lindsey  N. Central Hernando,Inverness and NE Citrus,49
Lake Lindsey  N. Central Hernando,Lake Lindsey  N. Central Hernando,2404
Lake Lindsey  N. Central Hernando,NW Hernando,611
Lake Lindsey  N. Central Hernando,North Central Citrus,81
Lake Lindsey  N. Central Hernando,Pasco,436
Lake Lindsey  N. Central Hernando,Pinellas,44
Lake Lindsey  N. Central Hernando,Richloam WMA and E Hernando,76
Lake Lindsey  N. Central Hernando,South Central Hernando,298
Lake Lindsey  N. Central Hernando,South East Citrus,94
Lake Lindsey  N. Central Hernando,Spring Hill and SW Hernando,1018
NW Hernando,Brooksville Area,1114
NW Hernando,Croom WMA  NE Hernando,112
NW Hernando,Crystal River and NW Citrus,231
NW Hernando,External,325
NW Hernando,Hillsborough  Manatee Spur,375
