FROM,TO,TRIPS
Apollo Beach  Ruskin,Apollo Beach  Ruskin,14864
Apollo Beach  Ruskin,CZ2,637
Apollo Beach  Ruskin,CZ4,10892
Apollo Beach  Ruskin,Citrus Park,3
Apollo Beach  Ruskin,Downtown,501
Apollo Beach  Ruskin,East Town,565
Apollo Beach  Ruskin,External,1707
Apollo Beach  Ruskin,Gibsonton,2759
Apollo Beach  Ruskin,Harney Canal,302
Apollo Beach  Ruskin,Hernando  Citrus,19
Apollo Beach  Ruskin,MacDill AFB,72
Apollo Beach  Ruskin,Manatee Spur,164
Apollo Beach  Ruskin,NE Hilsborough,887
Apollo Beach  Ruskin,NW Hilsborough,196
Apollo Beach  Ruskin,New Tampa,45
Apollo Beach  Ruskin,Pasco,437
Apollo Beach  Ruskin,Pinellas,890
Apollo Beach  Ruskin,Plant City Area,36
Apollo Beach  Ruskin,Port of Tampa  50th St Corridor,206
Apollo Beach  Ruskin,SE Hillsborough,2663
Apollo Beach  Ruskin,SW Hillsborough,200
Apollo Beach  Ruskin,TPA  Anderson Rd,86
Apollo Beach  Ruskin,Tampa Central,957
Apollo Beach  Ruskin,USF  Hosp  Busch,175
Apollo Beach  Ruskin,West Brandon,1110
Apollo Beach  Ruskin,Westshore  Rocky Point,111
CZ2,Apollo Beach  Ruskin,637
CZ2,CZ2,31154
CZ2,CZ4,4161
CZ2,Citrus Park,9
CZ2,Downtown,540
CZ2,East Town,1230
CZ2,External,2267
CZ2,Gibsonton,11985
CZ2,Harney Canal,344
CZ2,Hernando  Citrus,61
CZ2,MacDill AFB,173
CZ2,Manatee Spur,82
CZ2,NE Hilsborough,2796
CZ2,NW Hilsborough,309
CZ2,New Tampa,63
CZ2,Pasco,440
CZ2,Pinellas,660
CZ2,Plant City Area,95
CZ2,Port of Tampa  50th St Corridor,239
CZ2,SE Hillsborough,17743
CZ2,SW Hillsborough,303
CZ2,TPA  Anderson Rd,223
CZ2,Tampa Central,1431
CZ2,USF  Hosp  Busch,436
CZ2,West Brandon,1694
CZ2,Westshore  Rocky Point,176
CZ4,Apollo Beach  Ruskin,10892
CZ4,CZ2,4161
CZ4,CZ4,89801
CZ4,Citrus Park,12
CZ4,Downtown,1686
CZ4,East Town,2227
CZ4,External,8525
CZ4,Gibsonton,16090
CZ4,Harney Canal,699
CZ4,Hernando  Citrus,75
CZ4,MacDill AFB,256
CZ4,Manatee Spur,759
CZ4,NE Hilsborough,3105
CZ4,NW Hilsborough,740
CZ4,New Tampa,228
CZ4,Pasco,1069
CZ4,Pinellas,3090
CZ4,Plant City Area,218
CZ4,Port of Tampa  50th St Corridor,344
CZ4,SE Hillsborough,15711
CZ4,SW Hillsborough,747
CZ4,TPA  Anderson Rd,600
CZ4,Tampa Central,3928
CZ4,USF  Hosp  Busch,944
CZ4,West Brandon,3325
CZ4,Westshore  Rocky Point,395
Citrus Park,Apollo Beach  Ruskin,3
Citrus Park,CZ2,9
Citrus Park,CZ4,12
Citrus Park,Citrus Park,2182
Citrus Park,Downtown,160
Citrus Park,East Town,37
Citrus Park,External,102
Citrus Park,Gibsonton,19
Citrus Park,Harney Canal,41
Citrus Park,Hernando  Citrus,180
Citrus Park,MacDill AFB,4
Citrus Park,Manatee Spur,5
Citrus Park,NE Hilsborough,211
Citrus Park,NW Hilsborough,13914
Citrus Park,New Tampa,2
Citrus Park,Pasco,1426
Citrus Park,Pinellas,961
Citrus Park,Plant City Area,6
Citrus Park,Port of Tampa  50th St Corridor,18
Citrus Park,SE Hillsborough,35
Citrus Park,SW Hillsborough,200
Citrus Park,TPA  Anderson Rd,1085
Citrus Park,Tampa Central,1528
Citrus Park,USF  Hosp  Busch,222
Citrus Park,West Brandon,21
Citrus Park,Westshore  Rocky Point,302
Downtown,Apollo Beach  Ruskin,501
Downtown,CZ2,540
Downtown,CZ4,1686
Downtown,Citrus Park,160
Downtown,Downtown,88563
Downtown,East Town,4887
Downtown,External,5325
Downtown,Gibsonton,1713
Downtown,Harney Canal,2390
Downtown,Hernando  Citrus,827
Downtown,MacDill AFB,668
Downtown,Manatee Spur,65
Downtown,NE Hilsborough,7370
Downtown,NW Hilsborough,10549
Downtown,New Tampa,441
Downtown,Pasco,6376
Downtown,Pinellas,10698
Downtown,Plant City Area,160
Downtown,Port of Tampa  50th St Corridor,3567
Downtown,SE Hillsborough,7219
Downtown,SW Hillsborough,26595
Downtown,TPA  Anderson Rd,2804
Downtown,Tampa Central,45624
Downtown,USF  Hosp  Busch,2146
Downtown,West Brandon,3181
Downtown,Westshore  Rocky Point,7874
East Town,Apollo Beach  Ruskin,565
East Town,CZ2,1230
East Town,CZ4,2227
East Town,Citrus Park,37
East Town,Downtown,4887
East Town,East Town,33267
East Town,External,5200
East Town,Gibsonton,2910
East Town,Harney Canal,3789
East Town,Hernando  Citrus,439
East Town,MacDill AFB,83
East Town,Manatee Spur,60
East Town,NE Hilsborough,20262
East Town,NW Hilsborough,4118
East Town,New Tampa,413
East Town,Pasco,3483
East Town,Pinellas,3704
East Town,Plant City Area,351
East Town,Port of Tampa  50th St Corridor,2352
East Town,SE Hillsborough,15089
East Town,SW Hillsborough,1883
East Town,TPA  Anderson Rd,1168
East Town,Tampa Central,22239
East Town,USF  Hosp  Busch,1011
East Town,West Brandon,10495
East Town,Westshore  Rocky Point,1137
External,Apollo Beach  Ruskin,1707
External,CZ2,2267
External,CZ4,8525
External,Citrus Park,102
External,Downtown,5325
External,East Town,5200
External,External,0
External,Gibsonton,3639
External,Harney Canal,2563
External,Hernando  Citrus,0
External,MacDill AFB,458
External,Manatee Spur,0
External,NE Hilsborough,27511
External,NW Hilsborough,7513
External,New Tampa,627
External,Pasco,0
External,Pinellas,0
External,Plant City Area,7596
External,Port of Tampa  50th St Corridor,1034
External,SE Hillsborough,14214
External,SW Hillsborough,3434
External,TPA  Anderson Rd,3713
External,Tampa Central,16325
External,USF  Hosp  Busch,4390
External,West Brandon,4559
External,Westshore  Rocky Point,3788
Gibsonton,Apollo Beach  Ruskin,2759
Gibsonton,CZ2,11985
Gibsonton,CZ4,16090
Gibsonton,Citrus Park,19
Gibsonton,Downtown,1713
Gibsonton,East Town,2910
Gibsonton,External,3639
Gibsonton,Gibsonton,52376
Gibsonton,Harney Canal,1069
Gibsonton,Hernando  Citrus,108
Gibsonton,MacDill AFB,300
Gibsonton,Manatee Spur,146
Gibsonton,NE Hilsborough,3457
Gibsonton,NW Hilsborough,808
Gibsonton,New Tampa,265
Gibsonton,Pasco,851
Gibsonton,Pinellas,1439
Gibsonton,Plant City Area,134
Gibsonton,Port of Tampa  50th St Corridor,685
Gibsonton,SE Hillsborough,12621
Gibsonton,SW Hillsborough,897
Gibsonton,TPA  Anderson Rd,405
Gibsonton,Tampa Central,4210
Gibsonton,USF  Hosp  Busch,1283
Gibsonton,West Brandon,4015
Gibsonton,Westshore  Rocky Point,470
Harney Canal,Apollo Beach  Ruskin,302
Harney Canal,CZ2,344
Harney Canal,CZ4,699
Harney Canal,Citrus Park,41
Harney Canal,Downtown,2390
Harney Canal,East Town,3789
Harney Canal,External,2563
Harney Canal,Gibsonton,1069
Harney Canal,Harney Canal,14291
Harney Canal,Hernando  Citrus,161
Harney Canal,MacDill AFB,13
Harney Canal,Manatee Spur,56
Harney Canal,NE Hilsborough,6939
Harney Canal,NW Hilsborough,1587
Harney Canal,New Tampa,756
Harney Canal,Pasco,2106
Harney Canal,Pinellas,1621
Harney Canal,Plant City Area,164
Harney Canal,Port of Tampa  50th St Corridor,397
Harney Canal,SE Hillsborough,3752
Harney Canal,SW Hillsborough,746
Harney Canal,TPA  Anderson Rd,520
Harney Canal,Tampa Central,22894
Harney Canal,USF  Hosp  Busch,1541
Harney Canal,West Brandon,1740
Harney Canal,Westshore  Rocky Point,648
Hernando  Citrus,Apollo Beach  Ruskin,19
Hernando  Citrus,CZ2,61
Hernando  Citrus,CZ4,75
Hernando  Citrus,Citrus Park,180
Hernando  Citrus,Downtown,827
Hernando  Citrus,East Town,439
Hernando  Citrus,External,0
Hernando  Citrus,Gibsonton,108
Hernando  Citrus,Harney Canal,161
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,MacDill AFB,49
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,NE Hilsborough,932
Hernando  Citrus,NW Hilsborough,3435
Hernando  Citrus,New Tampa,96
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas,0
Hernando  Citrus,Plant City Area,68
Hernando  Citrus,Port of Tampa  50th St Corridor,50
Hernando  Citrus,SE Hillsborough,355
Hernando  Citrus,SW Hillsborough,351
Hernando  Citrus,TPA  Anderson Rd,2011
Hernando  Citrus,Tampa Central,2153
Hernando  Citrus,USF  Hosp  Busch,786
Hernando  Citrus,West Brandon,152
Hernando  Citrus,Westshore  Rocky Point,689
MacDill AFB,Apollo Beach  Ruskin,72
MacDill AFB,CZ2,173
MacDill AFB,CZ4,256
MacDill AFB,Citrus Park,4
MacDill AFB,Downtown,668
MacDill AFB,East Town,83
MacDill AFB,External,458
MacDill AFB,Gibsonton,300
MacDill AFB,Harney Canal,13
MacDill AFB,Hernando  Citrus,49
MacDill AFB,MacDill AFB,7807
MacDill AFB,Manatee Spur,28
MacDill AFB,NE Hilsborough,252
MacDill AFB,NW Hilsborough,672
MacDill AFB,New Tampa,3
MacDill AFB,Pasco,338
MacDill AFB,Pinellas,1726
MacDill AFB,Plant City Area,1
MacDill AFB,Port of Tampa  50th St Corridor,17
MacDill AFB,SE Hillsborough,572
MacDill AFB,SW Hillsborough,11267
MacDill AFB,TPA  Anderson Rd,228
MacDill AFB,Tampa Central,831
MacDill AFB,USF  Hosp  Busch,60
MacDill AFB,West Brandon,172
MacDill AFB,Westshore  Rocky Point,879
Manatee Spur,Apollo Beach  Ruskin,164
Manatee Spur,CZ2,82
Manatee Spur,CZ4,759
Manatee Spur,Citrus Park,5
Manatee Spur,Downtown,65
Manatee Spur,East Town,60
Manatee Spur,External,0
Manatee Spur,Gibsonton,146
Manatee Spur,Harney Canal,56
Manatee Spur,Hernando  Citrus,0
Manatee Spur,MacDill AFB,28
Manatee Spur,Manatee Spur,0
Manatee Spur,NE Hilsborough,195
Manatee Spur,NW Hilsborough,185
Manatee Spur,New Tampa,14
Manatee Spur,Pasco,0
Manatee Spur,Pinellas,0
Manatee Spur,Plant City Area,22
Manatee Spur,Port of Tampa  50th St Corridor,24
Manatee Spur,SE Hillsborough,632
Manatee Spur,SW Hillsborough,35
Manatee Spur,TPA  Anderson Rd,107
Manatee Spur,Tampa Central,219
Manatee Spur,USF  Hosp  Busch,69
Manatee Spur,West Brandon,127
Manatee Spur,Westshore  Rocky Point,63
NE Hilsborough,Apollo Beach  Ruskin,887
NE Hilsborough,CZ2,2796
NE Hilsborough,CZ4,3105
NE Hilsborough,Citrus Park,211
NE Hilsborough,Downtown,7370
NE Hilsborough,East Town,20262
NE Hilsborough,External,27511
NE Hilsborough,Gibsonton,3457
NE Hilsborough,Harney Canal,6939
NE Hilsborough,Hernando  Citrus,932
NE Hilsborough,MacDill AFB,252
NE Hilsborough,Manatee Spur,195
NE Hilsborough,NE Hilsborough,283025
NE Hilsborough,NW Hilsborough,8939
NE Hilsborough,New Tampa,2131
NE Hilsborough,Pasco,18973
NE Hilsborough,Pinellas,6157
NE Hilsborough,Plant City Area,29109
NE Hilsborough,Port of Tampa  50th St Corridor,1519
NE Hilsborough,SE Hillsborough,49062
NE Hilsborough,SW Hillsborough,2705
NE Hilsborough,TPA  Anderson Rd,2644
NE Hilsborough,Tampa Central,33796
NE Hilsborough,USF  Hosp  Busch,5518
NE Hilsborough,West Brandon,12117
NE Hilsborough,Westshore  Rocky Point,2365
NW Hilsborough,Apollo Beach  Ruskin,196
NW Hilsborough,CZ2,309
NW Hilsborough,CZ4,740
NW Hilsborough,Citrus Park,13914
NW Hilsborough,Downtown,10549
NW Hilsborough,East Town,4118
NW Hilsborough,External,7513
NW Hilsborough,Gibsonton,808
NW Hilsborough,Harney Canal,1587
NW Hilsborough,Hernando  Citrus,3435
NW Hilsborough,MacDill AFB,672
NW Hilsborough,Manatee Spur,185
NW Hilsborough,NE Hilsborough,8939
NW Hilsborough,NW Hilsborough,458601
NW Hilsborough,New Tampa,743
NW Hilsborough,Pasco,40569
NW Hilsborough,Pinellas,43676
NW Hilsborough,Plant City Area,189
NW Hilsborough,Port of Tampa  50th St Corridor,870
NW Hilsborough,SE Hillsborough,2957
NW Hilsborough,SW Hillsborough,10483
NW Hilsborough,TPA  Anderson Rd,53597
NW Hilsborough,Tampa Central,95777
NW Hilsborough,USF  Hosp  Busch,9560
NW Hilsborough,West Brandon,1547
NW Hilsborough,Westshore  Rocky Point,18703
New Tampa,Apollo Beach  Ruskin,45
New Tampa,CZ2,63
New Tampa,CZ4,228
New Tampa,Citrus Park,2
New Tampa,Downtown,441
New Tampa,East Town,413
New Tampa,External,627
New Tampa,Gibsonton,265
New Tampa,Harney Canal,756
New Tampa,Hernando  Citrus,96
New Tampa,MacDill AFB,3
New Tampa,Manatee Spur,14
New Tampa,NE Hilsborough,2131
New Tampa,NW Hilsborough,743
New Tampa,New Tampa,2415
New Tampa,Pasco,1061
New Tampa,Pinellas,439
New Tampa,Plant City Area,33
New Tampa,Port of Tampa  50th St Corridor,55
New Tampa,SE Hillsborough,861
New Tampa,SW Hillsborough,224
New Tampa,TPA  Anderson Rd,98
New Tampa,Tampa Central,4455
New Tampa,USF  Hosp  Busch,1233
New Tampa,West Brandon,290
New Tampa,Westshore  Rocky Point,130
Pasco,Apollo Beach  Ruskin,437
Pasco,CZ2,440
Pasco,CZ4,1069
Pasco,Citrus Park,1426
Pasco,Downtown,6376
Pasco,East Town,3483
Pasco,External,0
Pasco,Gibsonton,851
Pasco,Harney Canal,2106
Pasco,Hernando  Citrus,0
Pasco,MacDill AFB,338
Pasco,Manatee Spur,0
Pasco,NE Hilsborough,18973
Pasco,NW Hilsborough,40569
Pasco,New Tampa,1061
Pasco,Pasco,0
Pasco,Pinellas,0
Pasco,Plant City Area,598
Pasco,Port of Tampa  50th St Corridor,582
Pasco,SE Hillsborough,3683
Pasco,SW Hillsborough,3443
Pasco,TPA  Anderson Rd,7582
Pasco,Tampa Central,25637
Pasco,USF  Hosp  Busch,8371
Pasco,West Brandon,2562
Pasco,Westshore  Rocky Point,4372
Pinellas,Apollo Beach  Ruskin,890
Pinellas,CZ2,660
Pinellas,CZ4,3090
Pinellas,Citrus Park,961
Pinellas,Downtown,10698
Pinellas,East Town,3704
Pinellas,External,0
Pinellas,Gibsonton,1439
Pinellas,Harney Canal,1621
Pinellas,Hernando  Citrus,0
Pinellas,MacDill AFB,1726
Pinellas,Manatee Spur,0
Pinellas,NE Hilsborough,6157
Pinellas,NW Hilsborough,43676
Pinellas,New Tampa,439
Pinellas,Pasco,0
Pinellas,Pinellas,0
Pinellas,Plant City Area,417
Pinellas,Port of Tampa  50th St Corridor,649
Pinellas,SE Hillsborough,4625
Pinellas,SW Hillsborough,13952
Pinellas,TPA  Anderson Rd,11229
Pinellas,Tampa Central,23018
Pinellas,USF  Hosp  Busch,3563
Pinellas,West Brandon,1680
Pinellas,Westshore  Rocky Point,13577
Plant City Area,Apollo Beach  Ruskin,36
Plant City Area,CZ2,95
Plant City Area,CZ4,218
Plant City Area,Citrus Park,6
Plant City Area,Downtown,160
Plant City Area,East Town,351
Plant City Area,External,7596
Plant City Area,Gibsonton,134
Plant City Area,Harney Canal,164
Plant City Area,Hernando  Citrus,68
Plant City Area,MacDill AFB,1
Plant City Area,Manatee Spur,22
Plant City Area,NE Hilsborough,29109
Plant City Area,NW Hilsborough,189
Plant City Area,New Tampa,33
Plant City Area,Pasco,598
Plant City Area,Pinellas,417
Plant City Area,Plant City Area,15429
Plant City Area,Port of Tampa  50th St Corridor,35
Plant City Area,SE Hillsborough,1687
Plant City Area,SW Hillsborough,158
Plant City Area,TPA  Anderson Rd,109
Plant City Area,Tampa Central,725
Plant City Area,USF  Hosp  Busch,78
Plant City Area,West Brandon,165
Plant City Area,Westshore  Rocky Point,70
Port of Tampa  50th St Corridor,Apollo Beach  Ruskin,206
Port of Tampa  50th St Corridor,CZ2,239
Port of Tampa  50th St Corridor,CZ4,344
Port of Tampa  50th St Corridor,Citrus Park,18
Port of Tampa  50th St Corridor,Downtown,3567
Port of Tampa  50th St Corridor,East Town,2352
Port of Tampa  50th St Corridor,External,1034
Port of Tampa  50th St Corridor,Gibsonton,685
Port of Tampa  50th St Corridor,Harney Canal,397
Port of Tampa  50th St Corridor,Hernando  Citrus,50
Port of Tampa  50th St Corridor,MacDill AFB,17
Port of Tampa  50th St Corridor,Manatee Spur,24
Port of Tampa  50th St Corridor,NE Hilsborough,1519
Port of Tampa  50th St Corridor,NW Hilsborough,870
Port of Tampa  50th St Corridor,New Tampa,55
Port of Tampa  50th St Corridor,Pasco,582
Port of Tampa  50th St Corridor,Pinellas,649
Port of Tampa  50th St Corridor,Plant City Area,35
Port of Tampa  50th St Corridor,Port of Tampa  50th St Corridor,4202
Port of Tampa  50th St Corridor,SE Hillsborough,6649
Port of Tampa  50th St Corridor,SW Hillsborough,2040
Port of Tampa  50th St Corridor,TPA  Anderson Rd,210
Port of Tampa  50th St Corridor,Tampa Central,4556
Port of Tampa  50th St Corridor,USF  Hosp  Busch,140
Port of Tampa  50th St Corridor,West Brandon,2203
Port of Tampa  50th St Corridor,Westshore  Rocky Point,242
SE Hillsborough,Apollo Beach  Ruskin,2663
SE Hillsborough,CZ2,17743
SE Hillsborough,CZ4,15711
SE Hillsborough,Citrus Park,35
SE Hillsborough,Downtown,7219
SE Hillsborough,East Town,15089
SE Hillsborough,External,14214
SE Hillsborough,Gibsonton,12621
SE Hillsborough,Harney Canal,3752
SE Hillsborough,Hernando  Citrus,355
SE Hillsborough,MacDill AFB,572
SE Hillsborough,Manatee Spur,632
SE Hillsborough,NE Hilsborough,49062
SE Hillsborough,NW Hilsborough,2957
SE Hillsborough,New Tampa,861
SE Hillsborough,Pasco,3683
SE Hillsborough,Pinellas,4625
SE Hillsborough,Plant City Area,1687
SE Hillsborough,Port of Tampa  50th St Corridor,6649
SE Hillsborough,SE Hillsborough,214795
SE Hillsborough,SW Hillsborough,3600
SE Hillsborough,TPA  Anderson Rd,1663
SE Hillsborough,Tampa Central,16749
SE Hillsborough,USF  Hosp  Busch,2886
SE Hillsborough,West Brandon,37257
SE Hillsborough,Westshore  Rocky Point,1821
SW Hillsborough,Apollo Beach  Ruskin,200
SW Hillsborough,CZ2,303
SW Hillsborough,CZ4,747
SW Hillsborough,Citrus Park,200
SW Hillsborough,Downtown,26595
SW Hillsborough,East Town,1883
SW Hillsborough,External,3434
SW Hillsborough,Gibsonton,897
SW Hillsborough,Harney Canal,746
SW Hillsborough,Hernando  Citrus,351
SW Hillsborough,MacDill AFB,11267
SW Hillsborough,Manatee Spur,35
SW Hillsborough,NE Hilsborough,2705
SW Hillsborough,NW Hilsborough,10483
SW Hillsborough,New Tampa,224
SW Hillsborough,Pasco,3443
SW Hillsborough,Pinellas,13952
SW Hillsborough,Plant City Area,158
SW Hillsborough,Port of Tampa  50th St Corridor,2040
SW Hillsborough,SE Hillsborough,3600
SW Hillsborough,SW Hillsborough,163070
SW Hillsborough,TPA  Anderson Rd,4486
SW Hillsborough,Tampa Central,28403
SW Hillsborough,USF  Hosp  Busch,1300
SW Hillsborough,West Brandon,1476
SW Hillsborough,Westshore  Rocky Point,17524
TPA  Anderson Rd,Apollo Beach  Ruskin,86
TPA  Anderson Rd,CZ2,223
TPA  Anderson Rd,CZ4,600
TPA  Anderson Rd,Citrus Park,1085
TPA  Anderson Rd,Downtown,2804
TPA  Anderson Rd,East Town,1168
TPA  Anderson Rd,External,3713
TPA  Anderson Rd,Gibsonton,405
TPA  Anderson Rd,Harney Canal,520
TPA  Anderson Rd,Hernando  Citrus,2011
TPA  Anderson Rd,MacDill AFB,228
TPA  Anderson Rd,Manatee Spur,107
TPA  Anderson Rd,NE Hilsborough,2644
TPA  Anderson Rd,NW Hilsborough,53597
TPA  Anderson Rd,New Tampa,98
TPA  Anderson Rd,Pasco,7582
TPA  Anderson Rd,Pinellas,11229
TPA  Anderson Rd,Plant City Area,109
TPA  Anderson Rd,Port of Tampa  50th St Corridor,210
TPA  Anderson Rd,SE Hillsborough,1663
TPA  Anderson Rd,SW Hillsborough,4486
TPA  Anderson Rd,TPA  Anderson Rd,30482
TPA  Anderson Rd,Tampa Central,23883
TPA  Anderson Rd,USF  Hosp  Busch,622
TPA  Anderson Rd,West Brandon,677
TPA  Anderson Rd,Westshore  Rocky Point,9071
Tampa Central,Apollo Beach  Ruskin,957
Tampa Central,CZ2,1431
Tampa Central,CZ4,3928
Tampa Central,Citrus Park,1528
Tampa Central,Downtown,45624
Tampa Central,East Town,22239
Tampa Central,External,16325
Tampa Central,Gibsonton,4210
Tampa Central,Harney Canal,22894
Tampa Central,Hernando  Citrus,2153
Tampa Central,MacDill AFB,831
Tampa Central,Manatee Spur,219
Tampa Central,NE Hilsborough,33796
Tampa Central,NW Hilsborough,95777
Tampa Central,New Tampa,4455
Tampa Central,Pasco,25637
Tampa Central,Pinellas,23018
Tampa Central,Plant City Area,725
Tampa Central,Port of Tampa  50th St Corridor,4556
Tampa Central,SE Hillsborough,16749
Tampa Central,SW Hillsborough,28403
Tampa Central,TPA  Anderson Rd,23883
Tampa Central,Tampa Central,601742
Tampa Central,USF  Hosp  Busch,53700
Tampa Central,West Brandon,9293
Tampa Central,Westshore  Rocky Point,34346
USF  Hosp  Busch,Apollo Beach  Ruskin,175
USF  Hosp  Busch,CZ2,436
USF  Hosp  Busch,CZ4,944
USF  Hosp  Busch,Citrus Park,222
USF  Hosp  Busch,Downtown,2146
USF  Hosp  Busch,East Town,1011
USF  Hosp  Busch,External,4390
USF  Hosp  Busch,Gibsonton,1283
USF  Hosp  Busch,Harney Canal,1541
USF  Hosp  Busch,Hernando  Citrus,786
USF  Hosp  Busch,MacDill AFB,60
USF  Hosp  Busch,Manatee Spur,69
USF  Hosp  Busch,NE Hilsborough,5518
USF  Hosp  Busch,NW Hilsborough,9560
USF  Hosp  Busch,New Tampa,1233
USF  Hosp  Busch,Pasco,8371
USF  Hosp  Busch,Pinellas,3563
USF  Hosp  Busch,Plant City Area,78
USF  Hosp  Busch,Port of Tampa  50th St Corridor,140
USF  Hosp  Busch,SE Hillsborough,2886
USF  Hosp  Busch,SW Hillsborough,1300
USF  Hosp  Busch,TPA  Anderson Rd,622
USF  Hosp  Busch,Tampa Central,53700
USF  Hosp  Busch,USF  Hosp  Busch,52734
USF  Hosp  Busch,West Brandon,1015
USF  Hosp  Busch,Westshore  Rocky Point,844
West Brandon,Apollo Beach  Ruskin,1110
West Brandon,CZ2,1694
West Brandon,CZ4,3325
West Brandon,Citrus Park,21
West Brandon,Downtown,3181
West Brandon,East Town,10495
West Brandon,External,4559
West Brandon,Gibsonton,4015
West Brandon,Harney Canal,1740
West Brandon,Hernando  Citrus,152
West Brandon,MacDill AFB,172
West Brandon,Manatee Spur,127
West Brandon,NE Hilsborough,12117
West Brandon,NW Hilsborough,1547
West Brandon,New Tampa,290
West Brandon,Pasco,2562
West Brandon,Pinellas,1680
West Brandon,Plant City Area,165
West Brandon,Port of Tampa  50th St Corridor,2203
West Brandon,SE Hillsborough,37257
West Brandon,SW Hillsborough,1476
West Brandon,TPA  Anderson Rd,677
West Brandon,Tampa Central,9293
West Brandon,USF  Hosp  Busch,1015
West Brandon,West Brandon,32372
West Brandon,Westshore  Rocky Point,628
Westshore  Rocky Point,Apollo Beach  Ruskin,111
Westshore  Rocky Point,CZ2,176
Westshore  Rocky Point,CZ4,395
Westshore  Rocky Point,Citrus Park,302
Westshore  Rocky Point,Downtown,7874
Westshore  Rocky Point,East Town,1137
Westshore  Rocky Point,External,3788
Westshore  Rocky Point,Gibsonton,470
Westshore  Rocky Point,Harney Canal,648
Westshore  Rocky Point,Hernando  Citrus,689
Westshore  Rocky Point,MacDill AFB,879
Westshore  Rocky Point,Manatee Spur,63
Westshore  Rocky Point,NE Hilsborough,2365
Westshore  Rocky Point,NW Hilsborough,18703
Westshore  Rocky Point,New Tampa,130
Westshore  Rocky Point,Pasco,4372
Westshore  Rocky Point,Pinellas,13577
Westshore  Rocky Point,Plant City Area,70
Westshore  Rocky Point,Port of Tampa  50th St Corridor,242
Westshore  Rocky Point,SE Hillsborough,1821
Westshore  Rocky Point,SW Hillsborough,17524
Westshore  Rocky Point,TPA  Anderson Rd,9071
Westshore  Rocky Point,Tampa Central,34346
Westshore  Rocky Point,USF  Hosp  Busch,844
Westshore  Rocky Point,West Brandon,628
Westshore  Rocky Point,Westshore  Rocky Point,40460
