FROM,TO,TRIPS
Citrus,Citrus,285043
Citrus,Clearwater,53
Citrus,External,22574
Citrus,Hernando Other,4566
Citrus,Hillsborough Other,283
Citrus,Manatee Spur,4
Citrus,New Port Richey,82
Citrus,Pasco Other,1667
Citrus,Pinellas Beaches,37
Citrus,Pinellas Other,234
Citrus,Plant City,9
Citrus,Spring Hill,1860
Citrus,St Petersburg,81
Citrus,Tampa,181
Citrus,USF  Hosp  Busch,31
Clearwater,Citrus,53
Clearwater,Clearwater,233613
Clearwater,External,3461
Clearwater,Hernando Other,289
Clearwater,Hillsborough Other,10928
Clearwater,Manatee Spur,78
Clearwater,New Port Richey,623
Clearwater,Pasco Other,7528
Clearwater,Pinellas Beaches,11688
Clearwater,Pinellas Other,160188
Clearwater,Plant City,124
Clearwater,Spring Hill,319
Clearwater,St Petersburg,12893
Clearwater,Tampa,7790
Clearwater,USF  Hosp  Busch,447
External,Citrus,22574
External,Clearwater,3461
External,External,24324
External,Hernando Other,5528
External,Hillsborough Other,72639
External,Manatee Spur,12254
External,New Port Richey,546
External,Pasco Other,16895
External,Pinellas Beaches,4204
External,Pinellas Other,14398
External,Plant City,19231
External,Spring Hill,2178
External,St Petersburg,12494
External,Tampa,28232
External,USF  Hosp  Busch,4390
Hernando Other,Citrus,4566
Hernando Other,Clearwater,289
Hernando Other,External,5528
Hernando Other,Hernando Other,128149
Hernando Other,Hillsborough Other,3204
Hernando Other,Manatee Spur,7
Hernando Other,New Port Richey,435
Hernando Other,Pasco Other,20124
Hernando Other,Pinellas Beaches,108
Hernando Other,Pinellas Other,940
Hernando Other,Plant City,129
Hernando Other,Spring Hill,47378
Hernando Other,St Petersburg,222
Hernando Other,Tampa,1723
Hernando Other,USF  Hosp  Busch,274
Hillsborough Other,Citrus,283
Hillsborough Other,Clearwater,10928
Hillsborough Other,External,72639
Hillsborough Other,Hernando Other,3204
Hillsborough Other,Hillsborough Other,2059082
Hillsborough Other,Manatee Spur,2447
Hillsborough Other,New Port Richey,1394
Hillsborough Other,Pasco Other,77113
Hillsborough Other,Pinellas Beaches,3548
Hillsborough Other,Pinellas Other,42704
Hillsborough Other,Plant City,44406
Hillsborough Other,Spring Hill,3830
Hillsborough Other,St Petersburg,20509
Hillsborough Other,Tampa,352182
Hillsborough Other,USF  Hosp  Busch,53009
Manatee Spur,Citrus,4
Manatee Spur,Clearwater,78
Manatee Spur,External,12254
Manatee Spur,Hernando Other,7
Manatee Spur,Hillsborough Other,2447
Manatee Spur,Manatee Spur,5343
Manatee Spur,New Port Richey,4
Manatee Spur,Pasco Other,113
Manatee Spur,Pinellas Beaches,49
Manatee Spur,Pinellas Other,752
Manatee Spur,Plant City,60
Manatee Spur,Spring Hill,5
Manatee Spur,St Petersburg,1204
Manatee Spur,Tampa,482
Manatee Spur,USF  Hosp  Busch,69
New Port Richey,Citrus,82
New Port Richey,Clearwater,623
New Port Richey,External,546
New Port Richey,Hernando Other,435
New Port Richey,Hillsborough Other,1394
New Port Richey,Manatee Spur,4
New Port Richey,New Port Richey,24992
New Port Richey,Pasco Other,39489
New Port Richey,Pinellas Beaches,142
New Port Richey,Pinellas Other,3404
New Port Richey,Plant City,9
New Port Richey,Spring Hill,912
New Port Richey,St Petersburg,329
New Port Richey,Tampa,516
New Port Richey,USF  Hosp  Busch,211
Pasco Other,Citrus,1667
Pasco Other,Clearwater,7528
Pasco Other,External,16895
Pasco Other,Hernando Other,20124
Pasco Other,Hillsborough Other,77113
Pasco Other,Manatee Spur,113
Pasco Other,New Port Richey,39489
Pasco Other,Pasco Other,964280
Pasco Other,Pinellas Beaches,1797
Pasco Other,Pinellas Other,45119
Pasco Other,Plant City,1657
Pasco Other,Spring Hill,24061
Pasco Other,St Petersburg,6388
Pasco Other,Tampa,44899
Pasco Other,USF  Hosp  Busch,8161
Pinellas Beaches,Citrus,37
Pinellas Beaches,Clearwater,11688
Pinellas Beaches,External,4204
Pinellas Beaches,Hernando Other,108
Pinellas Beaches,Hillsborough Other,3548
Pinellas Beaches,Manatee Spur,49
Pinellas Beaches,New Port Richey,142
Pinellas Beaches,Pasco Other,1797
Pinellas Beaches,Pinellas Beaches,56336
Pinellas Beaches,Pinellas Other,50662
Pinellas Beaches,Plant City,162
Pinellas Beaches,Spring Hill,152
Pinellas Beaches,St Petersburg,17662
Pinellas Beaches,Tampa,3972
Pinellas Beaches,USF  Hosp  Busch,189
Pinellas Other,Citrus,234
Pinellas Other,Clearwater,160188
Pinellas Other,External,14398
Pinellas Other,Hernando Other,940
Pinellas Other,Hillsborough Other,42704
Pinellas Other,Manatee Spur,752
Pinellas Other,New Port Richey,3404
Pinellas Other,Pasco Other,45119
Pinellas Other,Pinellas Beaches,50662
Pinellas Other,Pinellas Other,1135732
Pinellas Other,Plant City,562
Pinellas Other,Spring Hill,1558
Pinellas Other,St Petersburg,180850
Pinellas Other,Tampa,27505
Pinellas Other,USF  Hosp  Busch,1689
Plant City,Citrus,9
Plant City,Clearwater,124
Plant City,External,19231
Plant City,Hernando Other,129
Plant City,Hillsborough Other,44406
Plant City,Manatee Spur,60
Plant City,New Port Richey,9
Plant City,Pasco Other,1657
Plant City,Pinellas Beaches,162
Plant City,Pinellas Other,562
Plant City,Plant City,118596
Plant City,Spring Hill,112
Plant City,St Petersburg,448
Plant City,Tampa,4111
Plant City,USF  Hosp  Busch,290
Spring Hill,Citrus,1860
Spring Hill,Clearwater,319
Spring Hill,External,2178
Spring Hill,Hernando Other,47378
Spring Hill,Hillsborough Other,3830
Spring Hill,Manatee Spur,5
Spring Hill,New Port Richey,912
Spring Hill,Pasco Other,24061
Spring Hill,Pinellas Beaches,152
Spring Hill,Pinellas Other,1558
Spring Hill,Plant City,112
Spring Hill,Spring Hill,139748
Spring Hill,St Petersburg,375
Spring Hill,Tampa,2740
Spring Hill,USF  Hosp  Busch,481
St Petersburg,Citrus,81
St Petersburg,Clearwater,12893
St Petersburg,External,12494
St Petersburg,Hernando Other,222
St Petersburg,Hillsborough Other,20509
St Petersburg,Manatee Spur,1204
St Petersburg,New Port Richey,329
St Petersburg,Pasco Other,6388
St Petersburg,Pinellas Beaches,17662
St Petersburg,Pinellas Other,180850
St Petersburg,Plant City,448
St Petersburg,Spring Hill,375
St Petersburg,St Petersburg,643142
St Petersburg,Tampa,25956
St Petersburg,USF  Hosp  Busch,1238
Tampa,Citrus,181
Tampa,Clearwater,7790
Tampa,External,28232
Tampa,Hernando Other,1723
Tampa,Hillsborough Other,352182
Tampa,Manatee Spur,482
Tampa,New Port Richey,516
Tampa,Pasco Other,44899
Tampa,Pinellas Beaches,3972
Tampa,Pinellas Other,27505
Tampa,Plant City,4111
Tampa,Spring Hill,2740
Tampa,St Petersburg,25956
Tampa,Tampa,1150773
Tampa,USF  Hosp  Busch,31417
USF  Hosp  Busch,Citrus,31
USF  Hosp  Busch,Clearwater,447
USF  Hosp  Busch,External,4390
USF  Hosp  Busch,Hernando Other,274
USF  Hosp  Busch,Hillsborough Other,53009
USF  Hosp  Busch,Manatee Spur,69
USF  Hosp  Busch,New Port Richey,211
USF  Hosp  Busch,Pasco Other,8161
USF  Hosp  Busch,Pinellas Beaches,189
USF  Hosp  Busch,Pinellas Other,1689
USF  Hosp  Busch,Plant City,290
USF  Hosp  Busch,Spring Hill,481
USF  Hosp  Busch,St Petersburg,1238
USF  Hosp  Busch,Tampa,31417
USF  Hosp  Busch,USF  Hosp  Busch,52734
