FROM,TO,TRIPS
Citrus,Citrus,0
Citrus,Dade City,48
Citrus,E New Port Richey,16
Citrus,External,0
Citrus,Hernando,0
Citrus,Hillsborough  Manatee Spur,0
Citrus,Hudson,103
Citrus,I-75  SR 52,16
Citrus,Lacoochie Ind Area,2
Citrus,Land O Lakes  Connerton,51
Citrus,NW Pasco,113
Citrus,New Port Richey,229
Citrus,Pasco Central,348
Citrus,Pasco East,138
Citrus,Pasco West,484
Citrus,Pinellas,0
Citrus,San Antonio,28
Citrus,Seven Springs  Odessa,51
Citrus,Suncoast  SR 54,18
Citrus,Wesley Chapel  I-75 - SR56,39
Citrus,Zephyrhills,68
Dade City,Citrus,48
Dade City,Dade City,25414
Dade City,E New Port Richey,33
Dade City,External,1100
Dade City,Hernando,1949
Dade City,Hillsborough  Manatee Spur,1805
Dade City,Hudson,21
Dade City,I-75  SR 52,272
Dade City,Lacoochie Ind Area,490
Dade City,Land O Lakes  Connerton,152
Dade City,NW Pasco,56
Dade City,New Port Richey,124
Dade City,Pasco Central,481
Dade City,Pasco East,14452
Dade City,Pasco West,115
Dade City,Pinellas,198
Dade City,San Antonio,1523
Dade City,Seven Springs  Odessa,6
Dade City,Suncoast  SR 54,9
Dade City,Wesley Chapel  I-75 - SR56,702
Dade City,Zephyrhills,3171
E New Port Richey,Citrus,16
E New Port Richey,Dade City,33
E New Port Richey,E New Port Richey,1284
E New Port Richey,External,59
E New Port Richey,Hernando,537
E New Port Richey,Hillsborough  Manatee Spur,429
E New Port Richey,Hudson,342
E New Port Richey,I-75  SR 52,12
E New Port Richey,Lacoochie Ind Area,0
E New Port Richey,Land O Lakes  Connerton,73
E New Port Richey,NW Pasco,66
E New Port Richey,New Port Richey,2785
E New Port Richey,Pasco Central,3117
E New Port Richey,Pasco East,102
E New Port Richey,Pasco West,3641
E New Port Richey,Pinellas,658
E New Port Richey,San Antonio,24
E New Port Richey,Seven Springs  Odessa,512
E New Port Richey,Suncoast  SR 54,39
E New Port Richey,Wesley Chapel  I-75 - SR56,17
E New Port Richey,Zephyrhills,13
External,Citrus,0
External,Dade City,1100
External,E New Port Richey,59
External,External,0
External,Hernando,0
External,Hillsborough  Manatee Spur,0
External,Hudson,149
External,I-75  SR 52,236
External,Lacoochie Ind Area,53
External,Land O Lakes  Connerton,543
External,NW Pasco,179
External,New Port Richey,1222
External,Pasco Central,1802
External,Pasco East,4388
External,Pasco West,1977
External,Pinellas,0
External,San Antonio,508
External,Seven Springs  Odessa,686
External,Suncoast  SR 54,441
External,Wesley Chapel  I-75 - SR56,1743
External,Zephyrhills,2355
Hernando,Citrus,0
Hernando,Dade City,1949
Hernando,E New Port Richey,537
Hernando,External,0
Hernando,Hernando,0
Hernando,Hillsborough  Manatee Spur,0
Hernando,Hudson,1693
Hernando,I-75  SR 52,408
Hernando,Lacoochie Ind Area,332
Hernando,Land O Lakes  Connerton,1659
Hernando,NW Pasco,3472
Hernando,New Port Richey,3682
Hernando,Pasco Central,17049
Hernando,Pasco East,4708
Hernando,Pasco West,6633
Hernando,Pinellas,0
Hernando,San Antonio,333
Hernando,Seven Springs  Odessa,978
Hernando,Suncoast  SR 54,412
Hernando,Wesley Chapel  I-75 - SR56,947
Hernando,Zephyrhills,740
Hillsborough  Manatee Spur,Citrus,0
Hillsborough  Manatee Spur,Dade City,1805
