FROM,TO,TRIPS
Clearwater Dwntwn,Clearwater Dwntwn,8037
Clearwater Dwntwn,Clearwater Mall,93
Clearwater Dwntwn,Countryside Mall,125
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,144
Clearwater Dwntwn,External,256
Clearwater Dwntwn,Gateway Area,187
Clearwater Dwntwn,Grand Central Area,2
Clearwater Dwntwn,Hernando  Citrus,59
Clearwater Dwntwn,Hillsborough,1226
Clearwater Dwntwn,Manatee Spur,3
Clearwater Dwntwn,Mid-Cnty Ind Area,685
Clearwater Dwntwn,Oldsmar Ind Area,85
Clearwater Dwntwn,Pasco,607
Clearwater Dwntwn,Pinellas Beaches,1904
Clearwater Dwntwn,Pinellas Central,7323
Clearwater Dwntwn,Pinellas North,788
Clearwater Dwntwn,Pinellas North Central,18037
Clearwater Dwntwn,Pinellas South,1485
Clearwater Dwntwn,St Petersburg Clearwater Area,19
Clearwater Dwntwn,Tarpon Springs Area,22
Clearwater Dwntwn,Tyrone Square Area,10
Clearwater Mall,Clearwater Dwntwn,93
Clearwater Mall,Clearwater Mall,243
Clearwater Mall,Countryside Mall,25
Clearwater Mall,Dwntwn USF Albert Whitted Airport,18
Clearwater Mall,External,66
Clearwater Mall,Gateway Area,37
Clearwater Mall,Grand Central Area,1
Clearwater Mall,Hernando  Citrus,3
Clearwater Mall,Hillsborough,392
Clearwater Mall,Manatee Spur,3
Clearwater Mall,Mid-Cnty Ind Area,169
Clearwater Mall,Oldsmar Ind Area,20
Clearwater Mall,Pasco,118
Clearwater Mall,Pinellas Beaches,115
Clearwater Mall,Pinellas Central,1284
Clearwater Mall,Pinellas North,226
Clearwater Mall,Pinellas North Central,3799
Clearwater Mall,Pinellas South,271
Clearwater Mall,St Petersburg Clearwater Area,4
Clearwater Mall,Tarpon Springs Area,1
Clearwater Mall,Tyrone Square Area,6
Countryside Mall,Clearwater Dwntwn,125
Countryside Mall,Clearwater Mall,25
Countryside Mall,Countryside Mall,463
Countryside Mall,Dwntwn USF Albert Whitted Airport,28
Countryside Mall,External,32
Countryside Mall,Gateway Area,37
Countryside Mall,Grand Central Area,0
Countryside Mall,Hernando  Citrus,12
Countryside Mall,Hillsborough,525
Countryside Mall,Manatee Spur,0
Countryside Mall,Mid-Cnty Ind Area,178
Countryside Mall,Oldsmar Ind Area,131
Countryside Mall,Pasco,512
Countryside Mall,Pinellas Beaches,133
Countryside Mall,Pinellas Central,658
Countryside Mall,Pinellas North,1815
Countryside Mall,Pinellas North Central,7363
Countryside Mall,Pinellas South,273
Countryside Mall,St Petersburg Clearwater Area,10
Countryside Mall,Tarpon Springs Area,23
Countryside Mall,Tyrone Square Area,7
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,144
Dwntwn USF Albert Whitted Airport,Clearwater Mall,18
Dwntwn USF Albert Whitted Airport,Countryside Mall,28
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,26319
Dwntwn USF Albert Whitted Airport,External,2671
Dwntwn USF Albert Whitted Airport,Gateway Area,1236
Dwntwn USF Albert Whitted Airport,Grand Central Area,1266
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,188
Dwntwn USF Albert Whitted Airport,Hillsborough,8546
Dwntwn USF Albert Whitted Airport,Manatee Spur,360
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,1976
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,41
Dwntwn USF Albert Whitted Airport,Pasco,1436
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,2177
Dwntwn USF Albert Whitted Airport,Pinellas Central,4839
Dwntwn USF Albert Whitted Airport,Pinellas North,889
Dwntwn USF Albert Whitted Airport,Pinellas North Central,2937
Dwntwn USF Albert Whitted Airport,Pinellas South,57153
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,51
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,1
Dwntwn USF Albert Whitted Airport,Tyrone Square Area,517
External,Clearwater Dwntwn,256
External,Clearwater Mall,66
External,Countryside Mall,32
External,Dwntwn USF Albert Whitted Airport,2671
External,External,0
External,Gateway Area,844
External,Grand Central Area,60
External,Hernando  Citrus,0
External,Hillsborough,0
External,Manatee Spur,0
External,Mid-Cnty Ind Area,1791
External,Oldsmar Ind Area,169
External,Pasco,0
External,Pinellas Beaches,4204
External,Pinellas Central,4563
External,Pinellas North,2117
External,Pinellas North Central,4817
External,Pinellas South,12425
External,St Petersburg Clearwater Area,237
External,Tarpon Springs Area,136
External,Tyrone Square Area,167
Gateway Area,Clearwater Dwntwn,187
Gateway Area,Clearwater Mall,37
Gateway Area,Countryside Mall,37
Gateway Area,Dwntwn USF Albert Whitted Airport,1236
Gateway Area,External,844
Gateway Area,Gateway Area,6695
Gateway Area,Grand Central Area,76
Gateway Area,Hernando  Citrus,50
Gateway Area,Hillsborough,4002
Gateway Area,Manatee Spur,96
Gateway Area,Mid-Cnty Ind Area,3004
Gateway Area,Oldsmar Ind Area,140
Gateway Area,Pasco,1135
Gateway Area,Pinellas Beaches,544
Gateway Area,Pinellas Central,6221
Gateway Area,Pinellas North,887
Gateway Area,Pinellas North Central,3751
Gateway Area,Pinellas South,20583
Gateway Area,St Petersburg Clearwater Area,106
Gateway Area,Tarpon Springs Area,4
Gateway Area,Tyrone Square Area,175
Grand Central Area,Clearwater Dwntwn,2
Grand Central Area,Clearwater Mall,1
Grand Central Area,Countryside Mall,0
Grand Central Area,Dwntwn USF Albert Whitted Airport,1266
Grand Central Area,External,60
Grand Central Area,Gateway Area,76
Grand Central Area,Grand Central Area,174
Grand Central Area,Hernando  Citrus,0
Grand Central Area,Hillsborough,128
Grand Central Area,Manatee Spur,0
Grand Central Area,Mid-Cnty Ind Area,125
Grand Central Area,Oldsmar Ind Area,3
Grand Central Area,Pasco,13
Grand Central Area,Pinellas Beaches,203
Grand Central Area,Pinellas Central,131
Grand Central Area,Pinellas North,8
Grand Central Area,Pinellas North Central,49
Grand Central Area,Pinellas South,6098
Grand Central Area,St Petersburg Clearwater Area,0
Grand Central Area,Tarpon Springs Area,1
Grand Central Area,Tyrone Square Area,64
Hernando  Citrus,Clearwater Dwntwn,59
Hernando  Citrus,Clearwater Mall,3
Hernando  Citrus,Countryside Mall,12
Hernando  Citrus,Dwntwn USF Albert Whitted Airport,188
Hernando  Citrus,External,0
Hernando  Citrus,Gateway Area,50
Hernando  Citrus,Grand Central Area,0
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,Hillsborough,0
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,Mid-Cnty Ind Area,269
Hernando  Citrus,Oldsmar Ind Area,209
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas Beaches,296
Hernando  Citrus,Pinellas Central,501
Hernando  Citrus,Pinellas North,897
Hernando  Citrus,Pinellas North Central,1050
Hernando  Citrus,Pinellas South,699
Hernando  Citrus,St Petersburg Clearwater Area,46
Hernando  Citrus,Tarpon Springs Area,82
Hernando  Citrus,Tyrone Square Area,5
Hillsborough,Clearwater Dwntwn,1226
Hillsborough,Clearwater Mall,392
Hillsborough,Countryside Mall,525
Hillsborough,Dwntwn USF Albert Whitted Airport,8546
Hillsborough,External,0
Hillsborough,Gateway Area,4002
Hillsborough,Grand Central Area,128
Hillsborough,Hernando  Citrus,0
Hillsborough,Hillsborough,0
Hillsborough,Manatee Spur,0
Hillsborough,Mid-Cnty Ind Area,7549
Hillsborough,Oldsmar Ind Area,5859
Hillsborough,Pasco,0
Hillsborough,Pinellas Beaches,7871
Hillsborough,Pinellas Central,16950
Hillsborough,Pinellas North,14038
Hillsborough,Pinellas North Central,32733
Hillsborough,Pinellas South,46578
Hillsborough,St Petersburg Clearwater Area,567
Hillsborough,Tarpon Springs Area,305
Hillsborough,Tyrone Square Area,499
Manatee Spur,Clearwater Dwntwn,3
Manatee Spur,Clearwater Mall,3
Manatee Spur,Countryside Mall,0
Manatee Spur,Dwntwn USF Albert Whitted Airport,360
Manatee Spur,External,0
Manatee Spur,Gateway Area,96
Manatee Spur,Grand Central Area,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,Hillsborough,0
Manatee Spur,Manatee Spur,0
Manatee Spur,Mid-Cnty Ind Area,141
Manatee Spur,Oldsmar Ind Area,0
Manatee Spur,Pasco,0
Manatee Spur,Pinellas Beaches,49
Manatee Spur,Pinellas Central,178
Manatee Spur,Pinellas North,29
Manatee Spur,Pinellas North Central,105
Manatee Spur,Pinellas South,1025
Manatee Spur,St Petersburg Clearwater Area,86
Manatee Spur,Tarpon Springs Area,1
Manatee Spur,Tyrone Square Area,7
Mid-Cnty Ind Area,Clearwater Dwntwn,685
Mid-Cnty Ind Area,Clearwater Mall,169
Mid-Cnty Ind Area,Countryside Mall,178
Mid-Cnty Ind Area,Dwntwn USF Albert Whitted Airport,1976
Mid-Cnty Ind Area,External,1791
Mid-Cnty Ind Area,Gateway Area,3004
Mid-Cnty Ind Area,Grand Central Area,125
Mid-Cnty Ind Area,Hernando  Citrus,269
Mid-Cnty Ind Area,Hillsborough,7549
Mid-Cnty Ind Area,Manatee Spur,141
Mid-Cnty Ind Area,Mid-Cnty Ind Area,32456
Mid-Cnty Ind Area,Oldsmar Ind Area,240
Mid-Cnty Ind Area,Pasco,2959
Mid-Cnty Ind Area,Pinellas Beaches,2212
Mid-Cnty Ind Area,Pinellas Central,45878
Mid-Cnty Ind Area,Pinellas North,3295
Mid-Cnty Ind Area,Pinellas North Central,13933
Mid-Cnty Ind Area,Pinellas South,33871
Mid-Cnty Ind Area,St Petersburg Clearwater Area,708
Mid-Cnty Ind Area,Tarpon Springs Area,33
Mid-Cnty Ind Area,Tyrone Square Area,269
Oldsmar Ind Area,Clearwater Dwntwn,85
Oldsmar Ind Area,Clearwater Mall,20
Oldsmar Ind Area,Countryside Mall,131
Oldsmar Ind Area,Dwntwn USF Albert Whitted Airport,41
Oldsmar Ind Area,External,169
Oldsmar Ind Area,Gateway Area,140
Oldsmar Ind Area,Grand Central Area,3
Oldsmar Ind Area,Hernando  Citrus,209
Oldsmar Ind Area,Hillsborough,5859
Oldsmar Ind Area,Manatee Spur,0
Oldsmar Ind Area,Mid-Cnty Ind Area,240
Oldsmar Ind Area,Oldsmar Ind Area,1977
Oldsmar Ind Area,Pasco,1839
Oldsmar Ind Area,Pinellas Beaches,53
Oldsmar Ind Area,Pinellas Central,619
Oldsmar Ind Area,Pinellas North,2118
Oldsmar Ind Area,Pinellas North Central,7081
Oldsmar Ind Area,Pinellas South,588
Oldsmar Ind Area,St Petersburg Clearwater Area,1
Oldsmar Ind Area,Tarpon Springs Area,8
Oldsmar Ind Area,Tyrone Square Area,0
Pasco,Clearwater Dwntwn,607
Pasco,Clearwater Mall,118
Pasco,Countryside Mall,512
Pasco,Dwntwn USF Albert Whitted Airport,1436
Pasco,External,0
Pasco,Gateway Area,1135
Pasco,Grand Central Area,13
Pasco,Hernando  Citrus,0
Pasco,Hillsborough,0
Pasco,Manatee Spur,0
Pasco,Mid-Cnty Ind Area,2959
Pasco,Oldsmar Ind Area,1839
Pasco,Pasco,0
Pasco,Pinellas Beaches,1939
Pasco,Pinellas Central,4763
Pasco,Pinellas North,27768
Pasco,Pinellas North Central,13864
Pasco,Pinellas South,5999
Pasco,St Petersburg Clearwater Area,260
Pasco,Tarpon Springs Area,2059
Pasco,Tyrone Square Area,59
Pinellas Beaches,Clearwater Dwntwn,1904
Pinellas Beaches,Clearwater Mall,115
Pinellas Beaches,Countryside Mall,133
Pinellas Beaches,Dwntwn USF Albert Whitted Airport,2177
Pinellas Beaches,External,4204
Pinellas Beaches,Gateway Area,544
Pinellas Beaches,Grand Central Area,203
Pinellas Beaches,Hernando  Citrus,296
Pinellas Beaches,Hillsborough,7871
Pinellas Beaches,Manatee Spur,49
Pinellas Beaches,Mid-Cnty Ind Area,2212
Pinellas Beaches,Oldsmar Ind Area,53
Pinellas Beaches,Pasco,1939
Pinellas Beaches,Pinellas Beaches,56336
Pinellas Beaches,Pinellas Central,28766
Pinellas Beaches,Pinellas North,1719
Pinellas Beaches,Pinellas North Central,11979
Pinellas Beaches,Pinellas South,28977
Pinellas Beaches,St Petersburg Clearwater Area,146
Pinellas Beaches,Tarpon Springs Area,96
Pinellas Beaches,Tyrone Square Area,987
Pinellas Central,Clearwater Dwntwn,7323
Pinellas Central,Clearwater Mall,1284
Pinellas Central,Countryside Mall,658
Pinellas Central,Dwntwn USF Albert Whitted Airport,4839
Pinellas Central,External,4563
Pinellas Central,Gateway Area,6221
Pinellas Central,Grand Central Area,131
Pinellas Central,Hernando  Citrus,501
Pinellas Central,Hillsborough,16950
Pinellas Central,Manatee Spur,178
Pinellas Central,Mid-Cnty Ind Area,45878
Pinellas Central,Oldsmar Ind Area,619
Pinellas Central,Pasco,4763
Pinellas Central,Pinellas Beaches,28766
Pinellas Central,Pinellas Central,348605
Pinellas Central,Pinellas North,6480
Pinellas Central,Pinellas North Central,55942
Pinellas Central,Pinellas South,66432
Pinellas Central,St Petersburg Clearwater Area,1159
Pinellas Central,Tarpon Springs Area,140
Pinellas Central,Tyrone Square Area,2700
Pinellas North,Clearwater Dwntwn,788
Pinellas North,Clearwater Mall,226
Pinellas North,Countryside Mall,1815
Pinellas North,Dwntwn USF Albert Whitted Airport,889
Pinellas North,External,2117
Pinellas North,Gateway Area,887
Pinellas North,Grand Central Area,8
Pinellas North,Hernando  Citrus,897
Pinellas North,Hillsborough,14038
Pinellas North,Manatee Spur,29
Pinellas North,Mid-Cnty Ind Area,3295
Pinellas North,Oldsmar Ind Area,2118
Pinellas North,Pasco,27768
Pinellas North,Pinellas Beaches,1719
Pinellas North,Pinellas Central,6480
Pinellas North,Pinellas North,163993
Pinellas North,Pinellas North Central,49635
Pinellas North,Pinellas South,3878
Pinellas North,St Petersburg Clearwater Area,157
Pinellas North,Tarpon Springs Area,4456
Pinellas North,Tyrone Square Area,129
Pinellas North Central,Clearwater Dwntwn,18037
Pinellas North Central,Clearwater Mall,3799
Pinellas North Central,Countryside Mall,7363
Pinellas North Central,Dwntwn USF Albert Whitted Airport,2937
Pinellas North Central,External,4817
Pinellas North Central,Gateway Area,3751
Pinellas North Central,Grand Central Area,49
Pinellas North Central,Hernando  Citrus,1050
Pinellas North Central,Hillsborough,32733
Pinellas North Central,Manatee Spur,105
Pinellas North Central,Mid-Cnty Ind Area,13933
Pinellas North Central,Oldsmar Ind Area,7081
Pinellas North Central,Pasco,13864
Pinellas North Central,Pinellas Beaches,11979
Pinellas North Central,Pinellas Central,55942
Pinellas North Central,Pinellas North,49635
Pinellas North Central,Pinellas North Central,384911
Pinellas North Central,Pinellas South,18171
Pinellas North Central,St Petersburg Clearwater Area,567
Pinellas North Central,Tarpon Springs Area,525
Pinellas North Central,Tyrone Square Area,273
Pinellas South,Clearwater Dwntwn,1485
Pinellas South,Clearwater Mall,271
Pinellas South,Countryside Mall,273
Pinellas South,Dwntwn USF Albert Whitted Airport,57153
Pinellas South,External,12425
Pinellas South,Gateway Area,20583
Pinellas South,Grand Central Area,6098
Pinellas South,Hernando  Citrus,699
Pinellas South,Hillsborough,46578
Pinellas South,Manatee Spur,1025
Pinellas South,Mid-Cnty Ind Area,33871
Pinellas South,Oldsmar Ind Area,588
Pinellas South,Pasco,5999
Pinellas South,Pinellas Beaches,28977
Pinellas South,Pinellas Central,66432
Pinellas South,Pinellas North,3878
Pinellas South,Pinellas North Central,18171
Pinellas South,Pinellas South,759715
Pinellas South,St Petersburg Clearwater Area,782
Pinellas South,Tarpon Springs Area,95
Pinellas South,Tyrone Square Area,13893
St Petersburg Clearwater Area,Clearwater Dwntwn,19
St Petersburg Clearwater Area,Clearwater Mall,4
St Petersburg Clearwater Area,Countryside Mall,10
St Petersburg Clearwater Area,Dwntwn USF Albert Whitted Airport,51
St Petersburg Clearwater Area,External,237
