FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Spring Hill and SW Hernando,Hillsborough  Manatee Spur,7814,232
Lake Lindsey  N. Central Hernando,Hillsborough  Manatee Spur,199,17
Croom WMA  NE Hernando,Hillsborough  Manatee Spur,329,13
South Central Hernando,Hillsborough  Manatee Spur,1581,90
Brooksville Area,Hillsborough  Manatee Spur,1081,48
Richloam WMA and E Hernando,Hillsborough  Manatee Spur,675,52
Homosassa Springs  SW Citrus,Hillsborough  Manatee Spur,192,7
Inverness and NE Citrus,Hillsborough  Manatee Spur,47,3
Crystal River and NW Citrus,Hillsborough  Manatee Spur,80,7
South East Citrus,Hillsborough  Manatee Spur,67,6
NW Hernando,Hillsborough  Manatee Spur,366,8
North Central Citrus,Hillsborough  Manatee Spur,91,7
NW Hernando,Pinellas,136,11
Spring Hill and SW Hernando,Pinellas,2784,136
Brooksville Area,Pinellas,342,23
South Central Hernando,Pinellas,316,23
Homosassa Springs  SW Citrus,Pinellas,152,10
Croom WMA  NE Hernando,Pinellas,64,0
Richloam WMA and E Hernando,Pinellas,76,8
Lake Lindsey  N. Central Hernando,Pinellas,42,2
Crystal River and NW Citrus,Pinellas,66,7
North Central Citrus,Pinellas,81,8
Inverness and NE Citrus,Pinellas,33,1
South East Citrus,Pinellas,42,4
NW Hernando,Pasco,1026,5
Spring Hill and SW Hernando,Pasco,29731,796
Lake Lindsey  N. Central Hernando,Pasco,422,14
Brooksville Area,Pasco,3021,93
Croom WMA  NE Hernando,Pasco,943,63
South Central Hernando,Pasco,5268,198
Crystal River and NW Citrus,Pasco,227,15
North Central Citrus,Pasco,246,12
Homosassa Springs  SW Citrus,Pasco,858,39
Inverness and NE Citrus,Pasco,161,7
South East Citrus,Pasco,172,13
Richloam WMA and E Hernando,Pasco,3779,171
Hillsborough  Manatee Spur,NW Hernando,364,11
Pinellas,NW Hernando,136,11
Pasco,NW Hernando,1026,6
NW Hernando,NW Hernando,8669,150
Spring Hill and SW Hernando,NW Hernando,8827,171
Lake Lindsey  N. Central Hernando,NW Hernando,611,0
Brooksville Area,NW Hernando,1094,20
Croom WMA  NE Hernando,NW Hernando,112,0
South Central Hernando,NW Hernando,297,4
Richloam WMA and E Hernando,NW Hernando,33,1
Crystal River and NW Citrus,NW Hernando,224,8
North Central Citrus,NW Hernando,92,3
Inverness and NE Citrus,NW Hernando,44,0
Homosassa Springs  SW Citrus,NW Hernando,906,29
External,NW Hernando,223,102
South East Citrus,NW Hernando,43,0
Hillsborough  Manatee Spur,Spring Hill and SW Hernando,7804,241
Pinellas,Spring Hill and SW Hernando,2783,137
Pasco,Spring Hill and SW Hernando,29790,737
NW Hernando,Spring Hill and SW Hernando,8867,131
Spring Hill and SW Hernando,Spring Hill and SW Hernando,198782,5865
Brooksville Area,Spring Hill and SW Hernando,9071,215
Lake Lindsey  N. Central Hernando,Spring Hill and SW Hernando,945,73
South Central Hernando,Spring Hill and SW Hernando,9792,186
Richloam WMA and E Hernando,Spring Hill and SW Hernando,478,14
North Central Citrus,Spring Hill and SW Hernando,309,18
Homosassa Springs  SW Citrus,Spring Hill and SW Hernando,1827,97
South East Citrus,Spring Hill and SW Hernando,237,7
External,Spring Hill and SW Hernando,1644,1184
Croom WMA  NE Hernando,Spring Hill and SW Hernando,966,53
Crystal River and NW Citrus,Spring Hill and SW Hernando,398,41
Inverness and NE Citrus,Spring Hill and SW Hernando,190,9
Pinellas,Lake Lindsey  N. Central Hernando,42,2
Pasco,Lake Lindsey  N. Central Hernando,422,14
Lake Lindsey  N. Central Hernando,Lake Lindsey  N. Central Hernando,2176,228
NW Hernando,Lake Lindsey  N. Central Hernando,611,0
Croom WMA  NE Hernando,Lake Lindsey  N. Central Hernando,302,9
Brooksville Area,Lake Lindsey  N. Central Hernando,2112,98
Spring Hill and SW Hernando,Lake Lindsey  N. Central Hernando,955,63
South Central Hernando,Lake Lindsey  N. Central Hernando,285,13
North Central Citrus,Lake Lindsey  N. Central Hernando,80,1
Inverness and NE Citrus,Lake Lindsey  N. Central Hernando,46,4
Homosassa Springs  SW Citrus,Lake Lindsey  N. Central Hernando,160,53
South East Citrus,Lake Lindsey  N. Central Hernando,94,0
External,Lake Lindsey  N. Central Hernando,175,162
Hillsborough  Manatee Spur,Lake Lindsey  N. Central Hernando,198,18
Crystal River and NW Citrus,Lake Lindsey  N. Central Hernando,51,9
Richloam WMA and E Hernando,Lake Lindsey  N. Central Hernando,70,5
Hillsborough  Manatee Spur,Brooksville Area,1082,47
Pinellas,Brooksville Area,342,23
Pasco,Brooksville Area,3019,96
NW Hernando,Brooksville Area,1090,24
Spring Hill and SW Hernando,Brooksville Area,9061,226
Lake Lindsey  N. Central Hernando,Brooksville Area,2138,73
Brooksville Area,Brooksville Area,39251,1356
Croom WMA  NE Hernando,Brooksville Area,3449,136
South Central Hernando,Brooksville Area,4823,124
Richloam WMA and E Hernando,Brooksville Area,343,24
Crystal River and NW Citrus,Brooksville Area,55,1
North Central Citrus,Brooksville Area,115,3
Homosassa Springs  SW Citrus,Brooksville Area,231,12
Inverness and NE Citrus,Brooksville Area,63,2
South East Citrus,Brooksville Area,243,8
External,Brooksville Area,502,1099
Hillsborough  Manatee Spur,Croom WMA  NE Hernando,329,13
Pinellas,Croom WMA  NE Hernando,64,0
Pasco,Croom WMA  NE Hernando,925,82
Spring Hill and SW Hernando,Croom WMA  NE Hernando,966,53
Lake Lindsey  N. Central Hernando,Croom WMA  NE Hernando,305,6
NW Hernando,Croom WMA  NE Hernando,112,0
Brooksville Area,Croom WMA  NE Hernando,3404,181
Croom WMA  NE Hernando,Croom WMA  NE Hernando,2015,113
South Central Hernando,Croom WMA  NE Hernando,1087,26
Richloam WMA and E Hernando,Croom WMA  NE Hernando,278,25
North Central Citrus,Croom WMA  NE Hernando,57,1
Inverness and NE Citrus,Croom WMA  NE Hernando,14,0
Homosassa Springs  SW Citrus,Croom WMA  NE Hernando,53,1
South East Citrus,Croom WMA  NE Hernando,172,25
External,Croom WMA  NE Hernando,417,290
Crystal River and NW Citrus,Croom WMA  NE Hernando,61,4
Hillsborough  Manatee Spur,South Central Hernando,1598,72
Pinellas,South Central Hernando,319,21
Pasco,South Central Hernando,5279,187
NW Hernando,South Central Hernando,297,4
Spring Hill and SW Hernando,South Central Hernando,9760,218
Lake Lindsey  N. Central Hernando,South Central Hernando,292,6
Brooksville Area,South Central Hernando,4820,127
Croom WMA  NE Hernando,South Central Hernando,1093,20
South Central Hernando,South Central Hernando,6811,195
Richloam WMA and E Hernando,South Central Hernando,300,25
North Central Citrus,South Central Hernando,30,1
Crystal River and NW Citrus,South Central Hernando,36,1
Homosassa Springs  SW Citrus,South Central Hernando,121,4
South East Citrus,South Central Hernando,30,0
External,South Central Hernando,370,258
Inverness and NE Citrus,South Central Hernando,21,0
Hillsborough  Manatee Spur,Richloam WMA and E Hernando,682,45
Pinellas,Richloam WMA and E Hernando,76,8
Pasco,Richloam WMA and E Hernando,3769,180
Spring Hill and SW Hernando,Richloam WMA and E Hernando,482,10
