FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
NW Hilsborough,NW Hilsborough,445266,13335
NE Hilsborough,NW Hilsborough,8702,237
Tampa Central,NW Hilsborough,93273,2504
Citrus Park,NW Hilsborough,13557,357
TPA  Anderson Rd,NW Hilsborough,52059,1538
USF  Hosp  Busch,NW Hilsborough,9246,314
Harney Canal,NW Hilsborough,1546,41
Westshore  Rocky Point,NW Hilsborough,17884,819
SW Hillsborough,NW Hilsborough,10232,250
East Town,NW Hilsborough,4007,111
Downtown,NW Hilsborough,10188,360
Port of Tampa  50th St Corridor,NW Hilsborough,846,24
West Brandon,NW Hilsborough,1479,68
SE Hillsborough,NW Hilsborough,2895,62
Gibsonton,NW Hilsborough,787,20
CZ2,NW Hilsborough,302,7
CZ4,NW Hilsborough,709,31
Apollo Beach  Ruskin,NW Hilsborough,190,6
Pinellas,NW Hilsborough,42031,1645
Pasco,NW Hilsborough,39448,1121
Hernando  Citrus,NW Hilsborough,3344,91
External,NW Hilsborough,4160,3354
New Tampa,NW Hilsborough,716,26
MacDill AFB,NW Hilsborough,652,19
Plant City Area,NW Hilsborough,165,24
Manatee Spur,NW Hilsborough,168,17
NW Hilsborough,NE Hilsborough,8695,243
NE Hilsborough,NE Hilsborough,272044,10981
Tampa Central,NE Hilsborough,32586,1209
Citrus Park,NE Hilsborough,208,3
TPA  Anderson Rd,NE Hilsborough,2510,134
USF  Hosp  Busch,NE Hilsborough,5233,285
Harney Canal,NE Hilsborough,6763,176
New Tampa,NE Hilsborough,2063,68
East Town,NE Hilsborough,19545,717
Plant City Area,NE Hilsborough,27740,1369
Westshore  Rocky Point,NE Hilsborough,2215,150
SW Hillsborough,NE Hilsborough,2629,76
MacDill AFB,NE Hilsborough,241,10
Downtown,NE Hilsborough,6963,407
Port of Tampa  50th St Corridor,NE Hilsborough,1481,38
West Brandon,NE Hilsborough,11588,529
SE Hillsborough,NE Hilsborough,47404,1658
CZ2,NE Hilsborough,2696,100
Gibsonton,NE Hilsborough,3328,130
CZ4,NE Hilsborough,2970,135
Pinellas,NE Hilsborough,5639,518
Pasco,NE Hilsborough,18236,737
Hernando  Citrus,NE Hilsborough,883,50
External,NE Hilsborough,14178,13333
Manatee Spur,NE Hilsborough,174,21
Apollo Beach  Ruskin,NE Hilsborough,836,52
NW Hilsborough,Tampa Central,93398,2378
NE Hilsborough,Tampa Central,32500,1295
Tampa Central,Tampa Central,588694,13048
Citrus Park,Tampa Central,1490,38
TPA  Anderson Rd,Tampa Central,23079,803
USF  Hosp  Busch,Tampa Central,51099,2602
Harney Canal,Tampa Central,22493,402
New Tampa,Tampa Central,4094,362
East Town,Tampa Central,21535,704
Westshore  Rocky Point,Tampa Central,32997,1349
SW Hillsborough,Tampa Central,27659,744
MacDill AFB,Tampa Central,792,39
Downtown,Tampa Central,43950,1674
West Brandon,Tampa Central,8990,303
Port of Tampa  50th St Corridor,Tampa Central,4469,86
SE Hillsborough,Tampa Central,16361,388
CZ2,Tampa Central,1398,33
Gibsonton,Tampa Central,4072,138
CZ4,Tampa Central,3812,116
Pinellas,Tampa Central,22020,998
Pasco,Tampa Central,24918,718
Hernando  Citrus,Tampa Central,2087,66
External,Tampa Central,7103,9221
Manatee Spur,Tampa Central,187,32
Apollo Beach  Ruskin,Tampa Central,924,33
Plant City Area,Tampa Central,691,34
NW Hilsborough,Citrus Park,13587,327
NE Hilsborough,Citrus Park,207,4
Tampa Central,Citrus Park,1471,57
Citrus Park,Citrus Park,2090,92
TPA  Anderson Rd,Citrus Park,1058,27
USF  Hosp  Busch,Citrus Park,194,28
New Tampa,Citrus Park,2,0
Harney Canal,Citrus Park,41,0
Plant City Area,Citrus Park,6,0
Westshore  Rocky Point,Citrus Park,274,28
SW Hillsborough,Citrus Park,197,3
East Town,Citrus Park,33,3
Downtown,Citrus Park,152,8
West Brandon,Citrus Park,21,0
SE Hillsborough,Citrus Park,34,1
Gibsonton,Citrus Park,17,2
CZ2,Citrus Park,9,0
CZ4,Citrus Park,12,0
Pinellas,Citrus Park,931,30
Pasco,Citrus Park,1372,54
