FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Hillsborough Other,Hillsborough Other,1986436,72646
Tampa,Hillsborough Other,340847,11334
USF  Hosp  Busch,Hillsborough Other,50769,2240
Pinellas Other,Hillsborough Other,41045,1659
Clearwater,Hillsborough Other,10474,454
Pinellas Beaches,Hillsborough Other,3103,445
St Petersburg,Hillsborough Other,19769,740
Pasco Other,Hillsborough Other,74874,2240
New Port Richey,Hillsborough Other,1339,55
Hernando Other,Hillsborough Other,3084,120
Spring Hill,Hillsborough Other,3754,76
Citrus,Hillsborough Other,271,12
External,Hillsborough Other,36679,35960
Plant City,Hillsborough Other,42659,1746
Manatee Spur,Hillsborough Other,2097,350
Hillsborough Other,Tampa,340870,11312
Tampa,Tampa,1094044,56729
USF  Hosp  Busch,Tampa,29322,2095
Plant City,Tampa,3835,276
Pinellas Other,Tampa,25835,1670
Clearwater,Tampa,7256,534
Pinellas Beaches,Tampa,2601,1370
St Petersburg,Tampa,24157,1799
Pasco Other,Tampa,43303,1596
New Port Richey,Tampa,482,33
Hernando Other,Tampa,1598,125
Spring Hill,Tampa,2637,103
Citrus,Tampa,167,13
External,Tampa,9507,18725
Manatee Spur,Tampa,383,99
Hillsborough Other,USF  Hosp  Busch,50988,2021
Tampa,USF  Hosp  Busch,29418,1999
USF  Hosp  Busch,USF  Hosp  Busch,47543,5191
Plant City,USF  Hosp  Busch,258,32
Pinellas Other,USF  Hosp  Busch,1594,96
Clearwater,USF  Hosp  Busch,415,31
Pinellas Beaches,USF  Hosp  Busch,106,83
St Petersburg,USF  Hosp  Busch,1156,82
Pasco Other,USF  Hosp  Busch,7911,250
New Port Richey,USF  Hosp  Busch,207,4
Hernando Other,USF  Hosp  Busch,262,12
Spring Hill,USF  Hosp  Busch,471,10
Citrus,USF  Hosp  Busch,27,4
Manatee Spur,USF  Hosp  Busch,63,6
External,USF  Hosp  Busch,859,3530
Tampa,Plant City,3827,284
Hillsborough Other,Plant City,42553,1853
USF  Hosp  Busch,Plant City,266,24
Plant City,Plant City,112113,6483
Clearwater,Plant City,106,18
St Petersburg,Plant City,412,36
Pasco Other,Plant City,1556,101
Manatee Spur,Plant City,53,7
External,Plant City,9034,10197
Pinellas Other,Plant City,518,44
Pinellas Beaches,Plant City,104,58
Hernando Other,Plant City,117,11
Spring Hill,Plant City,112,0
New Port Richey,Plant City,8,1
Citrus,Plant City,8,1
Hillsborough Other,Pinellas Other,41091,1612
Tampa,Pinellas Other,26025,1480
USF  Hosp  Busch,Pinellas Other,1591,98
Plant City,Pinellas Other,518,44
Pinellas Other,Pinellas Other,1101386,34346
Clearwater,Pinellas Other,155810,4378
Pinellas Beaches,Pinellas Other,45184,5479
St Petersburg,Pinellas Other,175772,5079
Pasco Other,Pinellas Other,43816,1303
New Port Richey,Pinellas Other,3307,97
Hernando Other,Pinellas Other,875,66
Spring Hill,Pinellas Other,1511,48
Citrus,Pinellas Other,218,16
External,Pinellas Other,6821,7576
Manatee Spur,Pinellas Other,690,62
Hillsborough Other,Pinellas Beaches,3082,466
Tampa,Pinellas Beaches,2687,1285
USF  Hosp  Busch,Pinellas Beaches,101,88
Plant City,Pinellas Beaches,112,50
Pinellas Other,Pinellas Beaches,45207,5455
Pinellas Beaches,Pinellas Beaches,37403,18933
Clearwater,Pinellas Beaches,10260,1428
St Petersburg,Pinellas Beaches,15605,2058
Pasco Other,Pinellas Beaches,1573,224
New Port Richey,Pinellas Beaches,122,20
Hernando Other,Pinellas Beaches,84,24
Spring Hill,Pinellas Beaches,124,28
Citrus,Pinellas Beaches,30,7
Manatee Spur,Pinellas Beaches,38,12
External,Pinellas Beaches,746,3458
Hillsborough Other,Clearwater,10474,454
Tampa,Clearwater,7283,507
USF  Hosp  Busch,Clearwater,413,34
Pinellas Other,Clearwater,155776,4413
Pinellas Beaches,Clearwater,10053,1635
Clearwater,Clearwater,226013,7600
St Petersburg,Clearwater,12589,304
Pasco Other,Clearwater,7263,265
New Port Richey,Clearwater,616,7
Hernando Other,Clearwater,271,18
Spring Hill,Clearwater,310,9
Citrus,Clearwater,50,2
Manatee Spur,Clearwater,58,20
External,Clearwater,1625,1837
Plant City,Clearwater,107,17
Hillsborough Other,St Petersburg,19737,771
Tampa,St Petersburg,24223,1733
USF  Hosp  Busch,St Petersburg,1152,86
Plant City,St Petersburg,412,36
Pinellas Other,St Petersburg,175662,5188
Clearwater,St Petersburg,12588,304
Pinellas Beaches,St Petersburg,15508,2155
St Petersburg,St Petersburg,622477,20665
Pasco Other,St Petersburg,6214,174
Hernando Other,St Petersburg,214,9
Citrus,St Petersburg,76,5
External,St Petersburg,5391,7103
New Port Richey,St Petersburg,321,8
