FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
NW Pasco,Hillsborough  Manatee Spur,521,36
Pasco West,Hillsborough  Manatee Spur,11339,356
Hudson,Hillsborough  Manatee Spur,577,43
New Port Richey,Hillsborough  Manatee Spur,5216,137
Seven Springs  Odessa,Hillsborough  Manatee Spur,7606,325
Pasco Central,Hillsborough  Manatee Spur,20486,628
Land O Lakes  Connerton,Hillsborough  Manatee Spur,16697,467
Suncoast  SR 54,Hillsborough  Manatee Spur,6434,199
Pasco East,Hillsborough  Manatee Spur,29562,789
Wesley Chapel  I-75 - SR56,Hillsborough  Manatee Spur,21318,883
Dade City,Hillsborough  Manatee Spur,1747,58
Zephyrhills,Hillsborough  Manatee Spur,5565,239
E New Port Richey,Hillsborough  Manatee Spur,412,17
San Antonio,Hillsborough  Manatee Spur,671,68
I-75  SR 52,Hillsborough  Manatee Spur,1545,48
Lacoochie Ind Area,Hillsborough  Manatee Spur,86,2
NW Pasco,Pinellas,464,5
Pasco West,Pinellas,29161,834
Hudson,Pinellas,584,26
New Port Richey,Pinellas,10006,225
E New Port Richey,Pinellas,638,19
Seven Springs  Odessa,Pinellas,10570,388
Pasco Central,Pinellas,5351,166
I-75  SR 52,Pinellas,179,17
Suncoast  SR 54,Pinellas,906,50
Land O Lakes  Connerton,Pinellas,1054,49
Pasco East,Pinellas,2203,126
Wesley Chapel  I-75 - SR56,Pinellas,1227,135
Zephyrhills,Pinellas,577,33
Dade City,Pinellas,188,10
Lacoochie Ind Area,Pinellas,9,0
San Antonio,Pinellas,115,16
Hillsborough  Manatee Spur,NW Pasco,526,31
Pinellas,NW Pasco,467,2
NW Pasco,NW Pasco,5335,112
Pasco West,NW Pasco,4014,88
Hudson,NW Pasco,959,25
New Port Richey,NW Pasco,1077,7
E New Port Richey,NW Pasco,65,1
Seven Springs  Odessa,NW Pasco,143,4
Pasco Central,NW Pasco,1744,43
Land O Lakes  Connerton,NW Pasco,105,2
Pasco East,NW Pasco,126,3
Suncoast  SR 54,NW Pasco,22,5
I-75  SR 52,NW Pasco,23,0
Wesley Chapel  I-75 - SR56,NW Pasco,69,3
Dade City,NW Pasco,56,0
Zephyrhills,NW Pasco,27,0
Hernando,NW Pasco,3388,83
Citrus,NW Pasco,109,4
External,NW Pasco,100,79
Hillsborough  Manatee Spur,Pasco West,11353,342
Pinellas,Pasco West,29194,801
NW Pasco,Pasco West,4002,99
Pasco West,Pasco West,135754,3961
Hudson,Pasco West,11610,444
New Port Richey,Pasco West,44181,1204
E New Port Richey,Pasco West,3557,84
Seven Springs  Odessa,Pasco West,16543,521
Pasco Central,Pasco West,17742,439
I-75  SR 52,Pasco West,144,4
Land O Lakes  Connerton,Pasco West,1004,20
Pasco East,Pasco West,794,50
Suncoast  SR 54,Pasco West,571,6
Wesley Chapel  I-75 - SR56,Pasco West,555,21
Zephyrhills,Pasco West,141,7
Hernando,Pasco West,6420,213
Citrus,Pasco West,462,22
External,Pasco West,1130,847
San Antonio,NW Pasco,13,0
Dade City,Pasco West,108,8
San Antonio,Pasco West,86,15
Hillsborough  Manatee Spur,Hudson,581,39
Pinellas,Hudson,586,24
NW Pasco,Hudson,967,17
Pasco West,Hudson,11583,472
Hudson,Hudson,4334,98
New Port Richey,Hudson,2014,43
E New Port Richey,Hudson,338,4
Seven Springs  Odessa,Hudson,268,4
Pasco Central,Hudson,2981,56
Land O Lakes  Connerton,Hudson,122,1
I-75  SR 52,Hudson,9,7
Suncoast  SR 54,Hudson,13,2
San Antonio,Hudson,3,0
Pasco East,Hudson,137,2
Wesley Chapel  I-75 - SR56,Hudson,30,2
Hernando,Hudson,1638,55
Citrus,Hudson,102,1
External,Hudson,74,75
Dade City,Hudson,21,0
Zephyrhills,Hudson,9,1
Lacoochie Ind Area,Pasco West,10,0
Hillsborough  Manatee Spur,New Port Richey,5221,132
Pinellas,New Port Richey,10005,226
NW Pasco,New Port Richey,1077,7
Pasco West,New Port Richey,44186,1199
Hudson,New Port Richey,2023,34
New Port Richey,New Port Richey,93849,1854
E New Port Richey,New Port Richey,2711,74
Seven Springs  Odessa,New Port Richey,6758,224
Pasco Central,New Port Richey,7852,159
Land O Lakes  Connerton,New Port Richey,598,7
Pasco East,New Port Richey,439,12
Suncoast  SR 54,New Port Richey,357,6
I-75  SR 52,New Port Richey,65,3
