FROM,TO,RESIDENT TRIPS,VISITOR TRIPS
Pinellas North,Hillsborough,13420,619
Tarpon Springs Area,Hillsborough,255,50
Pinellas North Central,Hillsborough,31064,1670
Oldsmar Ind Area,Hillsborough,5663,196
Clearwater Dwntwn,Hillsborough,1119,108
Pinellas Beaches,Hillsborough,5915,1956
Pinellas Central,Hillsborough,16195,755
Mid-Cnty Ind Area,Hillsborough,7223,326
Pinellas South,Hillsborough,44295,2284
Tyrone Square Area,Hillsborough,455,44
Dwntwn USF Albert Whitted Airport,Hillsborough,7813,733
Countryside Mall,Hillsborough,479,45
St Petersburg Clearwater Area,Hillsborough,442,125
Gateway Area,Hillsborough,3834,168
Clearwater Mall,Hillsborough,354,38
Grand Central Area,Hillsborough,126,3
Hillsborough,Pinellas North,13462,577
Pinellas North,Pinellas North,158385,5608
Tarpon Springs Area,Pinellas North,4274,183
Pinellas North Central,Pinellas North,47972,1663
Oldsmar Ind Area,Pinellas North,2073,46
Countryside Mall,Pinellas North,1717,98
Pinellas Beaches,Pinellas North,1547,172
Clearwater Dwntwn,Pinellas North,779,10
Clearwater Mall,Pinellas North,214,12
Pinellas Central,Pinellas North,6359,121
Mid-Cnty Ind Area,Pinellas North,3225,69
Pinellas South,Pinellas North,3789,89
Tyrone Square Area,Pinellas North,129,1
Dwntwn USF Albert Whitted Airport,Pinellas North,864,25
Pasco,Pinellas North,27033,735
Hernando  Citrus,Pinellas North,862,35
External,Pinellas North,1061,1055
Gateway Area,Pinellas North,878,8
Manatee Spur,Pinellas North,25,4
Hillsborough,Tarpon Springs Area,247,58
Pinellas North,Tarpon Springs Area,4245,211
Tarpon Springs Area,Tarpon Springs Area,739,97
Pinellas Beaches,Tarpon Springs Area,49,47
Pinellas North Central,Tarpon Springs Area,436,89
Oldsmar Ind Area,Tarpon Springs Area,5,3
Countryside Mall,Tarpon Springs Area,18,5
Clearwater Dwntwn,Tarpon Springs Area,20,2
Pinellas Central,Tarpon Springs Area,128,12
Mid-Cnty Ind Area,Tarpon Springs Area,29,3
Pinellas South,Tarpon Springs Area,89,6
Gateway Area,Tarpon Springs Area,4,0
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,1,0
Pasco,Tarpon Springs Area,1867,192
Hernando  Citrus,Tarpon Springs Area,61,21
External,Tarpon Springs Area,15,121
Clearwater Mall,Tarpon Springs Area,1,0
St Petersburg Clearwater Area,Tarpon Springs Area,0,1
Tyrone Square Area,Tarpon Springs Area,3,0
Grand Central Area,Tarpon Springs Area,1,0
Manatee Spur,Tarpon Springs Area,1,0
St Petersburg Clearwater Area,Pinellas North,153,4
Grand Central Area,Pinellas North,8,0
Hillsborough,Pinellas Beaches,5982,1888
Pinellas North,Pinellas Beaches,1533,186
Tarpon Springs Area,Pinellas Beaches,50,45
Pinellas Beaches,Pinellas Beaches,37403,18933
Pinellas North Central,Pinellas Beaches,10525,1454
Oldsmar Ind Area,Pinellas Beaches,39,14
Countryside Mall,Pinellas Beaches,111,22
Clearwater Dwntwn,Pinellas Beaches,1671,233
Clearwater Mall,Pinellas Beaches,78,37
Pinellas Central,Pinellas Beaches,25831,2935
Mid-Cnty Ind Area,Pinellas Beaches,1972,240
Pinellas South,Pinellas Beaches,26095,2882
Gateway Area,Pinellas Beaches,493,51
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,1594,583
Pasco,Pinellas Beaches,1695,244
Hernando  Citrus,Pinellas Beaches,237,59
Manatee Spur,Pinellas Beaches,38,12
External,Pinellas Beaches,746,3458
Hillsborough,Pinellas North Central,31156,1577
Pinellas North,Pinellas North Central,48073,1562
Tarpon Springs Area,Pinellas North Central,422,104
Pinellas Beaches,Pinellas North Central,10398,1580
Pinellas North Central,Pinellas North Central,372522,12389
Oldsmar Ind Area,Pinellas North Central,6835,246
Countryside Mall,Pinellas North Central,7036,327
Clearwater Dwntwn,Pinellas North Central,17531,506
Clearwater Mall,Pinellas North Central,3523,276
Pinellas Central,Pinellas North Central,54719,1224
