ZONE,COUNTY,MODE,TRIPS
4,Hillsborough County,AUTO,302
6,Hillsborough County,AUTO,23
8,Hillsborough County,AUTO,2144
9,Hillsborough County,AUTO,303
13,Hillsborough County,AUTO,355
34,Hillsborough County,AUTO,197
37,Hillsborough County,AUTO,67
39,Hillsborough County,AUTO,160
41,Hillsborough County,AUTO,94
42,Hillsborough County,AUTO,80
44,Hillsborough County,AUTO,102
59,Hillsborough County,AUTO,1948
62,Hillsborough County,AUTO,129
62,Hillsborough County,BIKE,98
63,Hillsborough County,AUTO,208
64,Hillsborough County,WALK,197
65,Hillsborough County,OTHER,98
69,Hillsborough County,AUTO,59
72,Hillsborough County,AUTO,2284
74,Hillsborough County,AUTO,104
77,Hillsborough County,AUTO,1407
78,Hillsborough County,AUTO,178
78,Hillsborough County,SHUTTLE VANPOOL,23
93,Hillsborough County,AUTO,256
97,Hillsborough County,AUTO,397
111,Hillsborough County,AUTO,85
113,Hillsborough County,AUTO,237
114,Hillsborough County,AUTO,5998
128,Hillsborough County,TRANSIT,3523
129,Hillsborough County,AUTO,104
133,Hillsborough County,AUTO,872
138,Hillsborough County,AUTO,937
141,Hillsborough County,TNC,98
141,Hillsborough County,TRANSIT,98
142,Hillsborough County,TNC,99
154,Hillsborough County,AUTO,27
155,Hillsborough County,AUTO,120
156,Hillsborough County,AUTO,106
161,Hillsborough County,AUTO,40
165,Hillsborough County,AUTO,1188
168,Hillsborough County,AUTO,16
170,Hillsborough County,AUTO,139
173,Hillsborough County,AUTO,2765
173,Hillsborough County,SCHOOL BUS,3786
175,Hillsborough County,AUTO,79
178,Hillsborough County,AUTO,159
179,Hillsborough County,AUTO,18
179,Hillsborough County,WALK,2353
180,Hillsborough County,WALK,53
181,Hillsborough County,AUTO,8492
181,Hillsborough County,WALK,2353
183,Hillsborough County,AUTO,304
183,Hillsborough County,WALK,107
184,Hillsborough County,AUTO,219
184,Hillsborough County,BIKE,122
184,Hillsborough County,WALK,42
185,Hillsborough County,AUTO,6
186,Hillsborough County,WALK,3865
190,Hillsborough County,AUTO,139
194,Hillsborough County,AUTO,4007
194,Hillsborough County,WALK,4007
200,Hillsborough County,AUTO,16
201,Hillsborough County,AUTO,79
201,Hillsborough County,TRANSIT,3523
201,Hillsborough County,WALK,3865
205,Hillsborough County,AUTO,40
206,Hillsborough County,AUTO,40
207,Hillsborough County,AUTO,119
209,Hillsborough County,AUTO,103
210,Hillsborough County,AUTO,6690
211,Hillsborough County,AUTO,2353
217,Hillsborough County,AUTO,40
218,Hillsborough County,AUTO,26
224,Hillsborough County,AUTO,3319
237,Hillsborough County,AUTO,23
238,Hillsborough County,TNC,98
238,Hillsborough County,WALK,98
240,Hillsborough County,WALK,2392
242,Hillsborough County,AUTO,104
244,Hillsborough County,AUTO,104
254,Hillsborough County,AUTO,23
255,Hillsborough County,AUTO,9636
262,Hillsborough County,AUTO,40
271,Hillsborough County,AUTO,153
272,Hillsborough County,AUTO,260
278,Hillsborough County,AUTO,238
290,Hillsborough County,AUTO,222
291,Hillsborough County,AUTO,123
291,Hillsborough County,WALK,101
293,Hillsborough County,AUTO,87
293,Hillsborough County,OTHER,49
293,Hillsborough County,TNC,98
294,Hillsborough County,AUTO,55
295,Hillsborough County,AUTO,53
297,Hillsborough County,AUTO,12
298,Hillsborough County,AUTO,3032
299,Hillsborough County,AUTO,14110
299,Hillsborough County,WALK,80
300,Hillsborough County,AUTO,865
300,Hillsborough County,WALK,68
301,Hillsborough County,AUTO,96
301,Hillsborough County,WALK,1980
302,Hillsborough County,AUTO,1010
302,Hillsborough County,WALK,902
306,Hillsborough County,AUTO,2
307,Hillsborough County,AUTO,53
307,Hillsborough County,SHUTTLE VANPOOL,45
307,Hillsborough County,WALK,2765
308,Hillsborough County,AUTO,2366
308,Hillsborough County,SHUTTLE VANPOOL,23
309,Hillsborough County,AUTO,1596
309,Hillsborough County,TNC,56
310,Hillsborough County,AUTO,112
310,Hillsborough County,WALK,2765
311,Hillsborough County,AUTO,311
311,Hillsborough County,WALK,234
312,Hillsborough County,AUTO,25
312,Hillsborough County,WALK,27
313,Hillsborough County,AUTO,800
313,Hillsborough County,BIKE,505
313,Hillsborough County,BIKE SHARE,44
313,Hillsborough County,SHUTTLE VANPOOL,87
313,Hillsborough County,WALK,2444
314,Hillsborough County,AUTO,616
314,Hillsborough County,BIKE,432
314,Hillsborough County,BIKE SHARE,9
314,Hillsborough County,SHUTTLE VANPOOL,32
314,Hillsborough County,WALK,657
315,Hillsborough County,AUTO,1064
315,Hillsborough County,BIKE,432
315,Hillsborough County,SHUTTLE VANPOOL,18
315,Hillsborough County,WALK,159
317,Hillsborough County,AUTO,272
317,Hillsborough County,BIKE,119
317,Hillsborough County,LONG DIST PASS,143
317,Hillsborough County,TRANSIT,119
317,Hillsborough County,WALK,309
318,Hillsborough County,AUTO,3619
318,Hillsborough County,BIKE,863
319,Hillsborough County,AUTO,186
319,Hillsborough County,WALK,2
320,Hillsborough County,AUTO,3
323,Hillsborough County,AUTO,160
323,Hillsborough County,OTHER,98
323,Hillsborough County,TNC,101
325,Hillsborough County,AUTO,109
326,Hillsborough County,AUTO,4436
326,Hillsborough County,WALK,4434
330,Hillsborough County,AUTO,151
331,Hillsborough County,AUTO,378
345,Hillsborough County,AUTO,197
346,Hillsborough County,AUTO,23
359,Hillsborough County,AUTO,291
367,Hillsborough County,AUTO,26
389,Hillsborough County,AUTO,29
401,Hillsborough County,AUTO,3134
418,Hillsborough County,AUTO,329
422,Hillsborough County,AUTO,29
423,Hillsborough County,AUTO,50
424,Hillsborough County,AUTO,115
425,Hillsborough County,AUTO,98
428,Hillsborough County,AUTO,403
428,Hillsborough County,WALK,202
429,Hillsborough County,WALK,27
432,Hillsborough County,AUTO,3651
434,Hillsborough County,AUTO,219
434,Hillsborough County,WALK,35
436,Hillsborough County,AUTO,291
438,Hillsborough County,AUTO,513
438,Hillsborough County,LONG DIST PASS,116
441,Hillsborough County,AUTO,248
443,Hillsborough County,AUTO,538
443,Hillsborough County,BIKE,75
443,Hillsborough County,WALK,213
451,Hillsborough County,AUTO,146
454,Hillsborough County,AUTO,389
456,Hillsborough County,AUTO,237
458,Hillsborough County,AUTO,1977
461,Hillsborough County,AUTO,36
461,Hillsborough County,TNC,9
474,Hillsborough County,AUTO,23
476,Hillsborough County,AUTO,27
477,Hillsborough County,AUTO,358
477,Hillsborough County,TNC,99
481,Hillsborough County,AUTO,715
482,Hillsborough County,AUTO,613
484,Hillsborough County,AUTO,18
485,Hillsborough County,WALK,18
487,Hillsborough County,AUTO,216
492,Hillsborough County,AUTO,204
492,Hillsborough County,WALK,204
493,Hillsborough County,AUTO,103
494,Hillsborough County,AUTO,531
496,Hillsborough County,AUTO,25
497,Hillsborough County,AUTO,31
498,Hillsborough County,AUTO,94
503,Hillsborough County,AUTO,16
504,Hillsborough County,AUTO,64
506,Hillsborough County,AUTO,9
507,Hillsborough County,AUTO,27
507,Hillsborough County,WALK,5
508,Hillsborough County,AUTO,3
509,Hillsborough County,AUTO,53
510,Hillsborough County,AUTO,27
512,Hillsborough County,AUTO,1138
512,Hillsborough County,WALK,1518
513,Hillsborough County,AUTO,379
515,Hillsborough County,AUTO,37
517,Hillsborough County,AUTO,6160
517,Hillsborough County,BIKE,3680
517,Hillsborough County,WALK,20852
