PERSON TYPE,PER,ORIG PURPOSE,TIME USE
ALL,1,HOME,59849
ALL,1,WORK,118
ALL,1,SCHOOL,0
ALL,1,ESCORT,107
ALL,1,SHOP,177
ALL,1,MEAL,72
ALL,1,SOC AND REC,148
ALL,1,COMMUTE,296
ALL,1,OTHER,300
ALL,2,HOME,59781
ALL,2,WORK,172
ALL,2,SCHOOL,0
ALL,2,ESCORT,107
ALL,2,SHOP,187
ALL,2,MEAL,76
ALL,2,SOC AND REC,158
ALL,2,COMMUTE,288
ALL,2,OTHER,300
ALL,3,HOME,59786
ALL,3,WORK,207
ALL,3,SCHOOL,0
ALL,3,ESCORT,107
ALL,3,SHOP,208
ALL,3,MEAL,74
ALL,3,SOC AND REC,162
ALL,3,COMMUTE,225
ALL,3,OTHER,300
ALL,4,HOME,59552
ALL,4,WORK,267
ALL,4,SCHOOL,0
ALL,4,ESCORT,107
ALL,4,SHOP,200
ALL,4,MEAL,69
ALL,4,SOC AND REC,188
ALL,4,COMMUTE,385
ALL,4,OTHER,299
ALL,5,HOME,59144
ALL,5,WORK,380
ALL,5,SCHOOL,0
ALL,5,ESCORT,140
ALL,5,SHOP,209
ALL,5,MEAL,72
ALL,5,SOC AND REC,198
ALL,5,COMMUTE,629
ALL,5,OTHER,295
ALL,6,HOME,57772
ALL,6,WORK,852
ALL,6,SCHOOL,14
ALL,6,ESCORT,158
ALL,6,SHOP,245
ALL,6,MEAL,96
ALL,6,SOC AND REC,306
ALL,6,COMMUTE,1334
ALL,6,OTHER,292
ALL,7,HOME,55910
ALL,7,WORK,1572
ALL,7,SCHOOL,21
ALL,7,ESCORT,177
ALL,7,SHOP,284
ALL,7,MEAL,98
ALL,7,SOC AND REC,429
ALL,7,COMMUTE,2287
ALL,7,OTHER,291
ALL,8,HOME,52373
ALL,8,WORK,2749
ALL,8,SCHOOL,172
ALL,8,ESCORT,263
ALL,8,SHOP,432
ALL,8,MEAL,154
ALL,8,SOC AND REC,610
ALL,8,COMMUTE,4037
ALL,8,OTHER,278
ALL,9,HOME,47174
ALL,9,WORK,4675
ALL,9,SCHOOL,1103
ALL,9,ESCORT,517
ALL,9,SHOP,652
ALL,9,MEAL,211
ALL,9,SOC AND REC,673
ALL,9,COMMUTE,5807
ALL,9,OTHER,255
ALL,10,HOME,41861
ALL,10,WORK,7563
ALL,10,SCHOOL,2020
ALL,10,ESCORT,910
ALL,10,SHOP,1015
