ZONE,COUNTY,MODE,TRIPS
1,Hillsborough County,AUTO,7219
2,Hillsborough County,AUTO,3668
2,Hillsborough County,BIKE,1621
3,Hillsborough County,AUTO,40966
3,Hillsborough County,SCHOOL BUS,6977
3,Hillsborough County,TRANSIT,244
4,Hillsborough County,AUTO,2595
4,Hillsborough County,BIKE,182
5,Hillsborough County,AUTO,3563
6,Hillsborough County,AUTO,528
7,Hillsborough County,AUTO,4387
8,Hillsborough County,AUTO,5168
9,Hillsborough County,AUTO,2291
10,Hillsborough County,AUTO,321
11,Hillsborough County,AUTO,9993
11,Hillsborough County,BIKE,1621
12,Hillsborough County,AUTO,2808
13,Hillsborough County,AUTO,1793
13,Hillsborough County,WALK,398
14,Hillsborough County,AUTO,28389
14,Hillsborough County,SCHOOL BUS,6977
15,Hillsborough County,AUTO,7839
16,Hillsborough County,AUTO,22366
17,Hillsborough County,AUTO,23347
18,Hillsborough County,AUTO,2894
19,Hillsborough County,AUTO,10111
20,Hillsborough County,AUTO,429
21,Hillsborough County,AUTO,556
22,Hillsborough County,AUTO,281
23,Hillsborough County,AUTO,9041
24,Hillsborough County,AUTO,1003
24,Hillsborough County,WALK,283
25,Hillsborough County,AUTO,457
26,Hillsborough County,AUTO,323
26,Hillsborough County,WALK,2834
27,Hillsborough County,AUTO,10744
28,Hillsborough County,AUTO,653
29,Hillsborough County,AUTO,871
29,Hillsborough County,TRANSIT,244
29,Hillsborough County,WALK,694
30,Hillsborough County,AUTO,10927
30,Hillsborough County,BIKE,136
31,Hillsborough County,AUTO,583
31,Hillsborough County,WALK,197
32,Hillsborough County,AUTO,2328
33,Hillsborough County,AUTO,242
34,Hillsborough County,AUTO,23589
34,Hillsborough County,OTHER,154
35,Hillsborough County,AUTO,10574
35,Hillsborough County,BIKE,37
35,Hillsborough County,WALK,74
36,Hillsborough County,AUTO,31949
36,Hillsborough County,WALK,74
37,Hillsborough County,AUTO,8433
37,Hillsborough County,WALK,255
38,Hillsborough County,AUTO,19462
39,Hillsborough County,AUTO,573
40,Hillsborough County,AUTO,1388
41,Hillsborough County,AUTO,10262
41,Hillsborough County,SCHOOL BUS,1566
42,Hillsborough County,AUTO,7496
43,Hillsborough County,AUTO,1795
44,Hillsborough County,AUTO,2570
44,Hillsborough County,WALK,269
45,Hillsborough County,AUTO,2050
47,Hillsborough County,AUTO,19
