FROM,TO,TRIPS
Brooksville Area,Brooksville Area,35188
Brooksville Area,Croom WMA  NE Hernando,2929
Brooksville Area,Crystal River and NW Citrus,0
Brooksville Area,External,151
Brooksville Area,Hillsborough  Manatee Spur,480
Brooksville Area,Homosassa Springs  SW Citrus,1017
Brooksville Area,Inverness and NE Citrus,0
Brooksville Area,Lake Lindsey  N. Central Hernando,890
Brooksville Area,NW Hernando,607
Brooksville Area,North Central Citrus,0
Brooksville Area,Pasco,8722
Brooksville Area,Pinellas,118
Brooksville Area,Richloam WMA and E Hernando,53
Brooksville Area,South Central Hernando,2694
Brooksville Area,South East Citrus,0
Brooksville Area,Spring Hill and SW Hernando,16861
Croom WMA  NE Hernando,Brooksville Area,2587
Croom WMA  NE Hernando,Croom WMA  NE Hernando,268
Croom WMA  NE Hernando,Crystal River and NW Citrus,0
Croom WMA  NE Hernando,External,32
Croom WMA  NE Hernando,Hillsborough  Manatee Spur,32
Croom WMA  NE Hernando,Homosassa Springs  SW Citrus,0
Croom WMA  NE Hernando,Inverness and NE Citrus,258
Croom WMA  NE Hernando,Lake Lindsey  N. Central Hernando,0
Croom WMA  NE Hernando,NW Hernando,0
Croom WMA  NE Hernando,North Central Citrus,0
Croom WMA  NE Hernando,Pasco,0
Croom WMA  NE Hernando,Pinellas,98
Croom WMA  NE Hernando,Richloam WMA and E Hernando,0
Croom WMA  NE Hernando,South Central Hernando,147
Croom WMA  NE Hernando,South East Citrus,0
Croom WMA  NE Hernando,Spring Hill and SW Hernando,257
Crystal River and NW Citrus,Brooksville Area,0
Crystal River and NW Citrus,Croom WMA  NE Hernando,0
Crystal River and NW Citrus,Crystal River and NW Citrus,53035
Crystal River and NW Citrus,External,5378
Crystal River and NW Citrus,Hillsborough  Manatee Spur,0
Crystal River and NW Citrus,Homosassa Springs  SW Citrus,10769
Crystal River and NW Citrus,Inverness and NE Citrus,9757
Crystal River and NW Citrus,Lake Lindsey  N. Central Hernando,0
Crystal River and NW Citrus,NW Hernando,0
Crystal River and NW Citrus,North Central Citrus,24694
Crystal River and NW Citrus,Pasco,0
Crystal River and NW Citrus,Pinellas,0
Crystal River and NW Citrus,Richloam WMA and E Hernando,0
Crystal River and NW Citrus,South Central Hernando,101
Crystal River and NW Citrus,South East Citrus,3449
Crystal River and NW Citrus,Spring Hill and SW Hernando,821
External,Brooksville Area,44
External,Croom WMA  NE Hernando,23
External,Crystal River and NW Citrus,2730
External,External,0
External,Hillsborough  Manatee Spur,0
External,Homosassa Springs  SW Citrus,1994
External,Inverness and NE Citrus,677
External,Lake Lindsey  N. Central Hernando,0
External,NW Hernando,0
External,North Central Citrus,5004
External,Pasco,0
External,Pinellas,0
External,Richloam WMA and E Hernando,27
External,South Central Hernando,101
External,South East Citrus,107
External,Spring Hill and SW Hernando,2565
Hillsborough  Manatee Spur,Brooksville Area,345
Hillsborough  Manatee Spur,Croom WMA  NE Hernando,23
Hillsborough  Manatee Spur,Crystal River and NW Citrus,0
Hillsborough  Manatee Spur,External,0
Hillsborough  Manatee Spur,Hillsborough  Manatee Spur,0
Hillsborough  Manatee Spur,Homosassa Springs  SW Citrus,38
Hillsborough  Manatee Spur,Inverness and NE Citrus,42
Hillsborough  Manatee Spur,Lake Lindsey  N. Central Hernando,0
Hillsborough  Manatee Spur,NW Hernando,197
Hillsborough  Manatee Spur,North Central Citrus,98
Hillsborough  Manatee Spur,Pasco,0
Hillsborough  Manatee Spur,Pinellas,0
Hillsborough  Manatee Spur,Richloam WMA and E Hernando,2730
Hillsborough  Manatee Spur,South Central Hernando,1680
Hillsborough  Manatee Spur,South East Citrus,3410
Hillsborough  Manatee Spur,Spring Hill and SW Hernando,3751
Homosassa Springs  SW Citrus,Brooksville Area,1164
Homosassa Springs  SW Citrus,Croom WMA  NE Hernando,643
Homosassa Springs  SW Citrus,Crystal River and NW Citrus,7464
Homosassa Springs  SW Citrus,External,2682
Homosassa Springs  SW Citrus,Hillsborough  Manatee Spur,204
Homosassa Springs  SW Citrus,Homosassa Springs  SW Citrus,38323
Homosassa Springs  SW Citrus,Inverness and NE Citrus,3763
Homosassa Springs  SW Citrus,Lake Lindsey  N. Central Hernando,0
Homosassa Springs  SW Citrus,NW Hernando,0
Homosassa Springs  SW Citrus,North Central Citrus,14553
Homosassa Springs  SW Citrus,Pasco,3308
Homosassa Springs  SW Citrus,Pinellas,546
Homosassa Springs  SW Citrus,Richloam WMA and E Hernando,0
Homosassa Springs  SW Citrus,South Central Hernando,98
Homosassa Springs  SW Citrus,South East Citrus,23
Homosassa Springs  SW Citrus,Spring Hill and SW Hernando,2826
Inverness and NE Citrus,Brooksville Area,0
Inverness and NE Citrus,Croom WMA  NE Hernando,244
Inverness and NE Citrus,Crystal River and NW Citrus,11372
Inverness and NE Citrus,External,921
Inverness and NE Citrus,Hillsborough  Manatee Spur,0
Inverness and NE Citrus,Homosassa Springs  SW Citrus,896
Inverness and NE Citrus,Inverness and NE Citrus,37445
Inverness and NE Citrus,Lake Lindsey  N. Central Hernando,0
Inverness and NE Citrus,NW Hernando,0
Inverness and NE Citrus,North Central Citrus,25496
Inverness and NE Citrus,Pasco,0
Inverness and NE Citrus,Pinellas,0
Inverness and NE Citrus,Richloam WMA and E Hernando,0
Inverness and NE Citrus,South Central Hernando,0
Inverness and NE Citrus,South East Citrus,15867
Inverness and NE Citrus,Spring Hill and SW Hernando,0
Lake Lindsey  N. Central Hernando,Brooksville Area,710
Lake Lindsey  N. Central Hernando,Croom WMA  NE Hernando,0
Lake Lindsey  N. Central Hernando,Crystal River and NW Citrus,0
Lake Lindsey  N. Central Hernando,External,0
