FROM,TO,TRIPS
Apollo Beach  Ruskin,Apollo Beach  Ruskin,81693
Apollo Beach  Ruskin,CZ2,6
Apollo Beach  Ruskin,CZ4,12090
Apollo Beach  Ruskin,Citrus Park,0
Apollo Beach  Ruskin,Downtown,1765
Apollo Beach  Ruskin,East Town,389
Apollo Beach  Ruskin,External,1293
Apollo Beach  Ruskin,Gibsonton,5593
Apollo Beach  Ruskin,Harney Canal,0
Apollo Beach  Ruskin,Hernando  Citrus,0
Apollo Beach  Ruskin,MacDill AFB,0
Apollo Beach  Ruskin,Manatee Spur,150
Apollo Beach  Ruskin,NE Hilsborough,150
Apollo Beach  Ruskin,NW Hilsborough,0
Apollo Beach  Ruskin,New Tampa,41
Apollo Beach  Ruskin,Pasco,0
Apollo Beach  Ruskin,Pinellas,4066
Apollo Beach  Ruskin,Plant City Area,0
Apollo Beach  Ruskin,Port of Tampa  50th St Corridor,121
Apollo Beach  Ruskin,SE Hillsborough,38590
Apollo Beach  Ruskin,SW Hillsborough,0
Apollo Beach  Ruskin,TPA  Anderson Rd,0
Apollo Beach  Ruskin,Tampa Central,1035
Apollo Beach  Ruskin,USF  Hosp  Busch,0
Apollo Beach  Ruskin,West Brandon,506
Apollo Beach  Ruskin,Westshore  Rocky Point,158
CZ2,Apollo Beach  Ruskin,43
CZ2,CZ2,79613
CZ2,CZ4,521
CZ2,Citrus Park,0
CZ2,Downtown,4109
CZ2,East Town,2292
CZ2,External,1195
CZ2,Gibsonton,3584
CZ2,Harney Canal,47
CZ2,Hernando  Citrus,832
CZ2,MacDill AFB,3421
CZ2,Manatee Spur,0
CZ2,NE Hilsborough,456
CZ2,NW Hilsborough,0
CZ2,New Tampa,930
CZ2,Pasco,42
CZ2,Pinellas,235
CZ2,Plant City Area,0
CZ2,Port of Tampa  50th St Corridor,0
CZ2,SE Hillsborough,21243
CZ2,SW Hillsborough,57
CZ2,TPA  Anderson Rd,310
CZ2,Tampa Central,1549
CZ2,USF  Hosp  Busch,0
CZ2,West Brandon,4141
CZ2,Westshore  Rocky Point,156
CZ4,Apollo Beach  Ruskin,18351
CZ4,CZ2,427
CZ4,CZ4,160337
CZ4,Citrus Park,0
