FROM,TO,TRIPS
Citrus,Citrus,482334
Citrus,Clearwater,33
Citrus,External,14368
Citrus,Hernando Other,3321
Citrus,Hillsborough Other,150
Citrus,Manatee Spur,0
Citrus,New Port Richey,0
Citrus,Pasco Other,3308
Citrus,Pinellas Beaches,0
Citrus,Pinellas Other,513
Citrus,Plant City,0
Citrus,Spring Hill,2923
Citrus,St Petersburg,0
Citrus,Tampa,93
Citrus,USF  Hosp  Busch,4146
Clearwater,Citrus,513
Clearwater,Clearwater,496991
Clearwater,External,2172
Clearwater,Hernando Other,182
Clearwater,Hillsborough Other,8047
Clearwater,Manatee Spur,0
Clearwater,New Port Richey,485
Clearwater,Pasco Other,9774
Clearwater,Pinellas Beaches,2128
Clearwater,Pinellas Other,235612
Clearwater,Plant City,0
Clearwater,Spring Hill,200
Clearwater,St Petersburg,21243
Clearwater,Tampa,14081
Clearwater,USF  Hosp  Busch,4892
External,Citrus,10512
External,Clearwater,1568
External,External,210053
External,Hernando Other,310
External,Hillsborough Other,26236
External,Manatee Spur,0
External,New Port Richey,0
External,Pasco Other,3792
External,Pinellas Beaches,644
External,Pinellas Other,8502
External,Plant City,4090
External,Spring Hill,2449
External,St Petersburg,8509
External,Tampa,28778
External,USF  Hosp  Busch,148
Hernando Other,Citrus,2419
Hernando Other,Clearwater,224
Hernando Other,External,575
Hernando Other,Hernando Other,143997
Hernando Other,Hillsborough Other,5634
Hernando Other,Manatee Spur,0
Hernando Other,New Port Richey,0
Hernando Other,Pasco Other,25970
Hernando Other,Pinellas Beaches,0
Hernando Other,Pinellas Other,309
Hernando Other,Plant City,0
Hernando Other,Spring Hill,50147
Hernando Other,St Petersburg,0
Hernando Other,Tampa,310
Hernando Other,USF  Hosp  Busch,0
Hillsborough Other,Citrus,42
Hillsborough Other,Clearwater,28273
Hillsborough Other,External,30815
Hillsborough Other,Hernando Other,5825
Hillsborough Other,Hillsborough Other,3132131
Hillsborough Other,Manatee Spur,380
Hillsborough Other,New Port Richey,376
Hillsborough Other,Pasco Other,86452
Hillsborough Other,Pinellas Beaches,7869
Hillsborough Other,Pinellas Other,71736
Hillsborough Other,Plant City,23343
Hillsborough Other,Spring Hill,1745
Hillsborough Other,St Petersburg,22798
Hillsborough Other,Tampa,425630
Hillsborough Other,USF  Hosp  Busch,76173
Manatee Spur,Citrus,0
Manatee Spur,Clearwater,0
Manatee Spur,External,0
Manatee Spur,Hernando Other,0
Manatee Spur,Hillsborough Other,521
Manatee Spur,Manatee Spur,306
Manatee Spur,New Port Richey,0
Manatee Spur,Pasco Other,0
Manatee Spur,Pinellas Beaches,0
Manatee Spur,Pinellas Other,0
Manatee Spur,Plant City,0
Manatee Spur,Spring Hill,0
Manatee Spur,St Petersburg,0
Manatee Spur,Tampa,153
Manatee Spur,USF  Hosp  Busch,0
New Port Richey,Citrus,0
New Port Richey,Clearwater,485
New Port Richey,External,0
New Port Richey,Hernando Other,0
New Port Richey,Hillsborough Other,1008
New Port Richey,Manatee Spur,0
New Port Richey,New Port Richey,21512
New Port Richey,Pasco Other,42314
New Port Richey,Pinellas Beaches,0
New Port Richey,Pinellas Other,18011
New Port Richey,Plant City,0
New Port Richey,Spring Hill,40
New Port Richey,St Petersburg,0
New Port Richey,Tampa,1960
New Port Richey,USF  Hosp  Busch,1824
Pasco Other,Citrus,2455
Pasco Other,Clearwater,18800
Pasco Other,External,5971
Pasco Other,Hernando Other,17925
Pasco Other,Hillsborough Other,93798
Pasco Other,Manatee Spur,0
Pasco Other,New Port Richey,39009
Pasco Other,Pasco Other,1478331
Pasco Other,Pinellas Beaches,4044
Pasco Other,Pinellas Other,63521
Pasco Other,Plant City,3458
Pasco Other,Spring Hill,24046
Pasco Other,St Petersburg,1084
Pasco Other,Tampa,76273
Pasco Other,USF  Hosp  Busch,7297
Pinellas Beaches,Citrus,0
Pinellas Beaches,Clearwater,1804
Pinellas Beaches,External,512
Pinellas Beaches,Hernando Other,0
Pinellas Beaches,Hillsborough Other,7227
Pinellas Beaches,Manatee Spur,547
Pinellas Beaches,New Port Richey,0
Pinellas Beaches,Pasco Other,2349
Pinellas Beaches,Pinellas Beaches,22513
Pinellas Beaches,Pinellas Other,35197
Pinellas Beaches,Plant City,0
Pinellas Beaches,Spring Hill,0
Pinellas Beaches,St Petersburg,7148
Pinellas Beaches,Tampa,3043
Pinellas Beaches,USF  Hosp  Busch,0
Pinellas Other,Citrus,0
Pinellas Other,Clearwater,201201
Pinellas Other,External,16207
Pinellas Other,Hernando Other,217
Pinellas Other,Hillsborough Other,93186
Pinellas Other,Manatee Spur,0
Pinellas Other,New Port Richey,8314
Pinellas Other,Pasco Other,77764
Pinellas Other,Pinellas Beaches,37143
Pinellas Other,Pinellas Other,1515385
Pinellas Other,Plant City,8
Pinellas Other,Spring Hill,190
Pinellas Other,St Petersburg,196751
Pinellas Other,Tampa,33294
Pinellas Other,USF  Hosp  Busch,6257
Plant City,Citrus,0
Plant City,Clearwater,0
Plant City,External,5493
Plant City,Hernando Other,0
Plant City,Hillsborough Other,23427
Plant City,Manatee Spur,0
Plant City,New Port Richey,0
Plant City,Pasco Other,2422
Plant City,Pinellas Beaches,0
Plant City,Pinellas Other,8
Plant City,Plant City,134557
Plant City,Spring Hill,0
Plant City,St Petersburg,65
Plant City,Tampa,5324
Plant City,USF  Hosp  Busch,0
Spring Hill,Citrus,3552
Spring Hill,Clearwater,124
Spring Hill,External,1098
Spring Hill,Hernando Other,55894
Spring Hill,Hillsborough Other,2195
Spring Hill,Manatee Spur,0
Spring Hill,New Port Richey,1286
Spring Hill,Pasco Other,14493
Spring Hill,Pinellas Beaches,0
Spring Hill,Pinellas Other,773
Spring Hill,Plant City,0
Spring Hill,Spring Hill,143048
Spring Hill,St Petersburg,1276
Spring Hill,Tampa,2290
Spring Hill,USF  Hosp  Busch,33
St Petersburg,Citrus,0
St Petersburg,Clearwater,28996
St Petersburg,External,6407
St Petersburg,Hernando Other,0
St Petersburg,Hillsborough Other,21255
St Petersburg,Manatee Spur,0
St Petersburg,New Port Richey,0
St Petersburg,Pasco Other,730
St Petersburg,Pinellas Beaches,6770
St Petersburg,Pinellas Other,171983
St Petersburg,Plant City,0
St Petersburg,Spring Hill,903
St Petersburg,St Petersburg,557898
St Petersburg,Tampa,23730
St Petersburg,USF  Hosp  Busch,9662
Tampa,Citrus,38
Tampa,Clearwater,15446
Tampa,External,34103
Tampa,Hernando Other,1067
Tampa,Hillsborough Other,398068
Tampa,Manatee Spur,293
Tampa,New Port Richey,1415
Tampa,Pasco Other,69833
Tampa,Pinellas Beaches,3574
Tampa,Pinellas Other,36367
Tampa,Plant City,1682
Tampa,Spring Hill,64
