FROM,TO,TRIPS
Clearwater Dwntwn,Clearwater Dwntwn,11858
Clearwater Dwntwn,Clearwater Mall,484
Clearwater Dwntwn,Countryside Mall,0
Clearwater Dwntwn,Dwntwn USF Albert Whitted Airport,0
Clearwater Dwntwn,External,431
Clearwater Dwntwn,Gateway Area,0
Clearwater Dwntwn,Grand Central Area,0
Clearwater Dwntwn,Hernando  Citrus,98
Clearwater Dwntwn,Hillsborough,479
Clearwater Dwntwn,Manatee Spur,0
Clearwater Dwntwn,Mid-Cnty Ind Area,79
Clearwater Dwntwn,Oldsmar Ind Area,0
Clearwater Dwntwn,Pasco,414
Clearwater Dwntwn,Pinellas Beaches,505
Clearwater Dwntwn,Pinellas Central,3499
Clearwater Dwntwn,Pinellas North,3507
Clearwater Dwntwn,Pinellas North Central,17914
Clearwater Dwntwn,Pinellas South,2746
Clearwater Dwntwn,St Petersburg Clearwater Area,0
Clearwater Dwntwn,Tarpon Springs Area,0
Clearwater Dwntwn,Tyrone Square Area,0
Clearwater Mall,Clearwater Dwntwn,26
Clearwater Mall,Clearwater Mall,245
Clearwater Mall,Countryside Mall,123
Clearwater Mall,Dwntwn USF Albert Whitted Airport,0
Clearwater Mall,External,0
Clearwater Mall,Gateway Area,0
Clearwater Mall,Grand Central Area,0
Clearwater Mall,Hernando  Citrus,0
Clearwater Mall,Hillsborough,493
Clearwater Mall,Manatee Spur,0
Clearwater Mall,Mid-Cnty Ind Area,0
Clearwater Mall,Oldsmar Ind Area,0
Clearwater Mall,Pasco,100
Clearwater Mall,Pinellas Beaches,0
Clearwater Mall,Pinellas Central,1016
Clearwater Mall,Pinellas North,23
Clearwater Mall,Pinellas North Central,14351
Clearwater Mall,Pinellas South,1002
Clearwater Mall,St Petersburg Clearwater Area,0
Clearwater Mall,Tarpon Springs Area,0
Clearwater Mall,Tyrone Square Area,0
Countryside Mall,Clearwater Dwntwn,0
Countryside Mall,Clearwater Mall,0
Countryside Mall,Countryside Mall,116
Countryside Mall,Dwntwn USF Albert Whitted Airport,0
Countryside Mall,External,0
Countryside Mall,Gateway Area,0
Countryside Mall,Grand Central Area,0
Countryside Mall,Hernando  Citrus,0
Countryside Mall,Hillsborough,0
Countryside Mall,Manatee Spur,0
Countryside Mall,Mid-Cnty Ind Area,0
Countryside Mall,Oldsmar Ind Area,0
Countryside Mall,Pasco,98
Countryside Mall,Pinellas Beaches,0
Countryside Mall,Pinellas Central,375
Countryside Mall,Pinellas North,147
Countryside Mall,Pinellas North Central,8611
Countryside Mall,Pinellas South,0
Countryside Mall,St Petersburg Clearwater Area,0
Countryside Mall,Tarpon Springs Area,0
Countryside Mall,Tyrone Square Area,0
Dwntwn USF Albert Whitted Airport,Clearwater Dwntwn,0
Dwntwn USF Albert Whitted Airport,Clearwater Mall,0
Dwntwn USF Albert Whitted Airport,Countryside Mall,0
Dwntwn USF Albert Whitted Airport,Dwntwn USF Albert Whitted Airport,52538
Dwntwn USF Albert Whitted Airport,External,1470
Dwntwn USF Albert Whitted Airport,Gateway Area,5699
Dwntwn USF Albert Whitted Airport,Grand Central Area,2219
Dwntwn USF Albert Whitted Airport,Hernando  Citrus,0
Dwntwn USF Albert Whitted Airport,Hillsborough,11885
Dwntwn USF Albert Whitted Airport,Manatee Spur,0
Dwntwn USF Albert Whitted Airport,Mid-Cnty Ind Area,181
Dwntwn USF Albert Whitted Airport,Oldsmar Ind Area,0
Dwntwn USF Albert Whitted Airport,Pasco,124
Dwntwn USF Albert Whitted Airport,Pinellas Beaches,1905
Dwntwn USF Albert Whitted Airport,Pinellas Central,7105
Dwntwn USF Albert Whitted Airport,Pinellas North,167
Dwntwn USF Albert Whitted Airport,Pinellas North Central,12549
Dwntwn USF Albert Whitted Airport,Pinellas South,50218
Dwntwn USF Albert Whitted Airport,St Petersburg Clearwater Area,0
Dwntwn USF Albert Whitted Airport,Tarpon Springs Area,0
Dwntwn USF Albert Whitted Airport,Tyrone Square Area,467
External,Clearwater Dwntwn,367
External,Clearwater Mall,0
External,Countryside Mall,0
External,Dwntwn USF Albert Whitted Airport,735
External,External,0
External,Gateway Area,0
External,Grand Central Area,98
External,Hernando  Citrus,0
External,Hillsborough,0
External,Manatee Spur,0
External,Mid-Cnty Ind Area,241
External,Oldsmar Ind Area,0
External,Pasco,0
External,Pinellas Beaches,644
External,Pinellas Central,2698
External,Pinellas North,1562
External,Pinellas North Central,1415
External,Pinellas South,8348
External,St Petersburg Clearwater Area,0
External,Tarpon Springs Area,0
External,Tyrone Square Area,3115
Gateway Area,Clearwater Dwntwn,0
Gateway Area,Clearwater Mall,0
Gateway Area,Countryside Mall,0
Gateway Area,Dwntwn USF Albert Whitted Airport,7782
Gateway Area,External,0
Gateway Area,Gateway Area,28471
Gateway Area,Grand Central Area,0
Gateway Area,Hernando  Citrus,0
Gateway Area,Hillsborough,10876
Gateway Area,Manatee Spur,0
Gateway Area,Mid-Cnty Ind Area,2887
Gateway Area,Oldsmar Ind Area,0
Gateway Area,Pasco,98
Gateway Area,Pinellas Beaches,0
Gateway Area,Pinellas Central,10915
Gateway Area,Pinellas North,566
