ZONE,MODE,TRIPS
1,AUTO,7219
2,AUTO,3668
2,BIKE,1621
3,AUTO,40966
3,SCHOOL BUS,6977
3,TRANSIT,244
4,AUTO,2595
4,BIKE,182
5,AUTO,3563
6,AUTO,528
7,AUTO,4387
8,AUTO,5168
9,AUTO,2291
10,AUTO,321
11,AUTO,9993
11,BIKE,1621
12,AUTO,2808
13,AUTO,1793
13,WALK,398
14,AUTO,28389
14,SCHOOL BUS,6977
15,AUTO,7839
16,AUTO,22366
17,AUTO,23347
18,AUTO,2894
19,AUTO,10111
20,AUTO,429
21,AUTO,556
22,AUTO,281
23,AUTO,9041
24,AUTO,1003
24,WALK,283
25,AUTO,457
26,AUTO,323
26,WALK,2834
27,AUTO,10744
28,AUTO,653
29,AUTO,871
29,TRANSIT,244
29,WALK,694
30,AUTO,10927
30,BIKE,136
31,AUTO,583
31,WALK,197
32,AUTO,2328
33,AUTO,242
34,AUTO,23589
34,OTHER,154
35,AUTO,10574
35,BIKE,37
35,WALK,74
36,AUTO,31949
36,WALK,74
37,AUTO,8433
37,WALK,255
38,AUTO,19462
39,AUTO,573
40,AUTO,1388
41,AUTO,10262
41,SCHOOL BUS,1566
42,AUTO,7496
43,AUTO,1795
44,AUTO,2570
44,WALK,269
45,AUTO,2050
47,AUTO,19
48,AUTO,23
49,AUTO,2087
50,AUTO,1595
50,SCHOOL BUS,1613
51,AUTO,992
51,SCHOOL BUS,99
51,WALK,116
52,AUTO,18
53,AUTO,19390
53,SCHOOL BUS,99
53,WALK,37
54,AUTO,21803
54,TRANSIT,269
54,WALK,269
55,AUTO,392
55,WALK,445
56,AUTO,14669
56,OTHER,18
57,AUTO,7758
57,TRANSIT,269
57,WALK,807
58,AUTO,797
59,AUTO,3130
60,AUTO,7575
61,AUTO,2206
61,WALK,116
62,AUTO,2965
62,BIKE,98
62,WALK,106
63,AUTO,5092
63,SCHOOL BUS,1566
63,WALK,204
64,AUTO,1277
64,WALK,197
65,AUTO,9753
65,OTHER,98
65,SHUTTLE VANPOOL,83
65,TRANSIT,1076
65,WALK,2386
66,AUTO,5681
66,SHUTTLE VANPOOL,83
68,AUTO,18401
69,AUTO,499
69,WALK,635
71,AUTO,460
71,TRANSIT,269
71,WALK,538
72,AUTO,15080
72,BIKE,23
72,TNC,148
72,TRANSIT,269
73,AUTO,3684
74,AUTO,1505
75,AUTO,15891
76,AUTO,8479
76,TRANSIT,287
76,WALK,544
77,AUTO,5867
77,TRANSIT,269
77,WALK,277
78,AUTO,4136
78,SHUTTLE VANPOOL,828
78,TNC,210
79,AUTO,5934
80,AUTO,9438
80,SCHOOL BUS,1293
80,WALK,5248
81,AUTO,15333
81,SCHOOL BUS,2519
81,WALK,634
82,AUTO,2139
83,AUTO,5079
83,WALK,279
84,AUTO,20613
84,TAXI NOT TNC,105
84,WALK,27259
85,AUTO,24905
85,WALK,1257
86,AUTO,70538
86,BIKE,85
86,WALK,867
87,AUTO,4002
88,AUTO,1852
89,AUTO,537
90,AUTO,15844
91,AUTO,14903
91,SCHOOL BUS,1895
91,WALK,4250
92,AUTO,7110
92,WALK,568
93,AUTO,32306
94,AUTO,33833
94,SCHOOL BUS,79
95,AUTO,4536
95,WALK,327
96,AUTO,6913
96,BIKE,85
96,TNC,218
97,AUTO,7341
97,WALK,91
98,AUTO,996
99,AUTO,26604
99,SHUTTLE VANPOOL,29
99,TRANSIT,357
99,WALK,366
100,AUTO,286
101,AUTO,1947
101,WALK,1028
102,AUTO,9940
102,OTHER,101
102,SCHOOL BUS,79
102,WALK,442
103,AUTO,815
103,SCHOOL BUS,1891
103,WALK,79
104,AUTO,4248
105,AUTO,1852
105,BIKE,2233
105,WALK,1117
106,AUTO,32
107,AUTO,2196
107,WALK,500
108,AUTO,14139
108,WALK,497
109,AUTO,29904
109,WALK,2392
110,AUTO,15008
110,BIKE,47
110,OTHER,269
110,WALK,103
111,AUTO,1806
111,WALK,413
112,AUTO,5191
112,OTHER,154
112,WALK,349
113,AUTO,14026
113,WALK,397
114,AUTO,30646
114,TNC,732
114,WALK,609
115,AUTO,797
115,SCHOOL BUS,79
116,AUTO,28319
116,TNC,98
116,WALK,37
117,AUTO,8187
117,TRANSIT,99
117,WALK,395
118,AUTO,437
119,AUTO,588
120,AUTO,26460
120,BIKE,2328
120,SCHOOL BUS,3745
120,TRANSIT,2328
121,AUTO,2491
121,WALK,1036
122,AUTO,26120
122,BIKE,1552
122,SCHOOL BUS,1873
122,WALK,1840
123,AUTO,45766
123,OTHER,269
123,TRANSIT,713
123,WALK,235
124,AUTO,419
124,OTHER,539
125,AUTO,4216
126,AUTO,1118
126,TRANSIT,2143
127,AUTO,15039
127,OTHER,269
127,WALK,67
128,AUTO,10793
128,TRANSIT,3523
128,WALK,62
129,AUTO,24761
130,AUTO,1132
131,AUTO,347
131,WALK,32
132,AUTO,16467
132,WALK,3533
133,AUTO,16267
133,WALK,3495
134,AUTO,19550
134,WALK,8443
135,AUTO,8551
136,AUTO,576
136,WALK,281
137,AUTO,1690
137,WALK,512
138,AUTO,18918
138,WALK,2182
139,AUTO,1206
140,AUTO,17104
141,AUTO,17487
141,TNC,98
141,TRANSIT,98
142,AUTO,10635
142,TNC,99
142,WALK,572
143,AUTO,1058
143,WALK,421
144,AUTO,3229
144,WALK,697
145,AUTO,2837
145,WALK,259
146,AUTO,9906
146,WALK,602
147,AUTO,18655
147,WALK,4286
148,AUTO,356
148,TNC,150
148,TRANSIT,357
149,AUTO,7011
149,TRANSIT,2143
151,AUTO,6728
152,AUTO,203
153,AUTO,3237
153,TRANSIT,59
153,WALK,41
154,AUTO,742
155,AUTO,7073
155,BIKE,656
155,WALK,2765
156,AUTO,5663
156,OTHER,115
157,AUTO,4251
157,OTHER,124
157,SHUTTLE VANPOOL,9
157,TRANSIT,269
158,AUTO,962
158,BIKE,858
158,WALK,973
159,AUTO,361
160,AUTO,2594
161,AUTO,6653
161,WALK,4
162,AUTO,10570
162,WALK,7548
163,AUTO,13955
163,BIKE,656
163,WALK,347
164,AUTO,15982
164,BIKE,1039
164,WALK,2688
165,AUTO,31801
165,WALK,973
166,AUTO,7340
167,AUTO,11315
167,WALK,126
168,AUTO,14028
168,OTHER,124
168,WALK,4
169,AUTO,831
169,WALK,326
170,AUTO,9176
171,AUTO,11259
171,WALK,3656
172,AUTO,2822
172,TNC,312
173,AUTO,4188
173,SCHOOL BUS,3786
174,AUTO,2784
175,AUTO,79
176,AUTO,12078
177,AUTO,51
178,AUTO,690
178,WALK,2036
179,AUTO,2748
179,TRANSIT,89
179,WALK,2353
180,AUTO,6
180,SCHOOL BUS,1613
180,WALK,53
181,AUTO,11104
181,WALK,2353
182,AUTO,719
183,AUTO,3876
183,WALK,125
184,AUTO,5137
184,BIKE,122
184,TRANSIT,136
184,WALK,613
185,AUTO,5883
185,WALK,136
186,AUTO,1207
186,WALK,3865
187,AUTO,1154
187,TRANSIT,2477
188,AUTO,2374
190,AUTO,151
190,TRANSIT,687
191,AUTO,3114
191,WALK,6215
192,AUTO,1127
193,AUTO,2039
193,TRANSIT,1807
193,WALK,538
194,AUTO,27599
194,WALK,12859
195,AUTO,7534
196,AUTO,8704
196,WALK,894
197,AUTO,1204
197,TRANSIT,208
198,AUTO,2559
198,WALK,4256
199,AUTO,3146
200,AUTO,1293
200,WALK,218
201,AUTO,2954
201,TRANSIT,3523
201,WALK,3865
202,AUTO,5321
202,TRANSIT,6
202,WALK,40
203,AUTO,320
204,AUTO,5092
204,TRANSIT,2426
204,WALK,5675
205,AUTO,248
205,TRANSIT,18
206,AUTO,40
207,AUTO,119
208,AUTO,292
209,AUTO,4438
209,BIKE,2804
209,TRANSIT,1076
210,AUTO,12618
210,WALK,1076
211,AUTO,3420
213,AUTO,3595
213,WALK,9424
214,AUTO,455
215,AUTO,6725
215,TRANSIT,59
216,AUTO,2832
217,AUTO,29488
218,AUTO,13382
219,AUTO,636
219,WALK,9
220,AUTO,4981
221,AUTO,1440
222,AUTO,1674
223,AUTO,3918
224,AUTO,9457
224,WALK,2169
225,AUTO,1423
225,BIKE,80
227,AUTO,80
228,AUTO,620
230,AUTO,334
232,AUTO,5290
233,AUTO,198
234,AUTO,1515
235,AUTO,200
236,AUTO,21577
237,AUTO,12045
238,AUTO,3040
238,TNC,98
238,WALK,98
239,AUTO,298
240,AUTO,662
240,WALK,2392
241,AUTO,5985
242,AUTO,3844
242,SCHOOL BUS,694
242,WALK,177
243,AUTO,38
243,TRANSIT,150
243,WALK,372
244,AUTO,4954
244,WALK,1935
245,AUTO,10043
245,WALK,4278
246,WALK,184
247,AUTO,2428
247,WALK,78
248,AUTO,202
248,WALK,37
249,AUTO,412
249,TRANSIT,18
250,AUTO,2048
251,AUTO,6921
251,TRANSIT,136
252,AUTO,284
253,AUTO,2251
254,AUTO,240
255,AUTO,9734
256,AUTO,1102
257,AUTO,16184
257,WALK,17760
258,AUTO,3317
258,WALK,3833
259,AUTO,13493
260,AUTO,11583
260,WALK,617
261,AUTO,2246
262,AUTO,2564
262,TRANSIT,136
262,WALK,136
263,AUTO,120
264,AUTO,2317
266,AUTO,241
267,AUTO,2961
268,AUTO,1498
269,AUTO,8639
270,AUTO,736
270,TRANSIT,148
271,AUTO,307
271,WALK,2828
272,AUTO,14357
272,WALK,96
273,AUTO,2672
274,AUTO,883
274,WALK,1438
275,AUTO,2755
276,AUTO,1777
276,WALK,40
277,AUTO,281
277,WALK,40
278,AUTO,246
279,AUTO,12239
279,WALK,371
280,AUTO,14370
280,WALK,44
281,AUTO,180
282,AUTO,779
284,AUTO,2482
284,WALK,197
286,AUTO,2596
286,OTHER,151
287,AUTO,1420
288,AUTO,24280
288,TRANSIT,684
288,WALK,1765
289,AUTO,4332
289,TRANSIT,269
289,WALK,1879
290,AUTO,1229
290,BIKE,18
290,WALK,293
291,AUTO,7039
291,SHUTTLE VANPOOL,40
291,WALK,186
292,AUTO,11612
292,WALK,6
293,AUTO,25546
293,OTHER,49
293,TNC,331
293,WALK,2568
294,AUTO,458
295,AUTO,886
295,WALK,15
296,AUTO,1487
296,TRANSIT,89
297,AUTO,12488
297,OTHER,29
297,TNC,1097
298,AUTO,3262
299,AUTO,17531
299,TRANSIT,25
299,WALK,2672
300,AUTO,10872
300,BIKE,5
300,OTHER,92
300,WALK,288
301,AUTO,2335
301,OTHER,1
301,WALK,2509
302,AUTO,31842
302,OTHER,2
302,SHUTTLE VANPOOL,1962
302,TRANSIT,1000
302,WALK,39722
303,AUTO,4408
303,TRANSIT,1493
304,AUTO,6726
304,TRANSIT,538
304,WALK,538
305,AUTO,478
305,TRANSIT,1011
306,AUTO,5227
307,AUTO,1999
307,SHUTTLE VANPOOL,72
307,TRANSIT,508
307,WALK,2765
308,AUTO,3660
308,BIKE,5
308,SHUTTLE VANPOOL,23
308,WALK,938
309,AUTO,11964
309,SHUTTLE VANPOOL,3
309,TNC,56
309,WALK,8783
310,AUTO,6771
310,TNC,569
310,WALK,2860
311,AUTO,8243
311,BIKE,18
311,WALK,4701
312,AUTO,671
312,WALK,169
313,AUTO,24746
313,BIKE,569
313,BIKE SHARE,44
313,OTHER,153
313,SHUTTLE VANPOOL,297
313,WALK,6708
314,AUTO,19298
314,BIKE,434
314,BIKE SHARE,9
314,OTHER,94
314,SHUTTLE VANPOOL,258
314,WALK,2204
