ZONE,COUNTY,MODE,TRIPS
3,Hillsborough County,AUTO,40
4,Hillsborough County,AUTO,32
6,Hillsborough County,AUTO,23
8,Hillsborough County,AUTO,122
13,Hillsborough County,AUTO,174
14,Hillsborough County,AUTO,101
16,Hillsborough County,AUTO,49
19,Hillsborough County,AUTO,1008
22,Hillsborough County,AUTO,79
23,Hillsborough County,AUTO,40
24,Hillsborough County,AUTO,69
27,Hillsborough County,AUTO,9
29,Hillsborough County,AUTO,9
30,Hillsborough County,AUTO,128
31,Hillsborough County,AUTO,49
34,Hillsborough County,AUTO,145
35,Hillsborough County,AUTO,27
36,Hillsborough County,AUTO,125
37,Hillsborough County,AUTO,67
38,Hillsborough County,AUTO,1764
42,Hillsborough County,AUTO,18
43,Hillsborough County,AUTO,159
44,Hillsborough County,AUTO,116
45,Hillsborough County,AUTO,45
48,Hillsborough County,AUTO,23
50,Hillsborough County,AUTO,18
53,Hillsborough County,AUTO,329
53,Hillsborough County,WALK,37
54,Hillsborough County,AUTO,6
56,Hillsborough County,AUTO,18
57,Hillsborough County,AUTO,99
59,Hillsborough County,AUTO,178
61,Hillsborough County,AUTO,313
63,Hillsborough County,AUTO,9
65,Hillsborough County,AUTO,18
66,Hillsborough County,AUTO,144
68,Hillsborough County,AUTO,35
69,Hillsborough County,AUTO,144
71,Hillsborough County,AUTO,280
72,Hillsborough County,AUTO,78
72,Hillsborough County,BIKE,23
73,Hillsborough County,AUTO,6
74,Hillsborough County,AUTO,56
76,Hillsborough County,AUTO,45
76,Hillsborough County,TRANSIT,18
76,Hillsborough County,WALK,6
77,Hillsborough County,AUTO,1692
78,Hillsborough County,AUTO,2024
78,Hillsborough County,SHUTTLE VANPOOL,23
84,Hillsborough County,AUTO,35
85,Hillsborough County,AUTO,2371
86,Hillsborough County,AUTO,13132
88,Hillsborough County,AUTO,70
89,Hillsborough County,AUTO,99
93,Hillsborough County,AUTO,788
94,Hillsborough County,AUTO,65
95,Hillsborough County,AUTO,58
96,Hillsborough County,AUTO,329
97,Hillsborough County,AUTO,62
99,Hillsborough County,AUTO,408
102,Hillsborough County,AUTO,203
102,Hillsborough County,WALK,203
110,Hillsborough County,AUTO,173
110,Hillsborough County,BIKE,47
111,Hillsborough County,AUTO,103
112,Hillsborough County,AUTO,196
114,Hillsborough County,AUTO,1302
116,Hillsborough County,AUTO,15169
117,Hillsborough County,AUTO,252
117,Hillsborough County,TRANSIT,99
120,Hillsborough County,AUTO,32
123,Hillsborough County,AUTO,7088
124,Hillsborough County,AUTO,150
125,Hillsborough County,AUTO,23
127,Hillsborough County,AUTO,19
128,Hillsborough County,AUTO,105
129,Hillsborough County,AUTO,55
130,Hillsborough County,AUTO,773
131,Hillsborough County,AUTO,64
131,Hillsborough County,WALK,23
133,Hillsborough County,AUTO,2606
135,Hillsborough County,AUTO,51
137,Hillsborough County,AUTO,266
138,Hillsborough County,AUTO,5954
140,Hillsborough County,AUTO,6506
141,Hillsborough County,TRANSIT,98
142,Hillsborough County,AUTO,299
142,Hillsborough County,WALK,414
144,Hillsborough County,AUTO,45
146,Hillsborough County,AUTO,169
147,Hillsborough County,AUTO,3722
153,Hillsborough County,AUTO,64
154,Hillsborough County,AUTO,128
155,Hillsborough County,AUTO,290
155,Hillsborough County,WALK,63
156,Hillsborough County,AUTO,85
157,Hillsborough County,AUTO,791
157,Hillsborough County,SHUTTLE VANPOOL,9
161,Hillsborough County,AUTO,110
161,Hillsborough County,WALK,4
162,Hillsborough County,AUTO,54
163,Hillsborough County,AUTO,249
164,Hillsborough County,AUTO,1314
164,Hillsborough County,BIKE,1039
164,Hillsborough County,WALK,2688
165,Hillsborough County,AUTO,1946
167,Hillsborough County,AUTO,81
167,Hillsborough County,WALK,7
168,Hillsborough County,AUTO,12544
168,Hillsborough County,WALK,4
169,Hillsborough County,AUTO,32
170,Hillsborough County,AUTO,273
171,Hillsborough County,AUTO,169
172,Hillsborough County,AUTO,108
178,Hillsborough County,AUTO,146
179,Hillsborough County,AUTO,226
179,Hillsborough County,TRANSIT,89
180,Hillsborough County,AUTO,6
180,Hillsborough County,WALK,53
181,Hillsborough County,AUTO,30
182,Hillsborough County,AUTO,37
183,Hillsborough County,AUTO,329
183,Hillsborough County,WALK,107
184,Hillsborough County,AUTO,4398
184,Hillsborough County,BIKE,122
184,Hillsborough County,WALK,595
185,Hillsborough County,AUTO,535
187,Hillsborough County,TRANSIT,70
188,Hillsborough County,AUTO,64
191,Hillsborough County,AUTO,6
192,Hillsborough County,AUTO,6
193,Hillsborough County,AUTO,6
194,Hillsborough County,AUTO,110
195,Hillsborough County,AUTO,70
196,Hillsborough County,AUTO,61
198,Hillsborough County,AUTO,23
201,Hillsborough County,AUTO,1104
202,Hillsborough County,AUTO,18
202,Hillsborough County,TRANSIT,6
204,Hillsborough County,AUTO,12
204,Hillsborough County,TRANSIT,18
204,Hillsborough County,WALK,18
205,Hillsborough County,TRANSIT,18
209,Hillsborough County,AUTO,110
210,Hillsborough County,AUTO,804
211,Hillsborough County,AUTO,125
214,Hillsborough County,AUTO,6
216,Hillsborough County,AUTO,108
218,Hillsborough County,AUTO,241
221,Hillsborough County,AUTO,27
225,Hillsborough County,BIKE,80
230,Hillsborough County,AUTO,90
232,Hillsborough County,AUTO,975
234,Hillsborough County,AUTO,437
237,Hillsborough County,AUTO,47
238,Hillsborough County,AUTO,45
240,Hillsborough County,AUTO,6
241,Hillsborough County,AUTO,41
242,Hillsborough County,AUTO,197
243,Hillsborough County,AUTO,38
244,Hillsborough County,WALK,1760
245,Hillsborough County,AUTO,294
248,Hillsborough County,WALK,37
249,Hillsborough County,TRANSIT,18
250,Hillsborough County,AUTO,8
254,Hillsborough County,AUTO,23
258,Hillsborough County,AUTO,15
259,Hillsborough County,AUTO,135
260,Hillsborough County,AUTO,32
261,Hillsborough County,AUTO,464
262,Hillsborough County,AUTO,187
264,Hillsborough County,AUTO,8
266,Hillsborough County,AUTO,179
269,Hillsborough County,AUTO,27
270,Hillsborough County,AUTO,227
271,Hillsborough County,AUTO,46
274,Hillsborough County,AUTO,12
275,Hillsborough County,AUTO,40
276,Hillsborough County,AUTO,27
278,Hillsborough County,AUTO,8
279,Hillsborough County,AUTO,890
280,Hillsborough County,AUTO,519
281,Hillsborough County,AUTO,27
282,Hillsborough County,AUTO,85
286,Hillsborough County,AUTO,18
288,Hillsborough County,AUTO,143
288,Hillsborough County,TRANSIT,6
288,Hillsborough County,WALK,6
289,Hillsborough County,AUTO,1918
290,Hillsborough County,AUTO,164
290,Hillsborough County,BIKE,18
290,Hillsborough County,WALK,73
291,Hillsborough County,AUTO,653
291,Hillsborough County,SHUTTLE VANPOOL,40
291,Hillsborough County,WALK,146
292,Hillsborough County,AUTO,539
293,Hillsborough County,AUTO,8975
293,Hillsborough County,WALK,2
294,Hillsborough County,AUTO,215
295,Hillsborough County,AUTO,55
295,Hillsborough County,WALK,15
296,Hillsborough County,TRANSIT,89
297,Hillsborough County,AUTO,12
299,Hillsborough County,AUTO,1177
299,Hillsborough County,TRANSIT,25
299,Hillsborough County,WALK,104
300,Hillsborough County,AUTO,7594
300,Hillsborough County,BIKE,5
300,Hillsborough County,WALK,169
301,Hillsborough County,AUTO,1038
301,Hillsborough County,WALK,2392
302,Hillsborough County,AUTO,7414
302,Hillsborough County,SHUTTLE VANPOOL,35
302,Hillsborough County,WALK,1712
303,Hillsborough County,AUTO,15
305,Hillsborough County,AUTO,27
306,Hillsborough County,AUTO,210
307,Hillsborough County,AUTO,690
307,Hillsborough County,SHUTTLE VANPOOL,72
308,Hillsborough County,AUTO,1055
308,Hillsborough County,BIKE,5
308,Hillsborough County,SHUTTLE VANPOOL,23
308,Hillsborough County,WALK,126
309,Hillsborough County,AUTO,724
309,Hillsborough County,TNC,56
309,Hillsborough County,WALK,89
310,Hillsborough County,AUTO,2097
310,Hillsborough County,WALK,89
311,Hillsborough County,AUTO,1419
311,Hillsborough County,BIKE,18
311,Hillsborough County,WALK,480
312,Hillsborough County,AUTO,314
312,Hillsborough County,WALK,27
313,Hillsborough County,AUTO,13486
313,Hillsborough County,BIKE,569
313,Hillsborough County,BIKE SHARE,44
313,Hillsborough County,OTHER,150
313,Hillsborough County,SHUTTLE VANPOOL,87
313,Hillsborough County,WALK,4991
314,Hillsborough County,AUTO,13943
314,Hillsborough County,BIKE,432
314,Hillsborough County,BIKE SHARE,9
314,Hillsborough County,SHUTTLE VANPOOL,258
314,Hillsborough County,WALK,1779
315,Hillsborough County,AUTO,1361
315,Hillsborough County,BIKE,432
315,Hillsborough County,SHUTTLE VANPOOL,18
315,Hillsborough County,WALK,385
316,Hillsborough County,WALK,89
317,Hillsborough County,AUTO,1915
317,Hillsborough County,WALK,2351
318,Hillsborough County,AUTO,1384
318,Hillsborough County,BIKE,863
318,Hillsborough County,WALK,89
319,Hillsborough County,AUTO,5088
319,Hillsborough County,WALK,2439
320,Hillsborough County,AUTO,91
321,Hillsborough County,AUTO,8
322,Hillsborough County,AUTO,54
323,Hillsborough County,AUTO,179
323,Hillsborough County,OTHER,98
325,Hillsborough County,AUTO,213
326,Hillsborough County,AUTO,1213
327,Hillsborough County,AUTO,6
328,Hillsborough County,AUTO,1414
329,Hillsborough County,AUTO,37
329,Hillsborough County,OTHER,6
329,Hillsborough County,TRANSIT,35
330,Hillsborough County,AUTO,71
332,Hillsborough County,AUTO,23
332,Hillsborough County,WALK,45
333,Hillsborough County,AUTO,30
333,Hillsborough County,WALK,27
334,Hillsborough County,WALK,23
335,Hillsborough County,AUTO,674
339,Hillsborough County,AUTO,137
343,Hillsborough County,AUTO,23
347,Hillsborough County,AUTO,23
347,Hillsborough County,BIKE,23
348,Hillsborough County,AUTO,23
349,Hillsborough County,AUTO,158
350,Hillsborough County,AUTO,388
351,Hillsborough County,AUTO,82
351,Hillsborough County,WALK,635
352,Hillsborough County,AUTO,18
352,Hillsborough County,WALK,635
353,Hillsborough County,AUTO,490
354,Hillsborough County,AUTO,277
355,Hillsborough County,AUTO,124
360,Hillsborough County,AUTO,91
361,Hillsborough County,AUTO,158
361,Hillsborough County,TNC,40
362,Hillsborough County,AUTO,6
364,Hillsborough County,AUTO,17
364,Hillsborough County,WALK,79
366,Hillsborough County,AUTO,2406
367,Hillsborough County,AUTO,32
369,Hillsborough County,AUTO,6
384,Hillsborough County,AUTO,34
386,Hillsborough County,AUTO,37
387,Hillsborough County,AUTO,6
393,Hillsborough County,AUTO,325
398,Hillsborough County,AUTO,115
402,Hillsborough County,AUTO,463
403,Hillsborough County,AUTO,6
409,Hillsborough County,AUTO,43
418,Hillsborough County,AUTO,445
420,Hillsborough County,AUTO,6
422,Hillsborough County,AUTO,180
424,Hillsborough County,AUTO,158
425,Hillsborough County,AUTO,2400
427,Hillsborough County,AUTO,248
430,Hillsborough County,AUTO,25
431,Hillsborough County,AUTO,135
432,Hillsborough County,AUTO,99
433,Hillsborough County,AUTO,23
434,Hillsborough County,AUTO,175
435,Hillsborough County,AUTO,1354
436,Hillsborough County,AUTO,1041
438,Hillsborough County,AUTO,162
438,Hillsborough County,LONG DIST PASS,116
441,Hillsborough County,AUTO,4136
441,Hillsborough County,SHUTTLE VANPOOL,9
442,Hillsborough County,AUTO,2276
443,Hillsborough County,AUTO,5089
443,Hillsborough County,BIKE,75
443,Hillsborough County,TRANSIT,18
443,Hillsborough County,WALK,1128
445,Hillsborough County,AUTO,6
446,Hillsborough County,AUTO,140
447,Hillsborough County,AUTO,4481
448,Hillsborough County,AUTO,262
448,Hillsborough County,TRANSIT,12
451,Hillsborough County,AUTO,18
452,Hillsborough County,AUTO,7
452,Hillsborough County,WALK,6
454,Hillsborough County,AUTO,181
456,Hillsborough County,AUTO,2194
456,Hillsborough County,TRANSIT,175
457,Hillsborough County,AUTO,28
458,Hillsborough County,AUTO,268
458,Hillsborough County,SHUTTLE VANPOOL,64
459,Hillsborough County,AUTO,322
460,Hillsborough County,AUTO,407
461,Hillsborough County,AUTO,648
461,Hillsborough County,TNC,9
462,Hillsborough County,AUTO,45
464,Hillsborough County,AUTO,160
466,Hillsborough County,AUTO,214
474,Hillsborough County,AUTO,88
476,Hillsborough County,AUTO,202
477,Hillsborough County,AUTO,72
481,Hillsborough County,AUTO,6
483,Hillsborough County,AUTO,18
484,Hillsborough County,AUTO,24
485,Hillsborough County,AUTO,115
485,Hillsborough County,WALK,18
487,Hillsborough County,AUTO,2968
488,Hillsborough County,AUTO,35
493,Hillsborough County,AUTO,103
494,Hillsborough County,AUTO,6
495,Hillsborough County,AUTO,39
496,Hillsborough County,AUTO,3686
497,Hillsborough County,AUTO,6
498,Hillsborough County,AUTO,6
500,Hillsborough County,AUTO,18
503,Hillsborough County,AUTO,1012
503,Hillsborough County,BIKE,101
504,Hillsborough County,AUTO,3027
504,Hillsborough County,WALK,298
505,Hillsborough County,AUTO,9
506,Hillsborough County,AUTO,9
507,Hillsborough County,AUTO,27
507,Hillsborough County,WALK,5
508,Hillsborough County,AUTO,3
509,Hillsborough County,AUTO,62
510,Hillsborough County,AUTO,230
512,Hillsborough County,AUTO,602
513,Hillsborough County,AUTO,602
